Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,16:50.473,3,Daniel Ricciardo
1,,4,Lando Norris
2,2:23.004,4,Lando Norris
3,10:08.929,4,Lando Norris
4,2:11.499,4,Lando Norris
5,11:13.182,4,Lando Norris
6,1:45.431,4,Lando Norris
7,2:15.967,4,Lando Norris
8,1:40.643,4,Lando Norris
9,2:19.112,4,Lando Norris
10,1:44.333,4,Lando Norris
11,15:13.648,4,Lando Norris
12,1:39.352,4,Lando Norris
13,2:25.868,4,Lando Norris
14,1:44.072,4,Lando Norris
15,11:37.697,4,Lando Norris
16,1:44.178,4,Lando Norris
17,1:44.070,4,Lando Norris
18,1:44.682,4,Lando Norris
19,1:44.595,4,Lando Norris
20,1:44.816,4,Lando Norris
21,1:45.111,4,Lando Norris
22,1:44.760,4,Lando Norris
23,1:45.979,4,Lando Norris
24,1:44.712,4,Lando Norris
25,1:44.836,4,Lando Norris
26,1:45.536,4,Lando Norris
27,2:18.522,4,Lando Norris
28,2:24.293,4,Lando Norris
1,,5,Sebastian Vettel
2,1:48.460,5,Sebastian Vettel
3,1:45.388,5,Sebastian Vettel
4,,5,Sebastian Vettel
5,2:01.169,5,Sebastian Vettel
6,39:30.814,5,Sebastian Vettel
7,1:49.443,5,Sebastian Vettel
8,1:47.672,5,Sebastian Vettel
9,1:49.931,5,Sebastian Vettel
10,2:15.093,5,Sebastian Vettel
11,22:55.030,5,Sebastian Vettel
12,1:40.421,5,Sebastian Vettel
13,2:20.860,5,Sebastian Vettel
14,1:39.670,5,Sebastian Vettel
15,2:26.370,5,Sebastian Vettel
16,1:40.122,5,Sebastian Vettel
17,1:46.914,5,Sebastian Vettel
18,2:25.775,5,Sebastian Vettel
19,2:21.487,5,Sebastian Vettel
1,,6,Nicholas Latifi
2,13:27.335,6,Nicholas Latifi
3,1:42.385,6,Nicholas Latifi
4,2:47.497,6,Nicholas Latifi
5,1:41.063,6,Nicholas Latifi
6,2:58.805,6,Nicholas Latifi
7,19:31.872,6,Nicholas Latifi
8,1:42.497,6,Nicholas Latifi
9,2:36.043,6,Nicholas Latifi
10,1:42.746,6,Nicholas Latifi
11,2:38.752,6,Nicholas Latifi
12,1:42.378,6,Nicholas Latifi
13,2:01.538,6,Nicholas Latifi
14,2:31.991,6,Nicholas Latifi
15,2:21.212,6,Nicholas Latifi
16,12:55.548,6,Nicholas Latifi
17,1:46.989,6,Nicholas Latifi
18,1:47.079,6,Nicholas Latifi
19,1:47.050,6,Nicholas Latifi
20,1:47.068,6,Nicholas Latifi
21,1:46.680,6,Nicholas Latifi
22,1:46.637,6,Nicholas Latifi
23,1:45.907,6,Nicholas Latifi
24,1:46.251,6,Nicholas Latifi
25,1:46.182,6,Nicholas Latifi
26,2:23.284,6,Nicholas Latifi
27,2:38.943,6,Nicholas Latifi
1,,7,Kimi Räikkönen
2,10:30.489,7,Kimi Räikkönen
3,1:41.476,7,Kimi Räikkönen
4,2:42.461,7,Kimi Räikkönen
5,1:40.541,7,Kimi Räikkönen
6,2:39.756,7,Kimi Räikkönen
7,2:06.481,7,Kimi Räikkönen
8,2:34.674,7,Kimi Räikkönen
9,1:40.244,7,Kimi Räikkönen
10,2:08.144,7,Kimi Räikkönen
11,23:12.829,7,Kimi Räikkönen
12,1:39.199,7,Kimi Räikkönen
13,2:54.013,7,Kimi Räikkönen
14,1:40.071,7,Kimi Räikkönen
15,2:16.952,7,Kimi Räikkönen
16,20:58.625,7,Kimi Räikkönen
17,1:39.823,7,Kimi Räikkönen
18,2:37.826,7,Kimi Räikkönen
19,2:40.006,7,Kimi Räikkönen
20,1:40.575,7,Kimi Räikkönen
21,2:23.746,7,Kimi Räikkönen
22,2:12.631,7,Kimi Räikkönen
1,,10,Pierre Gasly
2,14:48.172,10,Pierre Gasly
3,1:41.184,10,Pierre Gasly
4,2:39.539,10,Pierre Gasly
5,2:30.913,10,Pierre Gasly
6,2:09.693,10,Pierre Gasly
7,1:40.018,10,Pierre Gasly
8,2:17.388,10,Pierre Gasly
9,1:39.610,10,Pierre Gasly
10,1:50.543,10,Pierre Gasly
11,2:11.948,10,Pierre Gasly
12,15:29.859,10,Pierre Gasly
13,1:39.160,10,Pierre Gasly
14,2:45.365,10,Pierre Gasly
15,2:17.937,10,Pierre Gasly
16,1:39.237,10,Pierre Gasly
17,2:25.026,10,Pierre Gasly
18,2:09.781,10,Pierre Gasly
19,1:38.911,10,Pierre Gasly
20,2:05.142,10,Pierre Gasly
21,8:43.223,10,Pierre Gasly
22,1:44.540,10,Pierre Gasly
23,1:44.294,10,Pierre Gasly
24,1:44.108,10,Pierre Gasly
25,1:43.970,10,Pierre Gasly
26,1:44.576,10,Pierre Gasly
27,1:44.669,10,Pierre Gasly
28,1:44.279,10,Pierre Gasly
29,2:17.252,10,Pierre Gasly
30,2:31.096,10,Pierre Gasly
1,,11,Sergio Pérez
2,21:55.844,11,Sergio Pérez
3,1:40.081,11,Sergio Pérez
4,2:42.292,11,Sergio Pérez
5,1:38.956,11,Sergio Pérez
6,1:58.231,11,Sergio Pérez
7,12:22.874,11,Sergio Pérez
8,2:08.073,11,Sergio Pérez
9,14:59.151,11,Sergio Pérez
10,1:43.214,11,Sergio Pérez
11,1:43.436,11,Sergio Pérez
12,1:43.843,11,Sergio Pérez
13,1:43.638,11,Sergio Pérez
14,1:43.606,11,Sergio Pérez
15,1:43.771,11,Sergio Pérez
16,1:43.658,11,Sergio Pérez
17,1:43.889,11,Sergio Pérez
18,1:43.559,11,Sergio Pérez
19,1:43.290,11,Sergio Pérez
20,1:44.241,11,Sergio Pérez
21,1:44.145,11,Sergio Pérez
22,1:45.063,11,Sergio Pérez
23,1:45.171,11,Sergio Pérez
24,2:24.997,11,Sergio Pérez
25,2:34.531,11,Sergio Pérez
1,,16,Charles Leclerc
2,1:42.903,16,Charles Leclerc
3,1:41.259,16,Charles Leclerc
4,1:43.520,16,Charles Leclerc
5,2:01.567,16,Charles Leclerc
6,41:13.120,16,Charles Leclerc
7,1:40.092,16,Charles Leclerc
8,2:20.455,16,Charles Leclerc
9,1:39.344,16,Charles Leclerc
10,2:17.896,16,Charles Leclerc
11,1:39.555,16,Charles Leclerc
12,1:45.454,16,Charles Leclerc
13,1:43.643,16,Charles Leclerc
14,2:25.475,16,Charles Leclerc
15,2:35.258,16,Charles Leclerc
16,8:35.450,16,Charles Leclerc
17,2:23.956,16,Charles Leclerc
18,1:43.560,16,Charles Leclerc
19,1:43.566,16,Charles Leclerc
20,1:43.905,16,Charles Leclerc
21,1:44.562,16,Charles Leclerc
22,1:44.393,16,Charles Leclerc
23,1:43.296,16,Charles Leclerc
24,2:04.232,16,Charles Leclerc
25,2:30.931,16,Charles Leclerc
1,,18,Lance Stroll
2,22:29.831,18,Lance Stroll
3,1:41.525,18,Lance Stroll
4,2:08.986,18,Lance Stroll
5,1:40.951,18,Lance Stroll
6,2:11.309,18,Lance Stroll
7,1:40.289,18,Lance Stroll
8,1:51.602,18,Lance Stroll
9,14:36.671,18,Lance Stroll
10,1:38.972,18,Lance Stroll
11,2:47.002,18,Lance Stroll
12,1:57.537,18,Lance Stroll
13,1:38.831,18,Lance Stroll
14,2:10.724,18,Lance Stroll
15,13:23.165,18,Lance Stroll
16,1:44.796,18,Lance Stroll
17,1:43.904,18,Lance Stroll
18,1:44.089,18,Lance Stroll
19,1:44.266,18,Lance Stroll
20,1:45.666,18,Lance Stroll
21,1:45.384,18,Lance Stroll
22,1:44.402,18,Lance Stroll
23,1:45.887,18,Lance Stroll
24,2:16.057,18,Lance Stroll
25,2:36.217,18,Lance Stroll
1,,23,Alexander Albon
2,1:45.301,23,Alexander Albon
