Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,,3,Daniel Ricciardo
3,,3,Daniel Ricciardo
4,,3,Daniel Ricciardo
5,,3,Daniel Ricciardo
6,,3,Daniel Ricciardo
7,,3,Daniel Ricciardo
8,,3,Daniel Ricciardo
9,,3,Daniel Ricciardo
10,1:06.650,3,Daniel Ricciardo
11,1:38.811,3,Daniel Ricciardo
12,1:06.075,3,Daniel Ricciardo
13,1:06.794,3,Daniel Ricciardo
14,1:25.006,3,Daniel Ricciardo
15,13:32.398,3,Daniel Ricciardo
16,1:06.282,3,Daniel Ricciardo
17,1:34.047,3,Daniel Ricciardo
18,1:16.146,3,Daniel Ricciardo
19,1:24.494,3,Daniel Ricciardo
20,2:09.429,3,Daniel Ricciardo
21,1:06.030,3,Daniel Ricciardo
22,1:30.507,3,Daniel Ricciardo
23,1:05.860,3,Daniel Ricciardo
24,1:14.120,3,Daniel Ricciardo
25,11:00.380,3,Daniel Ricciardo
26,1:07.386,3,Daniel Ricciardo
27,1:06.101,3,Daniel Ricciardo
28,2:03.983,3,Daniel Ricciardo
29,1:28.896,3,Daniel Ricciardo
1,,4,Lando Norris
2,,4,Lando Norris
3,,4,Lando Norris
4,,4,Lando Norris
5,,4,Lando Norris
6,,4,Lando Norris
7,,4,Lando Norris
8,,4,Lando Norris
9,,4,Lando Norris
10,,4,Lando Norris
11,,4,Lando Norris
12,,4,Lando Norris
13,,4,Lando Norris
14,,4,Lando Norris
15,,4,Lando Norris
16,,4,Lando Norris
17,1:19.726,4,Lando Norris
18,1:06.411,4,Lando Norris
19,1:20.695,4,Lando Norris
20,8:27.215,4,Lando Norris
21,1:05.621,4,Lando Norris
22,1:38.131,4,Lando Norris
23,1:05.639,4,Lando Norris
24,1:37.014,4,Lando Norris
25,1:39.429,4,Lando Norris
26,1:14.151,4,Lando Norris
27,1:33.602,4,Lando Norris
28,1:06.208,4,Lando Norris
29,1:17.533,4,Lando Norris
30,9:28.745,4,Lando Norris
31,1:09.679,4,Lando Norris
32,1:09.241,4,Lando Norris
33,1:09.087,4,Lando Norris
34,1:09.391,4,Lando Norris
35,1:09.439,4,Lando Norris
36,1:09.398,4,Lando Norris
37,1:09.294,4,Lando Norris
38,1:08.941,4,Lando Norris
39,1:08.769,4,Lando Norris
40,1:09.100,4,Lando Norris
41,3:43.765,4,Lando Norris
1,,5,Sebastian Vettel
2,,5,Sebastian Vettel
3,,5,Sebastian Vettel
4,,5,Sebastian Vettel
5,,5,Sebastian Vettel
6,,5,Sebastian Vettel
7,,5,Sebastian Vettel
8,,5,Sebastian Vettel
9,,5,Sebastian Vettel
10,,5,Sebastian Vettel
11,1:06.530,5,Sebastian Vettel
12,1:32.314,5,Sebastian Vettel
13,2:16.974,5,Sebastian Vettel
14,9:14.422,5,Sebastian Vettel
15,1:06.144,5,Sebastian Vettel
16,1:23.942,5,Sebastian Vettel
17,1:14.212,5,Sebastian Vettel
18,1:06.126,5,Sebastian Vettel
19,1:25.010,5,Sebastian Vettel
20,1:06.077,5,Sebastian Vettel
21,1:21.491,5,Sebastian Vettel
22,1:06.105,5,Sebastian Vettel
23,1:25.671,5,Sebastian Vettel
24,11:34.413,5,Sebastian Vettel
25,1:40.648,5,Sebastian Vettel
26,1:09.446,5,Sebastian Vettel
27,1:12.534,5,Sebastian Vettel
28,1:09.272,5,Sebastian Vettel
29,1:09.579,5,Sebastian Vettel
30,1:09.106,5,Sebastian Vettel
31,1:47.239,5,Sebastian Vettel
32,1:55.852,5,Sebastian Vettel
1,,6,Nicholas Latifi
2,,6,Nicholas Latifi
3,,6,Nicholas Latifi
4,,6,Nicholas Latifi
5,,6,Nicholas Latifi
6,,6,Nicholas Latifi
7,,6,Nicholas Latifi
8,1:36.023,6,Nicholas Latifi
9,1:07.996,6,Nicholas Latifi
10,1:30.351,6,Nicholas Latifi
11,1:07.329,6,Nicholas Latifi
12,1:22.905,6,Nicholas Latifi
13,1:06.906,6,Nicholas Latifi
14,1:32.543,6,Nicholas Latifi
15,1:57.569,6,Nicholas Latifi
16,18:15.071,6,Nicholas Latifi
17,1:08.123,6,Nicholas Latifi
18,1:29.183,6,Nicholas Latifi
19,1:07.474,6,Nicholas Latifi
20,1:32.105,6,Nicholas Latifi
21,1:07.270,6,Nicholas Latifi
22,1:26.083,6,Nicholas Latifi
23,1:06.964,6,Nicholas Latifi
24,1:09.767,6,Nicholas Latifi
25,1:13.325,6,Nicholas Latifi
26,1:08.973,6,Nicholas Latifi
27,1:09.385,6,Nicholas Latifi
28,1:09.775,6,Nicholas Latifi
29,1:13.843,6,Nicholas Latifi
30,1:36.157,6,Nicholas Latifi
31,2:06.268,6,Nicholas Latifi
1,,7,Kimi Räikkönen
2,,7,Kimi Räikkönen
3,,7,Kimi Räikkönen
4,,7,Kimi Räikkönen
5,,7,Kimi Räikkönen
6,,7,Kimi Räikkönen
7,,7,Kimi Räikkönen
8,,7,Kimi Räikkönen
9,,7,Kimi Räikkönen
10,,7,Kimi Räikkönen
11,1:22.870,7,Kimi Räikkönen
12,1:15.320,7,Kimi Räikkönen
13,1:15.858,7,Kimi Räikkönen
14,1:50.130,7,Kimi Räikkönen
15,18:09.897,7,Kimi Räikkönen
16,1:06.365,7,Kimi Räikkönen
17,1:39.723,7,Kimi Räikkönen
18,1:15.648,7,Kimi Räikkönen
19,1:06.635,7,Kimi Räikkönen
20,1:27.147,7,Kimi Räikkönen
21,8:32.226,7,Kimi Räikkönen
22,1:17.913,7,Kimi Räikkönen
23,1:06.895,7,Kimi Räikkönen
24,1:16.134,7,Kimi Räikkönen
25,1:06.748,7,Kimi Räikkönen
26,1:31.041,7,Kimi Räikkönen
27,1:37.379,7,Kimi Räikkönen
28,1:48.182,7,Kimi Räikkönen
1,,8,Romain Grosjean
2,,8,Romain Grosjean
3,,8,Romain Grosjean
4,3:23.363,8,Romain Grosjean
5,1:46.361,8,Romain Grosjean
6,1:50.916,8,Romain Grosjean
1,,10,Pierre Gasly
2,,10,Pierre Gasly
3,,10,Pierre Gasly
4,,10,Pierre Gasly
5,,10,Pierre Gasly
6,,10,Pierre Gasly
7,,10,Pierre Gasly
8,1:34.581,10,Pierre Gasly
9,1:07.177,10,Pierre Gasly
10,1:30.049,10,Pierre Gasly
11,1:06.936,10,Pierre Gasly
12,1:32.005,10,Pierre Gasly
13,1:07.212,10,Pierre Gasly
14,1:17.581,10,Pierre Gasly
15,25:12.969,10,Pierre Gasly
16,1:31.980,10,Pierre Gasly
17,1:07.254,10,Pierre Gasly
18,1:29.452,10,Pierre Gasly
19,1:06.632,10,Pierre Gasly
20,1:27.785,10,Pierre Gasly
21,1:06.404,10,Pierre Gasly
22,1:26.479,10,Pierre Gasly
23,1:36.191,10,Pierre Gasly
24,1:52.610,10,Pierre Gasly
25,1:52.437,10,Pierre Gasly
1,,11,Sergio Pérez
2,,11,Sergio Pérez
3,,11,Sergio Pérez
4,,11,Sergio Pérez
5,,11,Sergio Pérez
6,,11,Sergio Pérez
7,1:06.352,11,Sergio Pérez
8,1:26.902,11,Sergio Pérez
9,1:18.499,11,Sergio Pérez
10,1:06.052,11,Sergio Pérez
11,1:26.910,11,Sergio Pérez
12,1:05.889,11,Sergio Pérez
13,1:19.774,11,Sergio Pérez
14,1:05.773,11,Sergio Pérez
15,1:24.328,11,Sergio Pérez
16,1:05.512,11,Sergio Pérez
17,1:21.973,11,Sergio Pérez
18,8:06.457,11,Sergio Pérez
19,1:06.228,11,Sergio Pérez
20,1:16.665,11,Sergio Pérez
21,1:27.649,11,Sergio Pérez
22,8:01.151,11,Sergio Pérez
23,1:09.345,11,Sergio Pérez
24,1:08.418,11,Sergio Pérez
25,1:08.496,11,Sergio Pérez
26,1:09.115,11,Sergio Pérez
27,1:09.177,11,Sergio Pérez
28,1:08.471,11,Sergio Pérez
29,1:10.345,11,Sergio Pérez
30,1:08.928,11,Sergio Pérez
31,1:08.662,11,Sergio Pérez
32,1:09.163,11,Sergio Pérez
33,3:31.363,11,Sergio Pérez
1,,16,Charles Leclerc
2,,16,Charles Leclerc
3,,16,Charles Leclerc
4,,16,Charles Leclerc
5,,16,Charles Leclerc
6,,16,Charles Leclerc
7,,16,Charles Leclerc
8,,16,Charles Leclerc
9,,16,Charles Leclerc
10,,16,Charles Leclerc
11,,16,Charles Leclerc
12,2:04.846,16,Charles Leclerc
13,12:30.808,16,Charles Leclerc
14,1:06.120,16,Charles Leclerc
15,1:35.411,16,Charles Leclerc
16,1:06.849,16,Charles Leclerc
17,1:20.987,16,Charles Leclerc
18,1:06.315,16,Charles Leclerc
19,1:05.924,16,Charles Leclerc
20,1:17.570,16,Charles Leclerc
21,1:06.142,16,Charles Leclerc
22,1:32.181,16,Charles Leclerc
23,11:15.362,16,Charles Leclerc
24,1:40.685,16,Charles Leclerc
25,1:09.948,16,Charles Leclerc
26,1:09.323,16,Charles Leclerc
27,1:08.653,16,Charles Leclerc
28,1:08.731,16,Charles Leclerc
29,1:10.426,16,Charles Leclerc
30,1:40.734,16,Charles Leclerc
31,2:14.284,16,Charles Leclerc
1,,18,Lance Stroll
2,,18,Lance Stroll
3,,18,Lance Stroll
4,,18,Lance Stroll
5,,18,Lance Stroll
