Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,1:33.139,3,Daniel Ricciardo
3,2:15.296,3,Daniel Ricciardo
4,1:31.807,3,Daniel Ricciardo
5,2:31.078,3,Daniel Ricciardo
6,1:31.571,3,Daniel Ricciardo
7,1:52.717,3,Daniel Ricciardo
8,10:38.505,3,Daniel Ricciardo
9,1:33.584,3,Daniel Ricciardo
10,1:34.168,3,Daniel Ricciardo
11,2:02.773,3,Daniel Ricciardo
12,1:33.398,3,Daniel Ricciardo
13,2:09.660,3,Daniel Ricciardo
14,1:32.676,3,Daniel Ricciardo
15,1:52.997,3,Daniel Ricciardo
16,12:17.932,3,Daniel Ricciardo
17,1:33.042,3,Daniel Ricciardo
18,1:32.996,3,Daniel Ricciardo
19,1:49.353,3,Daniel Ricciardo
20,11:21.515,3,Daniel Ricciardo
21,1:30.508,3,Daniel Ricciardo
22,2:26.261,3,Daniel Ricciardo
23,1:54.219,3,Daniel Ricciardo
24,1:30.639,3,Daniel Ricciardo
25,2:00.444,3,Daniel Ricciardo
26,10:36.808,3,Daniel Ricciardo
27,1:35.991,3,Daniel Ricciardo
28,1:35.762,3,Daniel Ricciardo
29,1:36.573,3,Daniel Ricciardo
30,1:51.747,3,Daniel Ricciardo
1,,4,Lando Norris
2,1:37.003,4,Lando Norris
3,1:33.252,4,Lando Norris
4,1:41.972,4,Lando Norris
5,27:09.281,4,Lando Norris
6,1:31.392,4,Lando Norris
7,1:59.644,4,Lando Norris
8,1:39.721,4,Lando Norris
9,2:05.261,4,Lando Norris
10,1:43.351,4,Lando Norris
11,1:32.359,4,Lando Norris
12,1:49.380,4,Lando Norris
13,1:33.036,4,Lando Norris
14,1:41.726,4,Lando Norris
15,13:40.012,4,Lando Norris
16,1:46.186,4,Lando Norris
17,1:32.126,4,Lando Norris
18,1:52.733,4,Lando Norris
19,1:36.421,4,Lando Norris
20,9:56.486,4,Lando Norris
21,2:20.673,4,Lando Norris
22,1:36.791,4,Lando Norris
23,1:37.272,4,Lando Norris
24,1:40.538,4,Lando Norris
25,2:02.164,4,Lando Norris
26,1:37.388,4,Lando Norris
27,1:45.388,4,Lando Norris
1,,5,Sebastian Vettel
2,1:43.853,5,Sebastian Vettel
3,2:01.525,5,Sebastian Vettel
4,20:51.714,5,Sebastian Vettel
5,1:32.184,5,Sebastian Vettel
6,2:06.802,5,Sebastian Vettel
7,1:31.834,5,Sebastian Vettel
