Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,17:14.161,3,Daniel Ricciardo
3,1:47.643,3,Daniel Ricciardo
4,2:21.584,3,Daniel Ricciardo
5,1:46.775,3,Daniel Ricciardo
6,2:22.601,3,Daniel Ricciardo
7,1:46.773,3,Daniel Ricciardo
8,2:08.111,3,Daniel Ricciardo
9,20:15.535,3,Daniel Ricciardo
10,1:45.225,3,Daniel Ricciardo
11,2:41.621,3,Daniel Ricciardo
12,2:06.904,3,Daniel Ricciardo
13,15:40.447,3,Daniel Ricciardo
14,1:50.996,3,Daniel Ricciardo
15,1:51.100,3,Daniel Ricciardo
16,1:50.803,3,Daniel Ricciardo
17,1:50.750,3,Daniel Ricciardo
18,1:50.631,3,Daniel Ricciardo
19,1:50.418,3,Daniel Ricciardo
20,1:50.359,3,Daniel Ricciardo
21,2:15.635,3,Daniel Ricciardo
1,,4,Lando Norris
2,15:18.993,4,Lando Norris
3,1:46.619,4,Lando Norris
4,2:27.177,4,Lando Norris
5,1:58.922,4,Lando Norris
6,1:46.096,4,Lando Norris
7,2:18.878,4,Lando Norris
8,2:00.393,4,Lando Norris
9,1:46.860,4,Lando Norris
10,2:04.878,4,Lando Norris
11,15:30.201,4,Lando Norris
12,1:45.274,4,Lando Norris
13,2:10.553,4,Lando Norris
14,1:45.739,4,Lando Norris
15,2:14.820,4,Lando Norris
16,1:52.040,4,Lando Norris
17,11:37.792,4,Lando Norris
18,1:50.696,4,Lando Norris
19,1:50.941,4,Lando Norris
20,1:50.610,4,Lando Norris
21,1:50.592,4,Lando Norris
22,1:50.625,4,Lando Norris
23,1:50.819,4,Lando Norris
24,1:50.899,4,Lando Norris
25,1:50.669,4,Lando Norris
26,1:49.867,4,Lando Norris
27,1:50.791,4,Lando Norris
28,2:04.958,4,Lando Norris
1,,5,Sebastian Vettel
2,1:48.756,5,Sebastian Vettel
3,1:48.066,5,Sebastian Vettel
4,,5,Sebastian Vettel
5,2:19.253,5,Sebastian Vettel
6,1:48.902,5,Sebastian Vettel
7,2:03.695,5,Sebastian Vettel
8,23:07.207,5,Sebastian Vettel
9,1:46.179,5,Sebastian Vettel
10,2:41.583,5,Sebastian Vettel
11,1:46.401,5,Sebastian Vettel
12,2:21.743,5,Sebastian Vettel
13,2:32.734,5,Sebastian Vettel
14,13:49.807,5,Sebastian Vettel
15,2:21.873,5,Sebastian Vettel
1,,6,Nicholas Latifi
2,21:58.661,6,Nicholas Latifi
3,1:50.373,6,Nicholas Latifi
4,2:27.624,6,Nicholas Latifi
5,,6,Nicholas Latifi
6,2:42.523,6,Nicholas Latifi
7,1:47.355,6,Nicholas Latifi
8,2:15.343,6,Nicholas Latifi
9,18:59.936,6,Nicholas Latifi
10,1:47.595,6,Nicholas Latifi
11,2:37.741,6,Nicholas Latifi
12,1:47.053,6,Nicholas Latifi
13,2:33.515,6,Nicholas Latifi
14,1:46.488,6,Nicholas Latifi
15,2:21.548,6,Nicholas Latifi
16,13:34.991,6,Nicholas Latifi
17,1:51.582,6,Nicholas Latifi
18,1:50.721,6,Nicholas Latifi
19,2:15.469,6,Nicholas Latifi
1,,7,Kimi Räikkönen
2,1:53.432,7,Kimi Räikkönen
3,22:50.637,7,Kimi Räikkönen
4,1:47.825,7,Kimi Räikkönen
5,2:18.336,7,Kimi Räikkönen
