Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,1:23.848,3,Daniel Ricciardo
3,1:21.073,3,Daniel Ricciardo
4,1:19.706,3,Daniel Ricciardo
5,1:19.119,3,Daniel Ricciardo
6,1:18.340,3,Daniel Ricciardo
7,1:25.518,3,Daniel Ricciardo
8,1:17.473,3,Daniel Ricciardo
9,1:39.040,3,Daniel Ricciardo
10,2:00.776,3,Daniel Ricciardo
11,19:00.781,3,Daniel Ricciardo
12,1:26.029,3,Daniel Ricciardo
13,1:16.641,3,Daniel Ricciardo
14,1:35.059,3,Daniel Ricciardo
15,1:16.489,3,Daniel Ricciardo
16,1:35.360,3,Daniel Ricciardo
17,1:16.371,3,Daniel Ricciardo
18,1:31.869,3,Daniel Ricciardo
19,1:54.483,3,Daniel Ricciardo
20,12:01.525,3,Daniel Ricciardo
21,1:15.839,3,Daniel Ricciardo
22,1:42.223,3,Daniel Ricciardo
23,1:28.135,3,Daniel Ricciardo
24,1:57.139,3,Daniel Ricciardo
25,15:36.472,3,Daniel Ricciardo
26,1:20.596,3,Daniel Ricciardo
27,1:21.081,3,Daniel Ricciardo
28,1:31.784,3,Daniel Ricciardo
29,1:20.161,3,Daniel Ricciardo
30,1:22.067,3,Daniel Ricciardo
31,1:48.745,3,Daniel Ricciardo
32,2:03.788,3,Daniel Ricciardo
1,,4,Lando Norris
2,1:28.297,4,Lando Norris
3,1:21.192,4,Lando Norris
4,1:19.875,4,Lando Norris
5,1:18.794,4,Lando Norris
6,1:23.843,4,Lando Norris
7,1:23.263,4,Lando Norris
8,2:00.067,4,Lando Norris
9,1:19.746,4,Lando Norris
10,1:20.507,4,Lando Norris
11,1:17.372,4,Lando Norris
12,1:28.932,4,Lando Norris
13,1:22.691,4,Lando Norris
14,11:07.384,4,Lando Norris
15,1:25.069,4,Lando Norris
16,1:17.097,4,Lando Norris
17,1:31.912,4,Lando Norris
18,1:16.973,4,Lando Norris
19,1:30.019,4,Lando Norris
20,1:16.671,4,Lando Norris
21,1:26.566,4,Lando Norris
22,1:21.569,4,Lando Norris
23,9:55.148,4,Lando Norris
24,1:21.029,4,Lando Norris
25,1:21.997,4,Lando Norris
26,1:20.422,4,Lando Norris
27,1:20.652,4,Lando Norris
28,1:20.142,4,Lando Norris
29,1:20.071,4,Lando Norris
30,1:19.862,4,Lando Norris
31,1:19.749,4,Lando Norris
32,1:20.807,4,Lando Norris
33,1:24.876,4,Lando Norris
34,1:48.426,4,Lando Norris
35,13:39.483,4,Lando Norris
36,1:15.856,4,Lando Norris
37,1:53.339,4,Lando Norris
38,1:21.369,4,Lando Norris
39,1:18.526,4,Lando Norris
40,1:20.596,4,Lando Norris
41,1:18.818,4,Lando Norris
42,1:18.337,4,Lando Norris
43,1:17.856,4,Lando Norris
44,1:59.912,4,Lando Norris
45,2:04.120,4,Lando Norris
1,,5,Sebastian Vettel
2,1:33.827,5,Sebastian Vettel
3,1:26.278,5,Sebastian Vettel
4,1:22.046,5,Sebastian Vettel
5,1:20.977,5,Sebastian Vettel
6,1:22.785,5,Sebastian Vettel
7,1:19.571,5,Sebastian Vettel
8,1:24.105,5,Sebastian Vettel
9,1:18.519,5,Sebastian Vettel
10,1:22.330,5,Sebastian Vettel
11,1:18.481,5,Sebastian Vettel
12,1:24.509,5,Sebastian Vettel
13,2:14.179,5,Sebastian Vettel
14,11:05.118,5,Sebastian Vettel
15,1:17.271,5,Sebastian Vettel
16,1:39.479,5,Sebastian Vettel
17,1:37.786,5,Sebastian Vettel
18,2:37.864,5,Sebastian Vettel
19,13:20.729,5,Sebastian Vettel
20,1:59.699,5,Sebastian Vettel
21,1:21.616,5,Sebastian Vettel
