Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,22:10.468,3,Daniel Ricciardo
3,1:23.654,3,Daniel Ricciardo
4,2:14.819,3,Daniel Ricciardo
5,1:22.864,3,Daniel Ricciardo
6,1:44.513,3,Daniel Ricciardo
7,1:24.959,3,Daniel Ricciardo
8,1:22.019,3,Daniel Ricciardo
9,1:45.092,3,Daniel Ricciardo
10,22:37.391,3,Daniel Ricciardo
11,1:21.789,3,Daniel Ricciardo
12,2:09.969,3,Daniel Ricciardo
13,1:32.017,3,Daniel Ricciardo
14,1:44.724,3,Daniel Ricciardo
15,1:22.149,3,Daniel Ricciardo
16,1:46.104,3,Daniel Ricciardo
17,15:26.008,3,Daniel Ricciardo
18,1:25.612,3,Daniel Ricciardo
19,1:25.191,3,Daniel Ricciardo
20,1:24.667,3,Daniel Ricciardo
21,1:25.097,3,Daniel Ricciardo
22,1:38.738,3,Daniel Ricciardo
1,,4,Lando Norris
2,1:30.505,4,Lando Norris
3,19:20.408,4,Lando Norris
4,1:23.756,4,Lando Norris
5,1:59.069,4,Lando Norris
6,1:23.234,4,Lando Norris
7,1:59.275,4,Lando Norris
8,1:41.323,4,Lando Norris
9,1:22.550,4,Lando Norris
10,1:47.997,4,Lando Norris
11,1:51.743,4,Lando Norris
12,,4,Lando Norris
13,20:40.038,4,Lando Norris
14,1:26.126,4,Lando Norris
15,1:52.580,4,Lando Norris
16,1:25.697,4,Lando Norris
17,1:49.897,4,Lando Norris
18,1:21.747,4,Lando Norris
19,1:48.793,4,Lando Norris
20,1:32.052,4,Lando Norris
21,11:25.951,4,Lando Norris
22,2:21.172,4,Lando Norris
23,1:25.178,4,Lando Norris
24,1:25.493,4,Lando Norris
25,1:25.609,4,Lando Norris
26,1:25.557,4,Lando Norris
27,1:25.444,4,Lando Norris
28,1:25.130,4,Lando Norris
29,1:36.169,4,Lando Norris
1,,5,Sebastian Vettel
2,21:43.557,5,Sebastian Vettel
3,1:24.746,5,Sebastian Vettel
4,1:46.525,5,Sebastian Vettel
5,1:40.526,5,Sebastian Vettel
