Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,1:27.231,3,Daniel Ricciardo
3,1:25.591,3,Daniel Ricciardo
4,1:24.717,3,Daniel Ricciardo
5,1:24.020,3,Daniel Ricciardo
6,1:22.506,3,Daniel Ricciardo
7,1:21.619,3,Daniel Ricciardo
8,1:21.114,3,Daniel Ricciardo
9,1:20.817,3,Daniel Ricciardo
10,1:35.487,3,Daniel Ricciardo
11,18:57.761,3,Daniel Ricciardo
12,1:23.536,3,Daniel Ricciardo
13,1:24.316,3,Daniel Ricciardo
14,1:24.442,3,Daniel Ricciardo
15,1:22.628,3,Daniel Ricciardo
16,1:20.614,3,Daniel Ricciardo
17,,3,Daniel Ricciardo
18,1:22.332,3,Daniel Ricciardo
19,1:20.058,3,Daniel Ricciardo
20,1:31.363,3,Daniel Ricciardo
21,15:50.709,3,Daniel Ricciardo
22,1:21.611,3,Daniel Ricciardo
23,1:23.827,3,Daniel Ricciardo
24,1:23.228,3,Daniel Ricciardo
25,1:29.304,3,Daniel Ricciardo
26,1:50.752,3,Daniel Ricciardo
27,2:11.604,3,Daniel Ricciardo
1,,4,Lando Norris
2,16:31.189,4,Lando Norris
3,1:26.132,4,Lando Norris
4,1:24.501,4,Lando Norris
5,1:33.924,4,Lando Norris
6,1:23.493,4,Lando Norris
7,1:22.518,4,Lando Norris
8,1:25.456,4,Lando Norris
9,1:21.709,4,Lando Norris
10,1:23.500,4,Lando Norris
11,1:20.796,4,Lando Norris
12,1:24.543,4,Lando Norris
13,1:56.854,4,Lando Norris
14,22:41.345,4,Lando Norris
15,1:26.161,4,Lando Norris
16,1:22.968,4,Lando Norris
17,1:20.537,4,Lando Norris
18,1:20.207,4,Lando Norris
19,1:21.515,4,Lando Norris
20,1:24.330,4,Lando Norris
21,15:10.674,4,Lando Norris
22,1:23.031,4,Lando Norris
23,1:21.930,4,Lando Norris
24,1:21.778,4,Lando Norris
25,1:22.091,4,Lando Norris
26,1:22.341,4,Lando Norris
27,1:22.555,4,Lando Norris
28,1:53.687,4,Lando Norris
29,1:59.543,4,Lando Norris
1,,5,Sebastian Vettel
2,1:30.462,5,Sebastian Vettel
3,1:35.895,5,Sebastian Vettel
4,17:27.110,5,Sebastian Vettel
5,1:24.925,5,Sebastian Vettel
6,1:29.390,5,Sebastian Vettel
7,1:24.108,5,Sebastian Vettel
8,1:21.826,5,Sebastian Vettel
9,1:27.704,5,Sebastian Vettel
10,1:21.101,5,Sebastian Vettel
11,1:20.417,5,Sebastian Vettel
12,1:25.684,5,Sebastian Vettel
13,1:23.201,5,Sebastian Vettel
14,1:20.030,5,Sebastian Vettel
15,1:20.200,5,Sebastian Vettel
16,1:25.664,5,Sebastian Vettel
17,13:19.045,5,Sebastian Vettel
18,1:22.216,5,Sebastian Vettel
19,1:29.091,5,Sebastian Vettel
20,1:21.425,5,Sebastian Vettel
21,1:20.862,5,Sebastian Vettel
22,1:25.318,5,Sebastian Vettel
23,1:22.486,5,Sebastian Vettel
24,1:21.368,5,Sebastian Vettel
25,1:20.427,5,Sebastian Vettel
26,1:25.235,5,Sebastian Vettel
27,2:03.537,5,Sebastian Vettel
28,12:57.006,5,Sebastian Vettel
29,2:04.184,5,Sebastian Vettel
30,1:22.067,5,Sebastian Vettel
31,1:21.642,5,Sebastian Vettel
32,1:21.825,5,Sebastian Vettel
33,1:21.572,5,Sebastian Vettel
34,1:23.769,5,Sebastian Vettel
35,1:22.631,5,Sebastian Vettel
36,1:47.794,5,Sebastian Vettel
37,2:07.692,5,Sebastian Vettel
1,,6,Nicholas Latifi
2,15:18.234,6,Nicholas Latifi
3,1:30.330,6,Nicholas Latifi
4,1:26.589,6,Nicholas Latifi
5,1:24.970,6,Nicholas Latifi
6,1:43.709,6,Nicholas Latifi
7,1:23.549,6,Nicholas Latifi
8,1:22.833,6,Nicholas Latifi
9,1:54.572,6,Nicholas Latifi
10,2:01.972,6,Nicholas Latifi
11,2:15.664,6,Nicholas Latifi
12,16:24.995,6,Nicholas Latifi
13,1:23.498,6,Nicholas Latifi
14,1:22.054,6,Nicholas Latifi
15,1:30.497,6,Nicholas Latifi
16,1:32.408,6,Nicholas Latifi
17,1:35.197,6,Nicholas Latifi
18,1:23.550,6,Nicholas Latifi
19,1:36.451,6,Nicholas Latifi
20,1:33.799,6,Nicholas Latifi
21,2:08.494,6,Nicholas Latifi
22,11:33.295,6,Nicholas Latifi
23,1:55.839,6,Nicholas Latifi
24,1:24.713,6,Nicholas Latifi
25,1:23.725,6,Nicholas Latifi
26,1:24.068,6,Nicholas Latifi
27,1:23.437,6,Nicholas Latifi
28,1:23.737,6,Nicholas Latifi
29,1:23.048,6,Nicholas Latifi
30,1:23.312,6,Nicholas Latifi
31,1:24.212,6,Nicholas Latifi
32,1:31.548,6,Nicholas Latifi
33,1:50.609,6,Nicholas Latifi
34,2:11.270,6,Nicholas Latifi
1,,7,Kimi Räikkönen
2,1:36.151,7,Kimi Räikkönen
3,12:34.135,7,Kimi Räikkönen
4,1:28.074,7,Kimi Räikkönen
5,1:27.072,7,Kimi Räikkönen
6,1:24.815,7,Kimi Räikkönen
7,1:23.389,7,Kimi Räikkönen
8,1:22.665,7,Kimi Räikkönen
9,1:22.225,7,Kimi Räikkönen
10,1:25.056,7,Kimi Räikkönen
11,1:28.291,7,Kimi Räikkönen
12,1:33.051,7,Kimi Räikkönen
13,1:59.698,7,Kimi Räikkönen
14,18:51.185,7,Kimi Räikkönen
15,1:22.056,7,Kimi Räikkönen
16,1:34.048,7,Kimi Räikkönen
17,1:21.058,7,Kimi Räikkönen
18,1:39.076,7,Kimi Räikkönen
19,1:24.856,7,Kimi Räikkönen
20,1:40.889,7,Kimi Räikkönen
21,1:27.502,7,Kimi Räikkönen
22,1:21.302,7,Kimi Räikkönen
23,1:50.201,7,Kimi Räikkönen
24,1:28.616,7,Kimi Räikkönen
25,14:07.819,7,Kimi Räikkönen
26,1:20.317,7,Kimi Räikkönen
27,1:29.802,7,Kimi Räikkönen
28,1:20.280,7,Kimi Räikkönen
29,1:37.380,7,Kimi Räikkönen
30,1:24.282,7,Kimi Räikkönen
31,1:19.954,7,Kimi Räikkönen
32,1:26.858,7,Kimi Räikkönen
33,1:21.264,7,Kimi Räikkönen
34,2:01.982,7,Kimi Räikkönen
1,,8,Romain Grosjean
2,18:34.277,8,Romain Grosjean
3,1:26.538,8,Romain Grosjean
4,1:23.838,8,Romain Grosjean
5,1:22.717,8,Romain Grosjean
6,1:22.061,8,Romain Grosjean
7,1:21.668,8,Romain Grosjean
8,1:21.169,8,Romain Grosjean
9,1:34.532,8,Romain Grosjean
10,19:19.743,8,Romain Grosjean
11,1:24.029,8,Romain Grosjean
12,1:22.517,8,Romain Grosjean
13,1:26.091,8,Romain Grosjean
14,1:38.060,8,Romain Grosjean
15,1:26.024,8,Romain Grosjean
16,1:21.850,8,Romain Grosjean
17,1:28.835,8,Romain Grosjean
18,1:21.625,8,Romain Grosjean
19,1:36.073,8,Romain Grosjean
20,15:28.081,8,Romain Grosjean
21,1:24.775,8,Romain Grosjean
22,1:23.544,8,Romain Grosjean
23,1:23.264,8,Romain Grosjean
24,1:22.828,8,Romain Grosjean
25,1:24.963,8,Romain Grosjean
26,1:22.876,8,Romain Grosjean
27,1:29.494,8,Romain Grosjean
28,1:51.095,8,Romain Grosjean
29,1:24.450,8,Romain Grosjean
30,1:43.007,8,Romain Grosjean
31,2:28.843,8,Romain Grosjean
1,,10,Pierre Gasly
2,15:14.464,10,Pierre Gasly
3,1:28.809,10,Pierre Gasly
4,1:24.419,10,Pierre Gasly
5,1:33.775,10,Pierre Gasly
6,1:22.888,10,Pierre Gasly
7,1:21.577,10,Pierre Gasly
8,1:20.908,10,Pierre Gasly
9,1:26.912,10,Pierre Gasly
10,1:23.661,10,Pierre Gasly
11,1:20.365,10,Pierre Gasly
12,1:20.843,10,Pierre Gasly
13,1:28.083,10,Pierre Gasly
14,1:20.124,10,Pierre Gasly
15,1:35.915,10,Pierre Gasly
16,19:10.601,10,Pierre Gasly
17,1:24.082,10,Pierre Gasly
18,1:24.140,10,Pierre Gasly
19,1:23.886,10,Pierre Gasly
20,1:23.188,10,Pierre Gasly
21,1:22.619,10,Pierre Gasly
22,1:22.902,10,Pierre Gasly
23,1:20.764,10,Pierre Gasly
24,1:29.646,10,Pierre Gasly
25,1:20.260,10,Pierre Gasly
26,1:36.603,10,Pierre Gasly
27,20:26.164,10,Pierre Gasly
28,1:47.390,10,Pierre Gasly
29,2:11.350,10,Pierre Gasly
1,,11,Sergio Pérez
2,24:44.659,11,Sergio Pérez
3,1:24.433,11,Sergio Pérez
4,1:23.696,11,Sergio Pérez
5,1:22.276,11,Sergio Pérez
6,1:21.015,11,Sergio Pérez
7,1:20.530,11,Sergio Pérez
8,1:20.263,11,Sergio Pérez
9,1:28.659,11,Sergio Pérez
10,14:13.865,11,Sergio Pérez
11,1:21.759,11,Sergio Pérez
12,1:28.029,11,Sergio Pérez
13,1:19.907,11,Sergio Pérez
14,1:27.005,11,Sergio Pérez
15,1:20.527,11,Sergio Pérez
16,1:29.911,11,Sergio Pérez
17,1:20.712,11,Sergio Pérez
18,1:32.495,11,Sergio Pérez
19,13:32.194,11,Sergio Pérez
20,1:23.283,11,Sergio Pérez
21,1:22.579,11,Sergio Pérez
22,1:22.367,11,Sergio Pérez
23,1:22.435,11,Sergio Pérez
24,1:22.664,11,Sergio Pérez
25,1:23.196,11,Sergio Pérez
26,1:23.414,11,Sergio Pérez
27,1:24.306,11,Sergio Pérez
28,1:24.637,11,Sergio Pérez
29,1:23.350,11,Sergio Pérez
30,1:51.638,11,Sergio Pérez
31,2:04.123,11,Sergio Pérez
1,,16,Charles Leclerc
2,15:12.277,16,Charles Leclerc
3,1:26.716,16,Charles Leclerc
4,1:23.400,16,Charles Leclerc
5,1:22.832,16,Charles Leclerc
6,1:20.816,16,Charles Leclerc
7,1:20.410,16,Charles Leclerc
8,1:23.194,16,Charles Leclerc
9,1:26.317,16,Charles Leclerc
10,1:38.727,16,Charles Leclerc
11,1:33.260,16,Charles Leclerc
12,1:20.130,16,Charles Leclerc
13,1:19.653,16,Charles Leclerc
14,1:32.146,16,Charles Leclerc
15,22:26.528,16,Charles Leclerc
16,1:24.963,16,Charles Leclerc
17,1:22.086,16,Charles Leclerc
18,1:23.169,16,Charles Leclerc
19,1:20.767,16,Charles Leclerc
20,1:19.898,16,Charles Leclerc
21,1:19.324,16,Charles Leclerc
22,1:19.309,16,Charles Leclerc
23,1:20.273,16,Charles Leclerc
24,1:27.241,16,Charles Leclerc
25,2:12.808,16,Charles Leclerc
26,8:13.887,16,Charles Leclerc
27,2:16.836,16,Charles Leclerc
28,1:21.631,16,Charles Leclerc
29,1:25.966,16,Charles Leclerc
30,1:21.677,16,Charles Leclerc
31,1:24.527,16,Charles Leclerc
32,1:40.966,16,Charles Leclerc
33,2:10.402,16,Charles Leclerc
1,,16,Lance Stroll
2,18:45.762,16,Lance Stroll
3,1:27.524,16,Lance Stroll
4,1:24.518,16,Lance Stroll
5,1:34.043,16,Lance Stroll
6,1:23.428,16,Lance Stroll
7,1:23.004,16,Lance Stroll
8,1:26.553,16,Lance Stroll
9,1:22.450,16,Lance Stroll
10,1:29.776,16,Lance Stroll
11,1:33.771,16,Lance Stroll
12,1:21.980,16,Lance Stroll
13,1:21.442,16,Lance Stroll
14,1:31.121,16,Lance Stroll
15,18:59.892,16,Lance Stroll
16,1:22.383,16,Lance Stroll
17,1:31.012,16,Lance Stroll
18,1:21.712,16,Lance Stroll
19,1:29.866,16,Lance Stroll
20,1:20.954,16,Lance Stroll
21,1:21.098,16,Lance Stroll
22,1:25.775,16,Lance Stroll
23,1:21.342,16,Lance Stroll
24,1:20.602,16,Lance Stroll
25,1:33.007,16,Lance Stroll
26,11:54.011,16,Lance Stroll
