Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,3:06.305,3,Daniel Ricciardo
3,14:18.362,3,Daniel Ricciardo
4,1:38.246,3,Daniel Ricciardo
5,2:20.031,3,Daniel Ricciardo
6,1:36.852,3,Daniel Ricciardo
7,2:03.310,3,Daniel Ricciardo
8,3:00.619,3,Daniel Ricciardo
9,2:20.248,3,Daniel Ricciardo
10,2:22.393,3,Daniel Ricciardo
11,26:59.479,3,Daniel Ricciardo
12,1:46.512,3,Daniel Ricciardo
13,2:30.691,3,Daniel Ricciardo
14,1:35.430,3,Daniel Ricciardo
15,2:02.416,3,Daniel Ricciardo
16,8:59.427,3,Daniel Ricciardo
17,1:40.024,3,Daniel Ricciardo
18,1:40.478,3,Daniel Ricciardo
19,1:45.653,3,Daniel Ricciardo
20,2:21.801,3,Daniel Ricciardo
21,1:40.655,3,Daniel Ricciardo
22,1:49.260,3,Daniel Ricciardo
1,,4,Lando Norris
2,2:20.089,4,Lando Norris
3,2:36.619,4,Lando Norris
4,2:13.986,4,Lando Norris
5,14:59.793,4,Lando Norris
6,1:39.012,4,Lando Norris
7,2:26.898,4,Lando Norris
8,1:39.190,4,Lando Norris
9,2:00.012,4,Lando Norris
10,2:55.172,4,Lando Norris
11,2:13.933,4,Lando Norris
12,,4,Lando Norris
13,27:27.465,4,Lando Norris
14,1:37.609,4,Lando Norris
15,2:27.316,4,Lando Norris
16,1:37.249,4,Lando Norris
17,2:12.747,4,Lando Norris
18,1:37.195,4,Lando Norris
19,1:55.942,4,Lando Norris
20,2:28.823,4,Lando Norris
21,1:37.110,4,Lando Norris
22,1:43.166,4,Lando Norris
23,1:43.527,4,Lando Norris
24,1:39.022,4,Lando Norris
25,1:39.858,4,Lando Norris
26,1:39.857,4,Lando Norris
27,1:40.294,4,Lando Norris
28,1:58.081,4,Lando Norris
1,,5,Sebastian Vettel
2,20:17.192,5,Sebastian Vettel
3,1:39.441,5,Sebastian Vettel
4,2:28.468,5,Sebastian Vettel
5,1:37.596,5,Sebastian Vettel
6,2:31.729,5,Sebastian Vettel
7,1:37.653,5,Sebastian Vettel
8,2:34.354,5,Sebastian Vettel
9,14:30.180,5,Sebastian Vettel
10,1:36.969,5,Sebastian Vettel
11,,5,Sebastian Vettel
12,14:11.721,5,Sebastian Vettel
13,1:36.323,5,Sebastian Vettel
14,2:08.504,5,Sebastian Vettel
15,2:58.848,5,Sebastian Vettel
16,8:03.812,5,Sebastian Vettel
17,2:30.125,5,Sebastian Vettel
18,1:45.284,5,Sebastian Vettel
19,1:41.426,5,Sebastian Vettel
20,1:41.518,5,Sebastian Vettel
21,1:53.049,5,Sebastian Vettel
22,1:41.408,5,Sebastian Vettel
23,1:50.317,5,Sebastian Vettel
1,,6,Nicholas Latifi
2,2:56.316,6,Nicholas Latifi
3,18:09.045,6,Nicholas Latifi
4,1:38.779,6,Nicholas Latifi
5,2:42.788,6,Nicholas Latifi
6,1:37.784,6,Nicholas Latifi
7,2:40.581,6,Nicholas Latifi
8,2:18.832,6,Nicholas Latifi
9,2:33.852,6,Nicholas Latifi
10,14:24.314,6,Nicholas Latifi
1,,7,Kimi Räikkönen
2,1:48.344,7,Kimi Räikkönen
