Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,13:22.590,3,Daniel Ricciardo
3,56.194,3,Daniel Ricciardo
4,1:37.526,3,Daniel Ricciardo
5,55.845,3,Daniel Ricciardo
6,1:23.881,3,Daniel Ricciardo
7,1:05.837,3,Daniel Ricciardo
8,2:06.641,3,Daniel Ricciardo
9,56.127,3,Daniel Ricciardo
10,1:26.180,3,Daniel Ricciardo
11,55.703,3,Daniel Ricciardo
12,1:07.970,3,Daniel Ricciardo
13,26:03.354,3,Daniel Ricciardo
14,55.379,3,Daniel Ricciardo
15,1:28.782,3,Daniel Ricciardo
16,55.682,3,Daniel Ricciardo
17,1:24.625,3,Daniel Ricciardo
18,11:09.051,3,Daniel Ricciardo
19,58.71,3,Daniel Ricciardo
20,58.658,3,Daniel Ricciardo
21,58.508,3,Daniel Ricciardo
22,58.594,3,Daniel Ricciardo
23,58.775,3,Daniel Ricciardo
24,58.603,3,Daniel Ricciardo
25,58.643,3,Daniel Ricciardo
26,58.778,3,Daniel Ricciardo
27,58.684,3,Daniel Ricciardo
28,1:00.110,3,Daniel Ricciardo
29,59.432,3,Daniel Ricciardo
30,59.004,3,Daniel Ricciardo
31,58.959,3,Daniel Ricciardo
32,59.14,3,Daniel Ricciardo
33,58.967,3,Daniel Ricciardo
34,59.451,3,Daniel Ricciardo
35,1:00.198,3,Daniel Ricciardo
36,59.222,3,Daniel Ricciardo
37,59.671,3,Daniel Ricciardo
38,59.849,3,Daniel Ricciardo
39,1:14.711,3,Daniel Ricciardo
1,,4,Lando Norris
2,7:59.971,4,Lando Norris
3,57.083,4,Lando Norris
4,1:08.997,4,Lando Norris
5,1:04.599,4,Lando Norris
6,56.898,4,Lando Norris
7,1:07.958,4,Lando Norris
8,57.069,4,Lando Norris
9,1:17.738,4,Lando Norris
10,56.884,4,Lando Norris
11,1:10.032,4,Lando Norris
12,10:35.421,4,Lando Norris
13,1:00.157,4,Lando Norris
14,59.44,4,Lando Norris
15,57.797,4,Lando Norris
16,1:11.710,4,Lando Norris
17,57.086,4,Lando Norris
18,1:17.328,4,Lando Norris
19,1:01.168,4,Lando Norris
20,10:35.975,4,Lando Norris
21,56.078,4,Lando Norris
22,1:13.964,4,Lando Norris
23,1:04.606,4,Lando Norris
24,1:19.547,4,Lando Norris
25,56.362,4,Lando Norris
26,1:10.885,4,Lando Norris
27,14:53.276,4,Lando Norris
28,1:31.559,4,Lando Norris
29,59.115,4,Lando Norris
30,59.316,4,Lando Norris
31,59.348,4,Lando Norris
32,59.408,4,Lando Norris
33,59.67,4,Lando Norris
34,58.951,4,Lando Norris
35,1:03.779,4,Lando Norris
36,1:02.569,4,Lando Norris
37,1:20.026,4,Lando Norris
38,59.156,4,Lando Norris
39,59.145,4,Lando Norris
40,59.264,4,Lando Norris
41,59.352,4,Lando Norris
42,59.388,4,Lando Norris
43,59.802,4,Lando Norris
44,59.61,4,Lando Norris
45,59.336,4,Lando Norris
46,59.34,4,Lando Norris
47,1:03.558,4,Lando Norris
1,,5,Sebastian Vettel
2,56.871,5,Sebastian Vettel
3,56.529,5,Sebastian Vettel
