Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,15:44.989,3,Daniel Ricciardo
3,1:19.794,3,Daniel Ricciardo
4,2:00.276,3,Daniel Ricciardo
5,1:19.230,3,Daniel Ricciardo
6,1:50.402,3,Daniel Ricciardo
7,1:28.116,3,Daniel Ricciardo
8,1:52.876,3,Daniel Ricciardo
9,16:38.643,3,Daniel Ricciardo
10,1:19.776,3,Daniel Ricciardo
11,1:47.528,3,Daniel Ricciardo
12,1:19.377,3,Daniel Ricciardo
13,1:45.661,3,Daniel Ricciardo
14,2:04.999,3,Daniel Ricciardo
15,1:19.520,3,Daniel Ricciardo
16,1:41.791,3,Daniel Ricciardo
17,1:19.506,3,Daniel Ricciardo
18,1:33.500,3,Daniel Ricciardo
19,13:19.106,3,Daniel Ricciardo
20,1:24.699,3,Daniel Ricciardo
21,1:24.626,3,Daniel Ricciardo
22,1:24.458,3,Daniel Ricciardo
23,1:24.301,3,Daniel Ricciardo
24,1:24.327,3,Daniel Ricciardo
25,1:24.282,3,Daniel Ricciardo
26,1:24.295,3,Daniel Ricciardo
27,1:23.751,3,Daniel Ricciardo
28,1:23.790,3,Daniel Ricciardo
29,1:24.138,3,Daniel Ricciardo
30,1:24.305,3,Daniel Ricciardo
31,1:45.639,3,Daniel Ricciardo
1,,4,Lando Norris
2,15:25.858,4,Lando Norris
3,1:21.393,4,Lando Norris
4,2:00.194,4,Lando Norris
5,1:20.816,4,Lando Norris
6,1:55.294,4,Lando Norris
7,1:29.717,4,Lando Norris
8,2:04.033,4,Lando Norris
9,1:21.122,4,Lando Norris
10,1:21.867,4,Lando Norris
11,1:22.458,4,Lando Norris
12,1:22.749,4,Lando Norris
13,1:22.515,4,Lando Norris
14,1:22.258,4,Lando Norris
15,1:30.655,4,Lando Norris
16,12:53.401,4,Lando Norris
17,1:18.744,4,Lando Norris
18,2:06.612,4,Lando Norris
19,1:40.920,4,Lando Norris
20,1:32.712,4,Lando Norris
21,1:29.430,4,Lando Norris
22,12:44.560,4,Lando Norris
23,1:51.865,4,Lando Norris
24,1:23.840,4,Lando Norris
25,1:23.687,4,Lando Norris
26,1:24.119,4,Lando Norris
27,1:24.417,4,Lando Norris
28,1:24.939,4,Lando Norris
29,1:24.808,4,Lando Norris
30,1:28.153,4,Lando Norris
31,1:24.488,4,Lando Norris
32,1:32.211,4,Lando Norris
1,,5,Sebastian Vettel
2,1:24.910,5,Sebastian Vettel
3,1:22.879,5,Sebastian Vettel
4,1:39.221,5,Sebastian Vettel
5,16:41.547,5,Sebastian Vettel
6,1:25.097,5,Sebastian Vettel
7,1:20.826,5,Sebastian Vettel
8,1:53.137,5,Sebastian Vettel
9,1:20.366,5,Sebastian Vettel
10,1:53.472,5,Sebastian Vettel
11,1:20.700,5,Sebastian Vettel
12,2:01.060,5,Sebastian Vettel
13,1:20.246,5,Sebastian Vettel
14,1:42.590,5,Sebastian Vettel
15,20:48.517,5,Sebastian Vettel
16,1:17.981,5,Sebastian Vettel
17,2:17.249,5,Sebastian Vettel
18,1:18.706,5,Sebastian Vettel
19,2:09.034,5,Sebastian Vettel
20,1:19.085,5,Sebastian Vettel
21,1:39.264,5,Sebastian Vettel
22,2:20.738,5,Sebastian Vettel
23,15:07.779,5,Sebastian Vettel
24,2:10.738,5,Sebastian Vettel
25,1:22.877,5,Sebastian Vettel
26,1:22.816,5,Sebastian Vettel
27,1:31.896,5,Sebastian Vettel
1,,6,Nicholas Latifi
2,15:19.824,6,Nicholas Latifi
3,1:21.075,6,Nicholas Latifi
4,2:13.272,6,Nicholas Latifi
5,1:20.368,6,Nicholas Latifi
6,2:09.670,6,Nicholas Latifi
7,1:58.196,6,Nicholas Latifi
8,,6,Nicholas Latifi
9,2:05.681,6,Nicholas Latifi
10,1:21.448,6,Nicholas Latifi
11,1:41.147,6,Nicholas Latifi
12,2:24.605,6,Nicholas Latifi
13,21:10.657,6,Nicholas Latifi
14,1:21.318,6,Nicholas Latifi
15,2:02.667,6,Nicholas Latifi
16,1:20.604,6,Nicholas Latifi
17,2:00.758,6,Nicholas Latifi
18,1:20.503,6,Nicholas Latifi
19,1:54.372,6,Nicholas Latifi
20,1:21.592,6,Nicholas Latifi
21,1:41.533,6,Nicholas Latifi
22,2:13.523,6,Nicholas Latifi
23,8:55.982,6,Nicholas Latifi
24,2:02.629,6,Nicholas Latifi
25,1:25.262,6,Nicholas Latifi
26,1:24.459,6,Nicholas Latifi
27,1:24.582,6,Nicholas Latifi
28,1:24.811,6,Nicholas Latifi
29,1:25.439,6,Nicholas Latifi
30,1:58.530,6,Nicholas Latifi
1,,7,Kimi Räikkönen
2,18:57.623,7,Kimi Räikkönen
3,1:19.992,7,Kimi Räikkönen
4,1:51.774,7,Kimi Räikkönen
5,1:19.796,7,Kimi Räikkönen
6,1:52.510,7,Kimi Räikkönen
7,2:14.367,7,Kimi Räikkönen
8,1:23.968,7,Kimi Räikkönen
9,1:57.358,7,Kimi Räikkönen
10,16:37.746,7,Kimi Räikkönen
11,1:18.981,7,Kimi Räikkönen
12,2:01.620,7,Kimi Räikkönen
13,1:54.994,7,Kimi Räikkönen
14,1:20.060,7,Kimi Räikkönen
15,1:42.629,7,Kimi Räikkönen
16,19:55.983,7,Kimi Räikkönen
17,1:20.105,7,Kimi Räikkönen
18,1:50.497,7,Kimi Räikkönen
19,2:45.331,7,Kimi Räikkönen
20,1:20.595,7,Kimi Räikkönen
21,2:10.690,7,Kimi Räikkönen
22,1:20.442,7,Kimi Räikkönen
23,1:39.346,7,Kimi Räikkönen
24,1:47.614,7,Kimi Räikkönen
1,,8,Romain Grosjean
2,17:55.564,8,Romain Grosjean
3,1:20.050,8,Romain Grosjean
4,1:50.151,8,Romain Grosjean
5,1:20.213,8,Romain Grosjean
6,2:00.246,8,Romain Grosjean
7,1:19.543,8,Romain Grosjean
8,1:41.318,8,Romain Grosjean
9,18:24.515,8,Romain Grosjean
10,1:18.573,8,Romain Grosjean
11,2:10.642,8,Romain Grosjean
