Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,,3,Daniel Ricciardo
3,17:54.744,3,Daniel Ricciardo
4,1:07.398,3,Daniel Ricciardo
5,1:27.956,3,Daniel Ricciardo
6,1:40.881,3,Daniel Ricciardo
7,1:27.724,3,Daniel Ricciardo
8,1:38.770,3,Daniel Ricciardo
9,,3,Daniel Ricciardo
10,21:05.706,3,Daniel Ricciardo
11,1:06.146,3,Daniel Ricciardo
12,1:41.938,3,Daniel Ricciardo
13,1:05.769,3,Daniel Ricciardo
14,1:40.456,3,Daniel Ricciardo
15,17:24.247,3,Daniel Ricciardo
16,1:10.344,3,Daniel Ricciardo
17,1:09.923,3,Daniel Ricciardo
18,1:09.547,3,Daniel Ricciardo
19,1:09.583,3,Daniel Ricciardo
20,1:09.499,3,Daniel Ricciardo
21,1:09.382,3,Daniel Ricciardo
22,1:09.374,3,Daniel Ricciardo
23,1:09.358,3,Daniel Ricciardo
24,1:09.330,3,Daniel Ricciardo
25,1:09.264,3,Daniel Ricciardo
26,1:09.302,3,Daniel Ricciardo
27,1:11.963,3,Daniel Ricciardo
28,1:09.259,3,Daniel Ricciardo
29,1:22.729,3,Daniel Ricciardo
30,1:43.761,3,Daniel Ricciardo
31,1:36.959,3,Daniel Ricciardo
1,,4,Lando Norris
2,,4,Lando Norris
3,11:19.368,4,Lando Norris
4,1:06.702,4,Lando Norris
5,1:44.447,4,Lando Norris
6,1:06.550,4,Lando Norris
7,1:43.959,4,Lando Norris
8,1:10.726,4,Lando Norris
9,1:33.205,4,Lando Norris
10,1:40.313,4,Lando Norris
11,1:06.651,4,Lando Norris
12,1:42.253,4,Lando Norris
13,1:23.703,4,Lando Norris
14,32:38.015,4,Lando Norris
15,1:05.908,4,Lando Norris
16,1:41.243,4,Lando Norris
17,1:06.014,4,Lando Norris
18,1:44.693,4,Lando Norris
19,1:23.074,4,Lando Norris
20,18:39.742,4,Lando Norris
21,1:11.074,4,Lando Norris
22,1:09.843,4,Lando Norris
23,1:10.085,4,Lando Norris
24,1:50.028,4,Lando Norris
25,1:57.559,4,Lando Norris
1,,5,Sebastian Vettel
2,17:22.769,5,Sebastian Vettel
3,1:08.263,5,Sebastian Vettel
4,1:25.806,5,Sebastian Vettel
5,1:07.377,5,Sebastian Vettel
6,1:32.399,5,Sebastian Vettel
7,1:13.762,5,Sebastian Vettel
8,1:08.909,5,Sebastian Vettel
9,1:07.999,5,Sebastian Vettel
10,1:36.014,5,Sebastian Vettel
11,29:35.853,5,Sebastian Vettel
12,1:05.770,5,Sebastian Vettel
13,1:38.298,5,Sebastian Vettel
14,1:06.564,5,Sebastian Vettel
15,1:28.810,5,Sebastian Vettel
16,1:07.388,5,Sebastian Vettel
17,1:28.281,5,Sebastian Vettel
18,2:02.525,5,Sebastian Vettel
19,15:50.684,5,Sebastian Vettel
20,1:51.838,5,Sebastian Vettel
21,1:09.510,5,Sebastian Vettel
22,1:09.772,5,Sebastian Vettel
23,1:09.739,5,Sebastian Vettel
24,1:41.236,5,Sebastian Vettel
25,2:01.895,5,Sebastian Vettel
1,,6,Nicholas Latifi
2,19:19.665,6,Nicholas Latifi
3,1:12.201,6,Nicholas Latifi
4,1:09.598,6,Nicholas Latifi
5,1:21.995,6,Nicholas Latifi
1,,7,Kimi Räikkönen
2,,7,Kimi Räikkönen
3,34:27.317,7,Kimi Räikkönen
4,1:08.322,7,Kimi Räikkönen
5,1:23.466,7,Kimi Räikkönen
6,1:07.854,7,Kimi Räikkönen
7,1:07.826,7,Kimi Räikkönen
8,1:14.288,7,Kimi Räikkönen
9,19:43.599,7,Kimi Räikkönen
10,1:06.699,7,Kimi Räikkönen
11,1:42.073,7,Kimi Räikkönen
12,1:06.441,7,Kimi Räikkönen
13,1:34.457,7,Kimi Räikkönen
14,1:27.930,7,Kimi Räikkönen
15,1:06.509,7,Kimi Räikkönen
16,1:22.360,7,Kimi Räikkönen
17,12:49.959,7,Kimi Räikkönen
18,1:18.771,7,Kimi Räikkönen
19,1:22.154,7,Kimi Räikkönen
20,1:07.194,7,Kimi Räikkönen
21,1:14.062,7,Kimi Räikkönen
22,1:30.371,7,Kimi Räikkönen
23,1:40.201,7,Kimi Räikkönen
1,,8,Romain Grosjean
2,17:50.577,8,Romain Grosjean
3,1:08.517,8,Romain Grosjean
4,1:35.768,8,Romain Grosjean
5,1:09.450,8,Romain Grosjean
6,1:20.471,8,Romain Grosjean
7,1:41.836,8,Romain Grosjean
8,1:07.913,8,Romain Grosjean
9,1:36.620,8,Romain Grosjean
10,,8,Romain Grosjean
11,21:47.113,8,Romain Grosjean
12,1:06.780,8,Romain Grosjean
13,1:41.467,8,Romain Grosjean
14,1:06.537,8,Romain Grosjean
15,1:40.413,8,Romain Grosjean
16,1:06.446,8,Romain Grosjean
17,1:41.240,8,Romain Grosjean
18,1:08.470,8,Romain Grosjean
19,1:21.087,8,Romain Grosjean
20,17:54.097,8,Romain Grosjean
21,1:10.203,8,Romain Grosjean
22,1:10.894,8,Romain Grosjean
23,1:10.649,8,Romain Grosjean
24,1:10.561,8,Romain Grosjean
25,1:10.542,8,Romain Grosjean
26,1:10.689,8,Romain Grosjean
27,1:12.257,8,Romain Grosjean
28,1:11.021,8,Romain Grosjean
29,1:11.022,8,Romain Grosjean
30,2:18.058,8,Romain Grosjean
31,1:35.681,8,Romain Grosjean
1,,10,Pierre Gasly
2,23:31.772,10,Pierre Gasly
3,1:06.889,10,Pierre Gasly
4,1:39.733,10,Pierre Gasly
5,,10,Pierre Gasly
6,6:57.942,10,Pierre Gasly
7,1:06.603,10,Pierre Gasly
8,1:33.278,10,Pierre Gasly
9,1:06.585,10,Pierre Gasly
10,1:30.122,10,Pierre Gasly
11,1:06.535,10,Pierre Gasly
12,1:14.171,10,Pierre Gasly
13,16:04.602,10,Pierre Gasly
14,1:05.698,10,Pierre Gasly
15,1:30.394,10,Pierre Gasly
16,1:06.354,10,Pierre Gasly
17,1:30.930,10,Pierre Gasly
18,1:53.436,10,Pierre Gasly
19,1:06.434,10,Pierre Gasly
20,1:21.181,10,Pierre Gasly
21,16:32.032,10,Pierre Gasly
22,1:28.714,10,Pierre Gasly
23,1:25.833,10,Pierre Gasly
24,1:22.222,10,Pierre Gasly
25,1:10.745,10,Pierre Gasly
26,1:56.712,10,Pierre Gasly
27,1:40.549,10,Pierre Gasly
1,,11,Sergio Pérez
2,20:28.814,11,Sergio Pérez
3,1:06.727,11,Sergio Pérez
4,1:35.655,11,Sergio Pérez
5,,11,Sergio Pérez
6,7:04.777,11,Sergio Pérez
7,1:09.819,11,Sergio Pérez
8,1:06.188,11,Sergio Pérez
9,1:26.512,11,Sergio Pérez
10,1:06.085,11,Sergio Pérez
11,1:06.838,11,Sergio Pérez
12,1:19.160,11,Sergio Pérez
13,10:44.435,11,Sergio Pérez
14,1:04.867,11,Sergio Pérez
15,1:32.134,11,Sergio Pérez
16,1:18.897,11,Sergio Pérez
17,1:05.347,11,Sergio Pérez
18,1:17.061,11,Sergio Pérez
19,18:01.089,11,Sergio Pérez
20,1:09.115,11,Sergio Pérez
21,1:09.406,11,Sergio Pérez
22,1:08.609,11,Sergio Pérez
23,1:08.731,11,Sergio Pérez
24,1:08.823,11,Sergio Pérez
25,1:08.950,11,Sergio Pérez
26,1:09.324,11,Sergio Pérez
27,1:09.548,11,Sergio Pérez
28,1:10.001,11,Sergio Pérez
29,1:10.497,11,Sergio Pérez
30,1:10.149,11,Sergio Pérez
31,1:39.131,11,Sergio Pérez
32,1:56.502,11,Sergio Pérez
1,,16,Charles Leclerc
2,13:58.929,16,Charles Leclerc
3,1:07.197,16,Charles Leclerc
4,1:29.916,16,Charles Leclerc
5,1:06.578,16,Charles Leclerc
6,1:32.400,16,Charles Leclerc
7,1:06.566,16,Charles Leclerc
8,1:21.751,16,Charles Leclerc
9,1:08.071,16,Charles Leclerc
10,1:23.978,16,Charles Leclerc
11,16:29.464,16,Charles Leclerc
12,1:05.838,16,Charles Leclerc
13,1:28.655,16,Charles Leclerc
14,1:41.068,16,Charles Leclerc
15,1:05.837,16,Charles Leclerc
16,1:28.220,16,Charles Leclerc
17,1:06.191,16,Charles Leclerc
18,1:26.002,16,Charles Leclerc
19,1:46.202,16,Charles Leclerc
20,29:43.077,16,Charles Leclerc
21,1:45.743,16,Charles Leclerc
22,1:09.685,16,Charles Leclerc
23,1:09.217,16,Charles Leclerc
24,1:10.174,16,Charles Leclerc
25,1:09.680,16,Charles Leclerc
26,1:09.723,16,Charles Leclerc
27,1:39.235,16,Charles Leclerc
28,1:51.417,16,Charles Leclerc
1,,18,Lance Stroll
2,20:55.693,18,Lance Stroll
3,1:07.164,18,Lance Stroll
4,1:22.935,18,Lance Stroll
5,1:27.644,18,Lance Stroll
6,,18,Lance Stroll
7,6:17.729,18,Lance Stroll
8,1:06.553,18,Lance Stroll
9,1:21.718,18,Lance Stroll
10,1:06.617,18,Lance Stroll
11,1:30.948,18,Lance Stroll
12,1:21.723,18,Lance Stroll
13,10:06.652,18,Lance Stroll
14,1:05.211,18,Lance Stroll
15,1:41.510,18,Lance Stroll
16,1:25.572,18,Lance Stroll
17,1:05.476,18,Lance Stroll
