Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,46:11.877,3,Daniel Ricciardo
3,1:54.909,3,Daniel Ricciardo
4,1:53.477,3,Daniel Ricciardo
5,,3,Daniel Ricciardo
6,1:50.210,3,Daniel Ricciardo
7,1:48.813,3,Daniel Ricciardo
8,1:48.364,3,Daniel Ricciardo
9,,3,Daniel Ricciardo
10,1:50.536,3,Daniel Ricciardo
11,1:58.663,3,Daniel Ricciardo
12,13:34.598,3,Daniel Ricciardo
13,1:51.579,3,Daniel Ricciardo
14,1:53.582,3,Daniel Ricciardo
15,1:48.036,3,Daniel Ricciardo
16,1:48.882,3,Daniel Ricciardo
17,1:46.725,3,Daniel Ricciardo
18,1:45.156,3,Daniel Ricciardo
19,2:15.663,3,Daniel Ricciardo
20,2:41.836,3,Daniel Ricciardo
1,,4,Lando Norris
2,37:24.260,4,Lando Norris
3,1:57.224,4,Lando Norris
4,,4,Lando Norris
5,1:51.214,4,Lando Norris
6,1:54.431,4,Lando Norris
7,18:41.876,4,Lando Norris
8,2:01.273,4,Lando Norris
9,1:46.508,4,Lando Norris
10,1:48.892,4,Lando Norris
11,2:04.590,4,Lando Norris
12,1:43.145,4,Lando Norris
13,1:41.645,4,Lando Norris
14,1:39.158,4,Lando Norris
15,1:38.403,4,Lando Norris
16,1:43.560,4,Lando Norris
17,1:40.259,4,Lando Norris
18,1:37.216,4,Lando Norris
19,1:39.420,4,Lando Norris
20,2:01.577,4,Lando Norris
21,1:43.186,4,Lando Norris
1,,5,Sebastian Vettel
2,2:01.145,5,Sebastian Vettel
3,,5,Sebastian Vettel
4,29:29.752,5,Sebastian Vettel
5,1:51.650,5,Sebastian Vettel
6,1:49.263,5,Sebastian Vettel
7,1:49.763,5,Sebastian Vettel
8,1:46.254,5,Sebastian Vettel
9,1:55.927,5,Sebastian Vettel
10,1:48.846,5,Sebastian Vettel
11,1:47.438,5,Sebastian Vettel
12,10:21.260,5,Sebastian Vettel
13,1:43.588,5,Sebastian Vettel
14,1:40.755,5,Sebastian Vettel
15,1:39.558,5,Sebastian Vettel
16,1:38.833,5,Sebastian Vettel
17,1:55.251,5,Sebastian Vettel
18,2:17.704,5,Sebastian Vettel
19,1:40.228,5,Sebastian Vettel
20,1:39.803,5,Sebastian Vettel
21,1:37.159,5,Sebastian Vettel
22,1:36.085,5,Sebastian Vettel
23,1:35.620,5,Sebastian Vettel
24,1:39.070,5,Sebastian Vettel
25,8:23.689,5,Sebastian Vettel
26,2:20.983,5,Sebastian Vettel
27,1:41.078,5,Sebastian Vettel
28,1:45.292,5,Sebastian Vettel
29,2:28.036,5,Sebastian Vettel
1,,6,Nicholas Latifi
2,32:22.526,6,Nicholas Latifi
3,2:09.101,6,Nicholas Latifi
4,2:02.213,6,Nicholas Latifi
5,1:58.090,6,Nicholas Latifi
6,1:58.333,6,Nicholas Latifi
7,1:55.490,6,Nicholas Latifi
8,29:38.658,6,Nicholas Latifi
9,1:54.161,6,Nicholas Latifi
10,1:48.616,6,Nicholas Latifi
11,1:47.550,6,Nicholas Latifi
12,1:43.853,6,Nicholas Latifi
13,1:41.614,6,Nicholas Latifi
14,1:39.716,6,Nicholas Latifi
