Lap,Time,No.,Driver
1,3:04.756,3,Daniel Ricciardo
2,15:21.085,3,Daniel Ricciardo
3,2:03.644,3,Daniel Ricciardo
4,1:23.512,3,Daniel Ricciardo
5,1:58.458,3,Daniel Ricciardo
6,1:21.152,3,Daniel Ricciardo
7,1:55.250,3,Daniel Ricciardo
8,1:20.280,3,Daniel Ricciardo
9,3:01.247,3,Daniel Ricciardo
10,1:42.889,3,Daniel Ricciardo
11,1:20.080,3,Daniel Ricciardo
12,16:29.532,3,Daniel Ricciardo
13,2:03.978,3,Daniel Ricciardo
14,1:19.140,3,Daniel Ricciardo
15,2:07.854,3,Daniel Ricciardo
16,2:12.313,3,Daniel Ricciardo
17,1:55.757,3,Daniel Ricciardo
18,1:19.908,3,Daniel Ricciardo
19,20:03.769,3,Daniel Ricciardo
20,1:40.087,3,Daniel Ricciardo
21,1:24.638,3,Daniel Ricciardo
22,1:25.422,3,Daniel Ricciardo
23,1:25.038,3,Daniel Ricciardo
24,1:24.292,3,Daniel Ricciardo
1,1:50.417,4,Lando Norris
2,14:02.655,4,Lando Norris
3,1:47.340,4,Lando Norris
4,1:23.412,4,Lando Norris
5,1:56.816,4,Lando Norris
6,1:21.694,4,Lando Norris
7,1:59.531,4,Lando Norris
8,,4,Lando Norris
9,2:01.186,4,Lando Norris
10,1:21.412,4,Lando Norris
11,1:55.313,4,Lando Norris
12,1:35.925,4,Lando Norris
13,16:58.439,4,Lando Norris
14,1:44.442,4,Lando Norris
15,1:18.981,4,Lando Norris
16,2:07.711,4,Lando Norris
17,1:52.634,4,Lando Norris
18,1:19.530,4,Lando Norris
19,11:26.929,4,Lando Norris
20,1:45.035,4,Lando Norris
21,1:24.246,4,Lando Norris
22,1:24.400,4,Lando Norris
23,1:44.648,4,Lando Norris
24,1:29.798,4,Lando Norris
25,1:24.515,4,Lando Norris
26,1:25.221,4,Lando Norris
27,1:28.261,4,Lando Norris
28,1:24.124,4,Lando Norris
29,1:24.304,4,Lando Norris
1,17:27.552,5,Sebastian Vettel
2,1:44.510,5,Sebastian Vettel
3,1:22.768,5,Sebastian Vettel
4,1:28.733,5,Sebastian Vettel
5,1:22.080,5,Sebastian Vettel
6,2:07.642,5,Sebastian Vettel
7,1:21.565,5,Sebastian Vettel
8,1:58.557,5,Sebastian Vettel
9,1:21.654,5,Sebastian Vettel
10,2:01.963,5,Sebastian Vettel
11,1:21.264,5,Sebastian Vettel
12,19:25.069,5,Sebastian Vettel
13,2:01.566,5,Sebastian Vettel
14,1:19.267,5,Sebastian Vettel
15,2:03.175,5,Sebastian Vettel
16,1:57.228,5,Sebastian Vettel
17,1:19.645,5,Sebastian Vettel
18,1:54.132,5,Sebastian Vettel
19,13:41.715,5,Sebastian Vettel
20,2:01.020,5,Sebastian Vettel
21,1:46.679,5,Sebastian Vettel
22,1:23.977,5,Sebastian Vettel
23,1:24.327,5,Sebastian Vettel
24,1:24.205,5,Sebastian Vettel
25,1:24.594,5,Sebastian Vettel
26,1:24.455,5,Sebastian Vettel
1,15:49.967,6,Nicholas Latifi
2,1:53.970,6,Nicholas Latifi
3,1:23.087,6,Nicholas Latifi
4,2:09.339,6,Nicholas Latifi
5,1:21.770,6,Nicholas Latifi
6,2:20.008,6,Nicholas Latifi
7,1:58.093,6,Nicholas Latifi
8,1:21.290,6,Nicholas Latifi
9,2:15.283,6,Nicholas Latifi
10,1:53.086,6,Nicholas Latifi
11,1:20.379,6,Nicholas Latifi
12,2:22.283,6,Nicholas Latifi
13,11:46.532,6,Nicholas Latifi
14,2:05.207,6,Nicholas Latifi
15,1:21.965,6,Nicholas Latifi
16,1:43.262,6,Nicholas Latifi
17,1:20.451,6,Nicholas Latifi
18,2:01.356,6,Nicholas Latifi
19,1:20.034,6,Nicholas Latifi
20,2:03.872,6,Nicholas Latifi
21,1:21.137,6,Nicholas Latifi
22,1:58.641,6,Nicholas Latifi
23,13:15.459,6,Nicholas Latifi
24,1:58.953,6,Nicholas Latifi
25,1:25.499,6,Nicholas Latifi
26,1:25.095,6,Nicholas Latifi
27,1:59.746,6,Nicholas Latifi
28,1:26.351,6,Nicholas Latifi
29,1:25.296,6,Nicholas Latifi
30,1:25.246,6,Nicholas Latifi
31,1:25.277,6,Nicholas Latifi
1,11:38.333,7,Kimi Räikkönen
2,1:38.470,7,Kimi Räikkönen
