"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","1:39.218"
"3","10",3,"Pierre Gasly","GAS","2:22.866"
"4","10",4,"Pierre Gasly","GAS","2:9.88399999999999"
"5","10",5,"Pierre Gasly","GAS","1:38.921"
"6","10",6,"Pierre Gasly","GAS","1:44.256"
"7","10",7,"Pierre Gasly","GAS","1:40.595"
"8","10",8,"Pierre Gasly","GAS","1:41.645"
"9","10",9,"Pierre Gasly","GAS","1:41.899"
"10","10",10,"Pierre Gasly","GAS","1:43.764"
"11","10",11,"Pierre Gasly","GAS","8:58.052"
"12","10",12,"Pierre Gasly","GAS","1:38.538"
"13","10",13,"Pierre Gasly","GAS","2:12.842"
"14","10",14,"Pierre Gasly","GAS","1:38.325"
"15","10",15,"Pierre Gasly","GAS","1:58.61"
"16","10",16,"Pierre Gasly","GAS","11:24.421"
"17","10",17,"Pierre Gasly","GAS","2:23.037"
"18","10",18,"Pierre Gasly","GAS","1:38.049"
"19","10",19,"Pierre Gasly","GAS","2:42.199"
"20","10",20,"Pierre Gasly","GAS","2:1.535"
"21","10",21,"Pierre Gasly","GAS","1:37.9"
"22","10",22,"Pierre Gasly","GAS","2:1.578"
"23","10",23,"Pierre Gasly","GAS","8:19.806"
"24","10",24,"Pierre Gasly","GAS","1:43.14"
"25","10",25,"Pierre Gasly","GAS","1:43.071"
"26","10",26,"Pierre Gasly","GAS","1:43.249"
"27","10",27,"Pierre Gasly","GAS","0:0"
"28","10",28,"Pierre Gasly","GAS","14:14.6079999999999"
"29","10",29,"Pierre Gasly","GAS","1:43.038"
"30","10",30,"Pierre Gasly","GAS","1:42.296"
"31","10",31,"Pierre Gasly","GAS","2:7.511"
"32","10",32,"Pierre Gasly","GAS","2:36.428"
"33","11",1,"Sergio Pérez","PER","0:0"
"34","11",2,"Sergio Pérez","PER","1:39.229"
"35","11",3,"Sergio Pérez","PER","2:41.138"
"36","11",4,"Sergio Pérez","PER","1:39.13"
"37","11",5,"Sergio Pérez","PER","2:31.403"
"38","11",6,"Sergio Pérez","PER","2:0.945999999999998"
"39","11",7,"Sergio Pérez","PER","1:39.408"
"40","11",8,"Sergio Pérez","PER","2:28.996"
"41","11",9,"Sergio Pérez","PER","1:38.982"
"42","11",10,"Sergio Pérez","PER","1:58.08"
"43","11",11,"Sergio Pérez","PER","7:18.915"
"44","11",12,"Sergio Pérez","PER","1:37.506"
"45","11",13,"Sergio Pérez","PER","1:51.141"
"46","11",14,"Sergio Pérez","PER","12:56.537"
"47","11",15,"Sergio Pérez","PER","1:42.943"
"48","11",16,"Sergio Pérez","PER","1:43.164"
"49","11",17,"Sergio Pérez","PER","1:43.388"
"50","11",18,"Sergio Pérez","PER","1:44.601"
"51","11",19,"Sergio Pérez","PER","1:44.64"
"52","11",20,"Sergio Pérez","PER","1:45.597"
"53","11",21,"Sergio Pérez","PER","1:46.009"
"54","11",22,"Sergio Pérez","PER","1:48.602"
"55","11",23,"Sergio Pérez","PER","2:4.065"
"56","11",24,"Sergio Pérez","PER","1:42.289"
"57","11",25,"Sergio Pérez","PER","1:42.425"
"58","11",26,"Sergio Pérez","PER","1:43.102"
"59","11",27,"Sergio Pérez","PER","1:43.12"
"60","11",28,"Sergio Pérez","PER","1:42.827"
"61","11",29,"Sergio Pérez","PER","1:43.468"
"62","11",30,"Sergio Pérez","PER","0:0"
"63","11",31,"Sergio Pérez","PER","15:16.5309999999999"
"64","11",32,"Sergio Pérez","PER","1:42.369"
"65","11",33,"Sergio Pérez","PER","1:42.322"
"66","11",34,"Sergio Pérez","PER","2:23.198"
"67","11",35,"Sergio Pérez","PER","2:24.131"
"68","16",1,"Charles Leclerc","LEC","0:0"
"69","16",2,"Charles Leclerc","LEC","1:39.965"
"70","16",3,"Charles Leclerc","LEC","2:27.465"
"71","16",4,"Charles Leclerc","LEC","1:39.671"
"72","16",5,"Charles Leclerc","LEC","2:21.686"
"73","16",6,"Charles Leclerc","LEC","1:39.582"
"74","16",7,"Charles Leclerc","LEC","1:40.735"
"75","16",8,"Charles Leclerc","LEC","1:41.283"
"76","16",9,"Charles Leclerc","LEC","1:41.795"
"77","16",10,"Charles Leclerc","LEC","1:46.306"
"78","16",11,"Charles Leclerc","LEC","10:22.539"
"79","16",12,"Charles Leclerc","LEC","1:37.984"
"80","16",13,"Charles Leclerc","LEC","2:33.944"
"81","16",14,"Charles Leclerc","LEC","1:38.902"
"82","16",15,"Charles Leclerc","LEC","2:0.670000000000002"
"83","16",16,"Charles Leclerc","LEC","2:30.761"
"84","16",17,"Charles Leclerc","LEC","10:1.35500000000002"
"85","16",18,"Charles Leclerc","LEC","1:37.508"
"86","16",19,"Charles Leclerc","LEC","2:16.659"
"87","16",20,"Charles Leclerc","LEC","2:3.639"
"88","16",21,"Charles Leclerc","LEC","1:44.518"
"89","16",22,"Charles Leclerc","LEC","8:15.95"
"90","16",23,"Charles Leclerc","LEC","2:19.502"
"91","16",24,"Charles Leclerc","LEC","1:43.799"
"92","16",25,"Charles Leclerc","LEC","1:43.955"
"93","16",26,"Charles Leclerc","LEC","0:0"
"94","16",27,"Charles Leclerc","LEC","15:1.47500000000002"
"95","16",28,"Charles Leclerc","LEC","1:42.965"
"96","16",29,"Charles Leclerc","LEC","1:43.659"
"97","16",30,"Charles Leclerc","LEC","1:53.964"
"98","16",31,"Charles Leclerc","LEC","2:26.676"
"99","18",1,"Lance Stroll","STR","0:0"
"100","18",2,"Lance Stroll","STR","1:40.619"
"101","18",3,"Lance Stroll","STR","2:43.596"
"102","18",4,"Lance Stroll","STR","1:39.33"
"103","18",5,"Lance Stroll","STR","2:20.228"
"104","18",6,"Lance Stroll","STR","1:39.228"
"105","18",7,"Lance Stroll","STR","2:21.355"
"106","18",8,"Lance Stroll","STR","1:39.424"
"107","18",9,"Lance Stroll","STR","1:40.84"
"108","18",10,"Lance Stroll","STR","1:52.692"
"109","18",11,"Lance Stroll","STR","10:42.54"
"110","18",12,"Lance Stroll","STR","1:38.087"
"111","18",13,"Lance Stroll","STR","2:20.773"
"112","18",14,"Lance Stroll","STR","2:6.74299999999999"
"113","18",15,"Lance Stroll","STR","1:38.447"
"114","18",16,"Lance Stroll","STR","1:56.028"
"115","18",17,"Lance Stroll","STR","14:23.412"
"116","18",18,"Lance Stroll","STR","1:37.56"
"117","18",19,"Lance Stroll","STR","2:3.086"
"118","18",20,"Lance Stroll","STR","8:25.728"
"119","18",21,"Lance Stroll","STR","1:43.768"
"120","18",22,"Lance Stroll","STR","1:44.476"
"121","18",23,"Lance Stroll","STR","0:0"
"122","18",24,"Lance Stroll","STR","14:28.771"
"123","18",25,"Lance Stroll","STR","1:46.356"
"124","18",26,"Lance Stroll","STR","1:43.991"
"125","18",27,"Lance Stroll","STR","1:43.987"
"126","18",28,"Lance Stroll","STR","2:19.068"
"127","18",29,"Lance Stroll","STR","2:21.532"
"128","20",1,"Kevin Magnussen","MAG","0:0"
"129","20",2,"Kevin Magnussen","MAG","1:43.977"
"130","20",3,"Kevin Magnussen","MAG","1:42.281"
"131","20",4,"Kevin Magnussen","MAG","2:22.029"
"132","20",5,"Kevin Magnussen","MAG","1:41.101"
"133","20",6,"Kevin Magnussen","MAG","2:40.885"
"134","20",7,"Kevin Magnussen","MAG","1:40.29"
"135","20",8,"Kevin Magnussen","MAG","2:30.167"
"136","20",9,"Kevin Magnussen","MAG","0:0"
"137","20",10,"Kevin Magnussen","MAG","2:0.863"
"138","20",11,"Kevin Magnussen","MAG","8:25.739"
"139","20",12,"Kevin Magnussen","MAG","1:38.676"
"140","20",13,"Kevin Magnussen","MAG","2:7.26600000000001"
"141","20",14,"Kevin Magnussen","MAG","1:39.077"
"142","20",15,"Kevin Magnussen","MAG","1:51.466"
"143","20",16,"Kevin Magnussen","MAG","1:55.96"
"144","20",17,"Kevin Magnussen","MAG","8:2.21300000000002"
"145","20",18,"Kevin Magnussen","MAG","1:38.504"
"146","20",19,"Kevin Magnussen","MAG","1:58.266"
"147","20",20,"Kevin Magnussen","MAG","1:47.817"
"148","20",21,"Kevin Magnussen","MAG","1:43.637"
"149","20",22,"Kevin Magnussen","MAG","1:59.429"
"150","20",23,"Kevin Magnussen","MAG","8:31.293"
"151","20",24,"Kevin Magnussen","MAG","1:44.203"
"152","20",25,"Kevin Magnussen","MAG","1:44.769"
"153","20",26,"Kevin Magnussen","MAG","1:44.927"
"154","20",27,"Kevin Magnussen","MAG","1:45.65"
"155","20",28,"Kevin Magnussen","MAG","0:0"
"156","20",29,"Kevin Magnussen","MAG","15:36.946"
"157","20",30,"Kevin Magnussen","MAG","1:44.877"
"158","20",31,"Kevin Magnussen","MAG","1:45.716"
"159","20",32,"Kevin Magnussen","MAG","1:48.145"
"160","20",33,"Kevin Magnussen","MAG","2:10.869"
"161","20",34,"Kevin Magnussen","MAG","2:55.184"
"162","23",1,"Alexander Albon","ALBA","0:0"
"163","23",2,"Alexander Albon","ALBA","1:42.081"
"164","23",3,"Alexander Albon","ALBA","1:41.978"
"165","23",4,"Alexander Albon","ALBA","1:41.72"
"166","23",5,"Alexander Albon","ALBA","1:41.74"
"167","23",6,"Alexander Albon","ALBA","1:42.902"
"168","23",7,"Alexander Albon","ALBA","1:46.106"
"169","23",8,"Alexander Albon","ALBA","1:41.593"
"170","23",9,"Alexander Albon","ALBA","1:41.468"
"171","23",10,"Alexander Albon","ALBA","1:43.623"
"172","23",11,"Alexander Albon","ALBA","9:0.884999999999991"
"173","23",12,"Alexander Albon","ALBA","1:37.015"
"174","23",13,"Alexander Albon","ALBA","2:35.719"
