"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","1:32.542"
"3","10",3,"Pierre Gasly","GAS","2:9.58199999999999"
"4","10",4,"Pierre Gasly","GAS","2:1.107"
"5","10",5,"Pierre Gasly","GAS","1:32.097"
"6","10",6,"Pierre Gasly","GAS","1:59.614"
"7","10",7,"Pierre Gasly","GAS","1:31.965"
"8","10",8,"Pierre Gasly","GAS","1:48.817"
"9","10",9,"Pierre Gasly","GAS","7:19.422"
"10","10",10,"Pierre Gasly","GAS","1:29.827"
"11","10",11,"Pierre Gasly","GAS","2:15.23"
"12","10",12,"Pierre Gasly","GAS","1:30.587"
"13","10",13,"Pierre Gasly","GAS","2:9.16499999999999"
"14","10",14,"Pierre Gasly","GAS","1:30.934"
"15","10",15,"Pierre Gasly","GAS","1:50.826"
"16","10",16,"Pierre Gasly","GAS","9:1.96799999999996"
"17","10",17,"Pierre Gasly","GAS","1:29.551"
"18","10",18,"Pierre Gasly","GAS","0:0"
"19","10",19,"Pierre Gasly","GAS","21:25.473"
"20","10",20,"Pierre Gasly","GAS","1:34.361"
"21","10",21,"Pierre Gasly","GAS","1:35.759"
"22","10",22,"Pierre Gasly","GAS","1:35.91"
"23","10",23,"Pierre Gasly","GAS","1:36.216"
"24","10",24,"Pierre Gasly","GAS","1:36.677"
"25","10",25,"Pierre Gasly","GAS","1:36.875"
"26","10",26,"Pierre Gasly","GAS","1:37.201"
"27","10",27,"Pierre Gasly","GAS","1:40.131"
"28","10",28,"Pierre Gasly","GAS","2:2.5"
"29","10",29,"Pierre Gasly","GAS","1:34.776"
"30","10",30,"Pierre Gasly","GAS","1:35.344"
"31","10",31,"Pierre Gasly","GAS","1:36.714"
"32","10",32,"Pierre Gasly","GAS","1:35.847"
"33","10",33,"Pierre Gasly","GAS","1:35.697"
"34","10",34,"Pierre Gasly","GAS","1:36.057"
"35","10",35,"Pierre Gasly","GAS","1:36.241"
"36","10",36,"Pierre Gasly","GAS","1:56.819"
"37","11",1,"Sergio Pérez","PER","0:0"
"38","11",2,"Sergio Pérez","PER","1:31.462"
"39","11",3,"Sergio Pérez","PER","2:12.741"
"40","11",4,"Sergio Pérez","PER","1:53.882"
"41","11",5,"Sergio Pérez","PER","2:2.53100000000001"
"42","11",6,"Sergio Pérez","PER","1:31.254"
"43","11",7,"Sergio Pérez","PER","1:32.706"
"44","11",8,"Sergio Pérez","PER","1:43.418"
"45","11",9,"Sergio Pérez","PER","10:45.302"
"46","11",10,"Sergio Pérez","PER","1:29.539"
"47","11",11,"Sergio Pérez","PER","1:51.585"
"48","11",12,"Sergio Pérez","PER","12:21.538"
"49","11",13,"Sergio Pérez","PER","1:29.403"
"50","11",14,"Sergio Pérez","PER","1:53.002"
"51","11",15,"Sergio Pérez","PER","0:0"
"52","11",16,"Sergio Pérez","PER","21:17.614"
"53","11",17,"Sergio Pérez","PER","1:35.693"
"54","11",18,"Sergio Pérez","PER","1:35.742"
"55","11",19,"Sergio Pérez","PER","1:35.469"
"56","11",20,"Sergio Pérez","PER","1:36.348"
"57","11",21,"Sergio Pérez","PER","1:35.831"
"58","11",22,"Sergio Pérez","PER","1:35.926"
"59","11",23,"Sergio Pérez","PER","1:36.044"
"60","11",24,"Sergio Pérez","PER","1:35.324"
"61","11",25,"Sergio Pérez","PER","1:36.314"
"62","11",26,"Sergio Pérez","PER","1:37.518"
"63","11",27,"Sergio Pérez","PER","1:36.805"
"64","11",28,"Sergio Pérez","PER","1:39.997"
"65","11",29,"Sergio Pérez","PER","1:36.944"
"66","11",30,"Sergio Pérez","PER","1:40.606"
"67","11",31,"Sergio Pérez","PER","2:2.44199999999999"
"68","11",32,"Sergio Pérez","PER","1:55.28"
"69","16",1,"Charles Leclerc","LEC","0:0"
"70","16",2,"Charles Leclerc","LEC","1:31.876"
"71","16",3,"Charles Leclerc","LEC","2:15.956"
"72","16",4,"Charles Leclerc","LEC","1:43.712"
"73","16",5,"Charles Leclerc","LEC","1:37.119"
"74","16",6,"Charles Leclerc","LEC","2:21.188"
"75","16",7,"Charles Leclerc","LEC","1:31.032"
"76","16",8,"Charles Leclerc","LEC","2:4.476"
"77","16",9,"Charles Leclerc","LEC","1:31.048"
"78","16",10,"Charles Leclerc","LEC","1:46.919"
"79","16",11,"Charles Leclerc","LEC","2:37.661"
"80","16",12,"Charles Leclerc","LEC","11:42.158"
"81","16",13,"Charles Leclerc","LEC","1:30.407"
"82","16",14,"Charles Leclerc","LEC","2:0.956000000000003"
"83","16",15,"Charles Leclerc","LEC","30:16.335"
"84","16",16,"Charles Leclerc","LEC","2:13.626"
