"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","10:35.556"
"3","10",3,"Pierre Gasly","GAS","1:46.119"
"4","10",4,"Pierre Gasly","GAS","1:44.536"
"5","10",5,"Pierre Gasly","GAS","1:42.588"
"6","10",6,"Pierre Gasly","GAS","1:56.841"
"7","10",7,"Pierre Gasly","GAS","4:22.393"
"8","11",1,"Sergio Pérez","PER","0:0"
"9","11",2,"Sergio Pérez","PER","1:43.862"
"10","11",3,"Sergio Pérez","PER","1:42.47"
"11","11",4,"Sergio Pérez","PER","1:52.189"
"12","11",5,"Sergio Pérez","PER","59:28.3600000000001"
"13","16",1,"Charles Leclerc","LEC","0:0"
"14","16",2,"Charles Leclerc","LEC","1:45.827"
"15","16",3,"Charles Leclerc","LEC","1:43.725"
"16","16",4,"Charles Leclerc","LEC","1:50.427"
"17","16",5,"Charles Leclerc","LEC","20:17.7170000000001"
"18","16",6,"Charles Leclerc","LEC","1:46.281"
"19","16",7,"Charles Leclerc","LEC","1:46.447"
"20","16",8,"Charles Leclerc","LEC","1:44.577"
"21","16",9,"Charles Leclerc","LEC","1:50.006"
"22","16",10,"Charles Leclerc","LEC","2:42.798"
"23","18",1,"Lance Stroll","STR","0:0"
"24","18",2,"Lance Stroll","STR","1:46.445"
"25","18",3,"Lance Stroll","STR","1:42.38"
"26","18",4,"Lance Stroll","STR","1:46.916"
"27","18",5,"Lance Stroll","STR","1:53.421"
"28","18",6,"Lance Stroll","STR","46:25.181"
"29","23",1,"Alexander Albon","ALBA","0:0"
"30","23",2,"Alexander Albon","ALBA","6:31.537"
"31","26",1,"Daniil Kvyat","KVY","0:0"
"32","26",2,"Daniil Kvyat","KVY","1:48.56"
"33","26",3,"Daniil Kvyat","KVY","1:47.422"
"34","26",4,"Daniil Kvyat","KVY","1:54.156"
"35","26",5,"Daniil Kvyat","KVY","26:18.712"
"36","26",6,"Daniil Kvyat","KVY","1:52.045"
"37","26",7,"Daniil Kvyat","KVY","1:57.207"
"38","33",1,"Max Verstappen","VER","0:0"
"39","33",2,"Max Verstappen","VER","10:50.41"
"40","33",3,"Max Verstappen","VER","1:42.82"
"41","33",4,"Max Verstappen","VER","1:51.809"
"42","4",1,"Lando Norris","NORL","0:0"
"43","4",2,"Lando Norris","NORL","1:46"
"44","4",3,"Lando Norris","NORL","1:52.62"
"45","4",4,"Lando Norris","NORL","25:53.912"
"46","4",5,"Lando Norris","NORL","2:24.724"
"47","5",1,"Sebastian Vettel","VET","0:0"
"48","5",2,"Sebastian Vettel","VET","1:44.912"
"49","5",3,"Sebastian Vettel","VET","1:43.09"
"50","5",4,"Sebastian Vettel","VET","1:41.564"
"51","5",5,"Sebastian Vettel","VET","1:40.464"
"52","5",6,"Sebastian Vettel","VET","1:57.395"
"53","5",7,"Sebastian Vettel","VET","15:13.919"
"54","5",8,"Sebastian Vettel","VET","1:42.191"
"55","5",9,"Sebastian Vettel","VET","1:44.632"
"56","5",10,"Sebastian Vettel","VET","1:42.34"
"57","5",11,"Sebastian Vettel","VET","1:48.498"
"58","5",12,"Sebastian Vettel","VET","2:31.231"
"59","55",1,"Carlos Sainz","SAI","0:0"
"60","55",2,"Carlos Sainz","SAI","1:41.784"
"61","55",3,"Carlos Sainz","SAI","1:53.906"
"62","55",4,"Carlos Sainz","SAI","2:9.893"
"63","55",5,"Carlos Sainz","SAI","16:24.41"
"64","55",6,"Carlos Sainz","SAI","1:48.525"
"65","6",1,"Nicholas Latifi","LATN","0:0"
"66","6",2,"Nicholas Latifi","LATN","14:7.45699999999999"
"67","63",1,"George Russell","RUSG","0:0"
"68","63",2,"George Russell","RUSG","11:12.2089999999999"
"69","7",1,"Kimi Räikkönen","RAI","0:0"
"70","7",2,"Kimi Räikkönen","RAI","1:53.054"
"71","7",3,"Kimi Räikkönen","RAI","0:0"
"72","7",4,"Kimi Räikkönen","RAI","1:47.769"
"73","7",5,"Kimi Räikkönen","RAI","1:54.127"
"74","7",6,"Kimi Räikkönen","RAI","22:26.2829999999999"
"75","7",7,"Kimi Räikkönen","RAI","1:49.355"
"76","7",8,"Kimi Räikkönen","RAI","1:46.411"
"77","7",9,"Kimi Räikkönen","RAI","1:44.905"
"78","7",10,"Kimi Räikkönen","RAI","1:46.081"
"79","7",11,"Kimi Räikkönen","RAI","1:43.471"
"80","7",12,"Kimi Räikkönen","RAI","1:49.613"
"81","7",13,"Kimi Räikkönen","RAI","17:24.0029999999999"
"82","7",14,"Kimi Räikkönen","RAI","1:48.956"
"83","7",15,"Kimi Räikkönen","RAI","1:48.124"
"84","7",16,"Kimi Räikkönen","RAI","1:54.021"
"85","77",1,"Valtteri Bottas","BOT","0:0"
"86","77",2,"Valtteri Bottas","BOT","1:40.736"
"87","77",3,"Valtteri Bottas","BOT","1:53.559"
"88","77",4,"Valtteri Bottas","BOT","2:27.623"
"89","77",5,"Valtteri Bottas","BOT","6:55.213"
"90","8",1,"Romain Grosjean","GRO","0:0"
"91","8",2,"Romain Grosjean","GRO","1:47.474"
"92","8",3,"Romain Grosjean","GRO","1:52.393"
"93","8",4,"Romain Grosjean","GRO","1:43.335"
"94","8",5,"Romain Grosjean","GRO","1:57.398"
"95","8",6,"Romain Grosjean","GRO","21:16.7660000000001"
"96","99",1,"Antonio Giovinazzi","GIO","0:0"
"97","99",2,"Antonio Giovinazzi","GIO","1:46.014"
"98","99",3,"Antonio Giovinazzi","GIO","1:45.495"
"99","99",4,"Antonio Giovinazzi","GIO","1:44.411"
"100","99",5,"Antonio Giovinazzi","GIO","1:44.696"
"101","99",6,"Antonio Giovinazzi","GIO","1:53.65"
"102","99",7,"Antonio Giovinazzi","GIO","19:16.173"
"103","99",8,"Antonio Giovinazzi","GIO","2:32.718"
"104","99",9,"Antonio Giovinazzi","GIO","2:34.549"
