"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","1:24.708"
"3","10",3,"Pierre Gasly","GAS","1:23.722"
"4","10",4,"Pierre Gasly","GAS","1:26.739"
"5","10",5,"Pierre Gasly","GAS","1:23.766"
"6","10",6,"Pierre Gasly","GAS","1:23.097"
"7","10",7,"Pierre Gasly","GAS","1:26.894"
"8","10",8,"Pierre Gasly","GAS","1:23.184"
"9","10",9,"Pierre Gasly","GAS","1:23.169"
"10","10",10,"Pierre Gasly","GAS","1:23.163"
"11","10",11,"Pierre Gasly","GAS","1:27.979"
"12","10",12,"Pierre Gasly","GAS","1:22.647"
"13","10",13,"Pierre Gasly","GAS","1:22.567"
"14","10",14,"Pierre Gasly","GAS","1:23.023"
"15","10",15,"Pierre Gasly","GAS","1:24.042"
"16","10",16,"Pierre Gasly","GAS","1:22.321"
"17","10",17,"Pierre Gasly","GAS","1:26.888"
"18","10",18,"Pierre Gasly","GAS","8:53.562"
"19","10",19,"Pierre Gasly","GAS","1:20.037"
"20","10",20,"Pierre Gasly","GAS","1:33.484"
"21","10",21,"Pierre Gasly","GAS","1:19.197"
"22","10",22,"Pierre Gasly","GAS","1:33.735"
"23","10",23,"Pierre Gasly","GAS","0:0"
"24","10",24,"Pierre Gasly","GAS","1:43.044"
"25","10",25,"Pierre Gasly","GAS","1:19.367"
"26","11",1,"Sergio Pérez","PER","0:0"
"27","11",2,"Sergio Pérez","PER","0:0"
"28","11",3,"Sergio Pérez","PER","1:23.303"
"29","11",4,"Sergio Pérez","PER","1:23.205"
"30","11",5,"Sergio Pérez","PER","1:22.975"
"31","11",6,"Sergio Pérez","PER","1:22.693"
"32","11",7,"Sergio Pérez","PER","1:22.71"
"33","11",8,"Sergio Pérez","PER","1:48.735"
"34","11",9,"Sergio Pérez","PER","1:27.206"
"35","11",10,"Sergio Pérez","PER","4:49.201"
"36","11",11,"Sergio Pérez","PER","1:22.873"
"37","11",12,"Sergio Pérez","PER","1:22.5"
"38","11",13,"Sergio Pérez","PER","1:22.409"
"39","11",14,"Sergio Pérez","PER","1:22.526"
"40","11",15,"Sergio Pérez","PER","1:22.425"
"41","11",16,"Sergio Pérez","PER","1:22.049"
"42","11",17,"Sergio Pérez","PER","1:22.405"
"43","11",18,"Sergio Pérez","PER","1:28.078"
"44","11",19,"Sergio Pérez","PER","10:9.28499999999997"
"45","11",20,"Sergio Pérez","PER","1:22.895"
"46","11",21,"Sergio Pérez","PER","1:20.819"
"47","11",22,"Sergio Pérez","PER","1:20.622"
"48","11",23,"Sergio Pérez","PER","0:0"
"49","11",24,"Sergio Pérez","PER","19:28.739"
"50","11",25,"Sergio Pérez","PER","1:19.901"
"51","11",26,"Sergio Pérez","PER","0:0"
"52","11",27,"Sergio Pérez","PER","19:6.92900000000009"
"53","11",28,"Sergio Pérez","PER","1:23.522"
"54","11",29,"Sergio Pérez","PER","1:22.982"
"55","11",30,"Sergio Pérez","PER","1:22.635"
"56","11",31,"Sergio Pérez","PER","1:22.107"
"57","11",32,"Sergio Pérez","PER","1:22.777"
"58","11",33,"Sergio Pérez","PER","2:11.318"
"59","11",34,"Sergio Pérez","PER","1:59.418"
"60","16",1,"Charles Leclerc","LEC","0:0"
"61","16",2,"Charles Leclerc","LEC","1:26.135"
"62","16",3,"Charles Leclerc","LEC","1:26.152"
"63","16",4,"Charles Leclerc","LEC","1:22.752"
"64","16",5,"Charles Leclerc","LEC","1:27.265"
"65","16",6,"Charles Leclerc","LEC","1:22.175"
"66","16",7,"Charles Leclerc","LEC","1:22.494"
"67","16",8,"Charles Leclerc","LEC","1:24.284"
"68","16",9,"Charles Leclerc","LEC","1:29.417"
"69","16",10,"Charles Leclerc","LEC","4:56.21"
"70","16",11,"Charles Leclerc","LEC","1:22.533"
"71","16",12,"Charles Leclerc","LEC","1:22.043"
"72","16",13,"Charles Leclerc","LEC","1:22.672"
"73","16",14,"Charles Leclerc","LEC","1:22.646"
"74","16",15,"Charles Leclerc","LEC","1:21.985"
"75","16",16,"Charles Leclerc","LEC","1:22.01"
"76","16",17,"Charles Leclerc","LEC","1:22.319"
"77","16",18,"Charles Leclerc","LEC","1:26.802"
"78","16",19,"Charles Leclerc","LEC","8:5.142"
"79","16",20,"Charles Leclerc","LEC","1:31.474"
"80","16",21,"Charles Leclerc","LEC","1:19.229"
"81","16",22,"Charles Leclerc","LEC","1:41.963"
"82","16",23,"Charles Leclerc","LEC","1:18.838"
"83","16",24,"Charles Leclerc","LEC","1:41.021"
"84","16",25,"Charles Leclerc","LEC","0:0"
"85","16",26,"Charles Leclerc","LEC","18:54.107"
"86","16",27,"Charles Leclerc","LEC","0:0"
"87","16",28,"Charles Leclerc","LEC","20:26.732"
"88","16",29,"Charles Leclerc","LEC","1:25.667"
"89","16",30,"Charles Leclerc","LEC","1:18.981"
"90","16",31,"Charles Leclerc","LEC","1:46.299"
"91","16",32,"Charles Leclerc","LEC","1:25.824"
"92","16",33,"Charles Leclerc","LEC","1:28.331"
"93","16",34,"Charles Leclerc","LEC","2:15.479"
"94","18",1,"Lance Stroll","STR","0:0"
"95","18",2,"Lance Stroll","STR","1:24.459"
"96","18",3,"Lance Stroll","STR","1:23.904"
"97","18",4,"Lance Stroll","STR","1:24.024"
"98","18",5,"Lance Stroll","STR","1:23.676"
"99","18",6,"Lance Stroll","STR","1:23.313"
"100","18",7,"Lance Stroll","STR","1:23.088"
"101","18",8,"Lance Stroll","STR","1:23.436"
"102","18",9,"Lance Stroll","STR","1:23.221"
"103","18",10,"Lance Stroll","STR","1:23.203"
"104","18",11,"Lance Stroll","STR","1:22.92"
"105","18",12,"Lance Stroll","STR","1:23.132"
"106","18",13,"Lance Stroll","STR","1:23.413"
"107","18",14,"Lance Stroll","STR","1:23.128"
"108","18",15,"Lance Stroll","STR","1:23.205"
"109","18",16,"Lance Stroll","STR","1:24.015"
"110","18",17,"Lance Stroll","STR","1:33.737"
"111","18",18,"Lance Stroll","STR","14:33.466"
"112","18",19,"Lance Stroll","STR","1:21.598"
"113","18",20,"Lance Stroll","STR","1:25.872"
"114","18",21,"Lance Stroll","STR","1:20.983"
"115","18",22,"Lance Stroll","STR","1:20.531"
"116","18",23,"Lance Stroll","STR","0:0"
"117","18",24,"Lance Stroll","STR","18:19.1400000000001"
"118","18",25,"Lance Stroll","STR","1:21.729"
"119","20",1,"Kevin Magnussen","MAG","0:0"
"120","20",2,"Kevin Magnussen","MAG","1:29.404"
"121","20",3,"Kevin Magnussen","MAG","1:25.155"
"122","20",4,"Kevin Magnussen","MAG","1:23.99"
"123","20",5,"Kevin Magnussen","MAG","1:23.777"
"124","20",6,"Kevin Magnussen","MAG","1:24.052"
"125","20",7,"Kevin Magnussen","MAG","1:25.229"
"126","20",8,"Kevin Magnussen","MAG","0:0"
"127","20",9,"Kevin Magnussen","MAG","1:46.606"
"128","20",10,"Kevin Magnussen","MAG","10:0.581000000000017"
"129","20",11,"Kevin Magnussen","MAG","0:0"
"130","20",12,"Kevin Magnussen","MAG","1:24.911"
"131","20",13,"Kevin Magnussen","MAG","0:0"
"132","20",14,"Kevin Magnussen","MAG","1:23.543"
"133","20",15,"Kevin Magnussen","MAG","1:23.873"
"134","20",16,"Kevin Magnussen","MAG","1:35.068"
"135","20",17,"Kevin Magnussen","MAG","12:57.425"
"136","20",18,"Kevin Magnussen","MAG","0:0"
"137","20",19,"Kevin Magnussen","MAG","17:44.991"
"138","20",20,"Kevin Magnussen","MAG","1:20.68"
"139","20",21,"Kevin Magnussen","MAG","0:0"
"140","20",22,"Kevin Magnussen","MAG","19:38.7809999999999"
"141","20",23,"Kevin Magnussen","MAG","1:24.828"
"142","20",24,"Kevin Magnussen","MAG","1:24.429"
"143","20",25,"Kevin Magnussen","MAG","1:24.041"
"144","20",26,"Kevin Magnussen","MAG","1:25.361"
"145","20",27,"Kevin Magnussen","MAG","1:23.892"
"146","20",28,"Kevin Magnussen","MAG","1:46.117"
"147","20",29,"Kevin Magnussen","MAG","2:41.665"
"148","23",1,"Alexander Albon","ALBA","0:0"
"149","23",2,"Alexander Albon","ALBA","1:24.781"
"150","23",3,"Alexander Albon","ALBA","1:24.28"
"151","23",4,"Alexander Albon","ALBA","1:23.849"
"152","23",5,"Alexander Albon","ALBA","1:23.182"
"153","23",6,"Alexander Albon","ALBA","1:25.25"
"154","23",7,"Alexander Albon","ALBA","1:23.039"
"155","23",8,"Alexander Albon","ALBA","1:23.081"
"156","23",9,"Alexander Albon","ALBA","1:22.659"
"157","23",10,"Alexander Albon","ALBA","1:23.187"
"158","23",11,"Alexander Albon","ALBA","1:22.938"
"159","23",12,"Alexander Albon","ALBA","1:23.006"
"160","23",13,"Alexander Albon","ALBA","1:23.134"
"161","23",14,"Alexander Albon","ALBA","1:22.907"
"162","23",15,"Alexander Albon","ALBA","1:23.281"
"163","23",16,"Alexander Albon","ALBA","1:22.653"
"164","23",17,"Alexander Albon","ALBA","1:28.15"
"165","23",18,"Alexander Albon","ALBA","9:14.328"
"166","23",19,"Alexander Albon","ALBA","1:35.083"
"167","23",20,"Alexander Albon","ALBA","1:19.992"
