"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","1:6.188"
"3","10",3,"Pierre Gasly","GAS","1:34.756"
"4","10",4,"Pierre Gasly","GAS","1:6.34999999999999"
"5","10",5,"Pierre Gasly","GAS","1:24.136"
"6","10",6,"Pierre Gasly","GAS","0:0"
"7","10",7,"Pierre Gasly","GAS","22:50.7819999999999"
"8","10",8,"Pierre Gasly","GAS","1:5.164"
"9","10",9,"Pierre Gasly","GAS","1:31.682"
"10","10",10,"Pierre Gasly","GAS","1:5.64700000000001"
"11","10",11,"Pierre Gasly","GAS","1:23.908"
"12","10",12,"Pierre Gasly","GAS","6:12.373"
"13","10",13,"Pierre Gasly","GAS","1:4.75700000000001"
"14","10",14,"Pierre Gasly","GAS","2:11.972"
"15","10",15,"Pierre Gasly","GAS","11:15.982"
"16","10",16,"Pierre Gasly","GAS","1:5.139"
"17","10",17,"Pierre Gasly","GAS","1:32.888"
"18","10",18,"Pierre Gasly","GAS","6:43.216"
"19","10",19,"Pierre Gasly","GAS","1:9.633"
"20","10",20,"Pierre Gasly","GAS","1:9.413"
"21","10",21,"Pierre Gasly","GAS","1:9.339"
"22","10",22,"Pierre Gasly","GAS","1:18.039"
"23","10",23,"Pierre Gasly","GAS","1:50.946"
"24","10",24,"Pierre Gasly","GAS","1:9.426"
"25","10",25,"Pierre Gasly","GAS","1:9.496"
"26","10",26,"Pierre Gasly","GAS","1:9.23699999999999"
"27","10",27,"Pierre Gasly","GAS","1:9.371"
"28","10",28,"Pierre Gasly","GAS","1:9.10599999999999"
"29","10",29,"Pierre Gasly","GAS","1:9.514"
"30","10",30,"Pierre Gasly","GAS","1:9.68300000000001"
"31","10",31,"Pierre Gasly","GAS","1:9.629"
"32","10",32,"Pierre Gasly","GAS","1:9.69499999999999"
"33","10",33,"Pierre Gasly","GAS","1:9.36499999999999"
"34","10",34,"Pierre Gasly","GAS","1:9.986"
"35","10",35,"Pierre Gasly","GAS","1:10.025"
"36","10",36,"Pierre Gasly","GAS","1:48.622"
"37","10",37,"Pierre Gasly","GAS","2:0.418000000000006"
"38","11",1,"Sergio Pérez","PER","0:0"
"39","11",2,"Sergio Pérez","PER","1:5.512"
"40","11",3,"Sergio Pérez","PER","1:23.686"
"41","11",4,"Sergio Pérez","PER","1:5.29600000000001"
"42","11",5,"Sergio Pérez","PER","0:0"
"43","11",6,"Sergio Pérez","PER","14:43.217"
"44","11",7,"Sergio Pérez","PER","1:4.087"
"45","11",8,"Sergio Pérez","PER","1:49.502"
"46","11",9,"Sergio Pérez","PER","9:41.682"
"47","11",10,"Sergio Pérez","PER","1:3.877"
"48","11",11,"Sergio Pérez","PER","1:22.146"
"49","11",12,"Sergio Pérez","PER","13:47.3099999999999"
"50","11",13,"Sergio Pérez","PER","1:9.73999999999999"
"51","11",14,"Sergio Pérez","PER","1:9.58499999999999"
"52","11",15,"Sergio Pérez","PER","1:9.547"
"53","11",16,"Sergio Pérez","PER","1:9.464"
"54","11",17,"Sergio Pérez","PER","1:9.26900000000001"
"55","11",18,"Sergio Pérez","PER","1:9.81399999999999"
"56","11",19,"Sergio Pérez","PER","1:9.627"
"57","11",20,"Sergio Pérez","PER","1:10.433"
"58","11",21,"Sergio Pérez","PER","1:9.998"
"59","11",22,"Sergio Pérez","PER","1:9.85599999999999"
"60","11",23,"Sergio Pérez","PER","1:9.779"
"61","11",24,"Sergio Pérez","PER","1:9.81699999999999"
"62","11",25,"Sergio Pérez","PER","1:10.347"
"63","11",26,"Sergio Pérez","PER","1:10.349"
"64","11",27,"Sergio Pérez","PER","1:14.237"
"65","11",28,"Sergio Pérez","PER","1:30.037"
"66","11",29,"Sergio Pérez","PER","1:9.494"
"67","11",30,"Sergio Pérez","PER","1:9.42100000000001"
"68","11",31,"Sergio Pérez","PER","1:9.36499999999999"
"69","11",32,"Sergio Pérez","PER","1:9.42100000000001"
"70","11",33,"Sergio Pérez","PER","1:9.428"
"71","11",34,"Sergio Pérez","PER","1:9.411"
"72","11",35,"Sergio Pérez","PER","1:9.23099999999999"
"73","11",36,"Sergio Pérez","PER","1:9.79000000000001"
"74","11",37,"Sergio Pérez","PER","1:9.676"
"75","11",38,"Sergio Pérez","PER","1:9.836"
"76","11",39,"Sergio Pérez","PER","1:9.72199999999999"
"77","11",40,"Sergio Pérez","PER","1:9.169"
"78","11",41,"Sergio Pérez","PER","1:9.22199999999999"
"79","11",42,"Sergio Pérez","PER","1:34.611"
"80","11",43,"Sergio Pérez","PER","1:56.845"
"81","16",1,"Charles Leclerc","LEC","0:0"
"82","16",2,"Charles Leclerc","LEC","1:6.163"
"83","16",3,"Charles Leclerc","LEC","1:34.488"
"84","16",4,"Charles Leclerc","LEC","1:6.20399999999999"
"85","16",5,"Charles Leclerc","LEC","1:34.792"
"86","16",6,"Charles Leclerc","LEC","1:19.004"
"87","16",7,"Charles Leclerc","LEC","18:1.90900000000011"
"88","16",8,"Charles Leclerc","LEC","1:5.55500000000001"
"89","16",9,"Charles Leclerc","LEC","1:34.156"
"90","16",10,"Charles Leclerc","LEC","1:5.955"
"91","16",11,"Charles Leclerc","LEC","1:20.815"
"92","16",12,"Charles Leclerc","LEC","1:24.947"
"93","16",13,"Charles Leclerc","LEC","9:14.927"
"94","16",14,"Charles Leclerc","LEC","1:4.706"
"95","16",15,"Charles Leclerc","LEC","1:27.162"
"96","16",16,"Charles Leclerc","LEC","2:6.968"
"97","16",17,"Charles Leclerc","LEC","11:17.7"
"98","16",18,"Charles Leclerc","LEC","1:37.423"
"99","16",19,"Charles Leclerc","LEC","1:9.456"
"100","16",20,"Charles Leclerc","LEC","1:9.58499999999999"
"101","16",21,"Charles Leclerc","LEC","1:9.407"
"102","16",22,"Charles Leclerc","LEC","1:9.52"
"103","16",23,"Charles Leclerc","LEC","1:9.511"
"104","16",24,"Charles Leclerc","LEC","1:9.792"
"105","16",25,"Charles Leclerc","LEC","1:9.557"
"106","16",26,"Charles Leclerc","LEC","1:13.019"
"107","16",27,"Charles Leclerc","LEC","1:32.948"
"108","16",28,"Charles Leclerc","LEC","13:20.013"
"109","16",29,"Charles Leclerc","LEC","1:33.431"
"110","16",30,"Charles Leclerc","LEC","1:9.218"
"111","16",31,"Charles Leclerc","LEC","1:8.94799999999999"
"112","16",32,"Charles Leclerc","LEC","1:9.123"
"113","16",33,"Charles Leclerc","LEC","1:9.19199999999999"
"114","16",34,"Charles Leclerc","LEC","1:41.826"
"115","16",35,"Charles Leclerc","LEC","1:56.045"
"116","18",1,"Lance Stroll","STR","0:0"
"117","18",2,"Lance Stroll","STR","1:5.456"
"118","18",3,"Lance Stroll","STR","1:39.718"
"119","18",4,"Lance Stroll","STR","0:0"
"120","18",5,"Lance Stroll","STR","14:17.1900000000001"
"121","18",6,"Lance Stroll","STR","1:4.486"
"122","18",7,"Lance Stroll","STR","1:19.434"
"123","18",8,"Lance Stroll","STR","7:22.28"
"124","18",9,"Lance Stroll","STR","1:4.625"
"125","18",10,"Lance Stroll","STR","1:18.053"
"126","18",11,"Lance Stroll","STR","5:23.863"
"127","18",12,"Lance Stroll","STR","1:4.241"
"128","18",13,"Lance Stroll","STR","1:16.844"
"129","18",14,"Lance Stroll","STR","11:12.925"
"130","18",15,"Lance Stroll","STR","1:10.365"
"131","18",16,"Lance Stroll","STR","1:10.124"
"132","18",17,"Lance Stroll","STR","1:9.271"
"133","18",18,"Lance Stroll","STR","1:9.88"
"134","18",19,"Lance Stroll","STR","1:9.605"
"135","18",20,"Lance Stroll","STR","1:9.666"
"136","18",21,"Lance Stroll","STR","1:9.488"
"137","18",22,"Lance Stroll","STR","1:9.57299999999999"
