"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","1:44.516"
"3","10",3,"Pierre Gasly","GAS","1:39.757"
"4","10",4,"Pierre Gasly","GAS","1:38.917"
"5","10",5,"Pierre Gasly","GAS","1:43.312"
"6","10",6,"Pierre Gasly","GAS","1:48.07"
"7","10",7,"Pierre Gasly","GAS","1:41.223"
"8","10",8,"Pierre Gasly","GAS","1:37.147"
"9","10",9,"Pierre Gasly","GAS","1:36.906"
"10","10",10,"Pierre Gasly","GAS","1:36.351"
"11","10",11,"Pierre Gasly","GAS","1:42.138"
"12","10",12,"Pierre Gasly","GAS","1:36.878"
"13","10",13,"Pierre Gasly","GAS","1:37.209"
"14","10",14,"Pierre Gasly","GAS","1:35.774"
"15","10",15,"Pierre Gasly","GAS","1:47.307"
"16","10",16,"Pierre Gasly","GAS","9:4.79499999999996"
"17","10",17,"Pierre Gasly","GAS","1:36.095"
"18","10",18,"Pierre Gasly","GAS","1:32.2"
"19","10",19,"Pierre Gasly","GAS","1:40.973"
"20","10",20,"Pierre Gasly","GAS","1:31.451"
"21","10",21,"Pierre Gasly","GAS","1:30.967"
"22","10",22,"Pierre Gasly","GAS","1:42.635"
"23","10",23,"Pierre Gasly","GAS","1:43.564"
"24","10",24,"Pierre Gasly","GAS","1:29.944"
"25","10",25,"Pierre Gasly","GAS","1:38.693"
"26","10",26,"Pierre Gasly","GAS","1:40.657"
"27","10",27,"Pierre Gasly","GAS","1:35.231"
"28","10",28,"Pierre Gasly","GAS","11:11.597"
"29","10",29,"Pierre Gasly","GAS","1:34.611"
"30","10",30,"Pierre Gasly","GAS","1:33.976"
"31","10",31,"Pierre Gasly","GAS","1:35.44"
"32","10",32,"Pierre Gasly","GAS","1:33.853"
"33","10",33,"Pierre Gasly","GAS","1:33.443"
"34","10",34,"Pierre Gasly","GAS","1:36.756"
"35","10",35,"Pierre Gasly","GAS","1:33.708"
"36","10",36,"Pierre Gasly","GAS","1:34.143"
"37","10",37,"Pierre Gasly","GAS","1:34.294"
"38","10",38,"Pierre Gasly","GAS","1:36.231"
"39","10",39,"Pierre Gasly","GAS","1:38.731"
"40","10",40,"Pierre Gasly","GAS","1:35.014"
"41","10",41,"Pierre Gasly","GAS","1:41.239"
"42","10",42,"Pierre Gasly","GAS","2:0.149000000000001"
"43","10",43,"Pierre Gasly","GAS","2:14.353"
"44","11",1,"Sergio Pérez","PER","0:0"
"45","11",2,"Sergio Pérez","PER","1:39.103"
"46","11",3,"Sergio Pérez","PER","1:37.212"
"47","11",4,"Sergio Pérez","PER","1:43.354"
"48","11",5,"Sergio Pérez","PER","1:35.977"
"49","11",6,"Sergio Pérez","PER","1:43.464"
"50","11",7,"Sergio Pérez","PER","1:35.775"
"51","11",8,"Sergio Pérez","PER","1:34.128"
"52","11",9,"Sergio Pérez","PER","1:41.06"
"53","11",10,"Sergio Pérez","PER","1:33.9"
