"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","1:44.082"
"2","10",2,"Pierre Gasly","GAS","1:19.91"
"3","10",3,"Pierre Gasly","GAS","1:56.442"
"4","10",4,"Pierre Gasly","GAS","1:19.974"
"5","10",5,"Pierre Gasly","GAS","2:1.48"
"6","10",6,"Pierre Gasly","GAS","1:19.7"
"7","10",7,"Pierre Gasly","GAS","24:32.643"
"8","10",8,"Pierre Gasly","GAS","1:52.142"
"9","10",9,"Pierre Gasly","GAS","1:18.244"
"10","10",10,"Pierre Gasly","GAS","1:58.357"
"11","10",11,"Pierre Gasly","GAS","1:18.29"
"12","10",12,"Pierre Gasly","GAS","6:21.035"
"13","10",13,"Pierre Gasly","GAS","2:8.19300000000001"
"14","10",14,"Pierre Gasly","GAS","1:48.096"
"15","10",15,"Pierre Gasly","GAS","1:23.732"
"16","10",16,"Pierre Gasly","GAS","1:23.736"
"17","10",17,"Pierre Gasly","GAS","1:23.866"
"18","10",18,"Pierre Gasly","GAS","1:25.021"
"19","10",19,"Pierre Gasly","GAS","1:41.33"
"20","10",20,"Pierre Gasly","GAS","5:5.87799999999999"
"21","10",21,"Pierre Gasly","GAS","1:47.576"
"22","10",22,"Pierre Gasly","GAS","1:26.728"
"23","10",23,"Pierre Gasly","GAS","1:23.316"
"24","10",24,"Pierre Gasly","GAS","1:23.097"
"25","10",25,"Pierre Gasly","GAS","1:23.879"
"26","10",26,"Pierre Gasly","GAS","1:23.021"
"27","10",27,"Pierre Gasly","GAS","1:23.67"
"28","10",28,"Pierre Gasly","GAS","1:23.664"
"29","10",29,"Pierre Gasly","GAS","1:23.489"
"30","11",1,"Sergio Pérez","PER","1:50.995"
"31","11",2,"Sergio Pérez","PER","1:18.858"
"32","11",3,"Sergio Pérez","PER","2:11.556"
"33","11",4,"Sergio Pérez","PER","1:19.002"
"34","11",5,"Sergio Pérez","PER","15:46.909"
"35","11",6,"Sergio Pérez","PER","2:7.438"
"36","11",7,"Sergio Pérez","PER","1:18.198"
"37","11",8,"Sergio Pérez","PER","2:4.96299999999999"
"38","11",9,"Sergio Pérez","PER","12:50.468"
"39","11",10,"Sergio Pérez","PER","1:57.552"
"40","11",11,"Sergio Pérez","PER","1:22.864"
"41","11",12,"Sergio Pérez","PER","1:23.824"
"42","11",13,"Sergio Pérez","PER","1:23.641"
"43","11",14,"Sergio Pérez","PER","1:23.848"
"44","11",15,"Sergio Pérez","PER","1:23.901"
"45","11",16,"Sergio Pérez","PER","1:24.622"
"46","11",17,"Sergio Pérez","PER","1:24.462"
"47","11",18,"Sergio Pérez","PER","1:24.172"
"48","11",19,"Sergio Pérez","PER","1:24.383"
"49","11",20,"Sergio Pérez","PER","1:23.632"
"50","11",21,"Sergio Pérez","PER","1:23.958"
"51","11",22,"Sergio Pérez","PER","1:24.46"
"52","11",23,"Sergio Pérez","PER","1:47.655"
"53","11",24,"Sergio Pérez","PER","7:14.694"
"54","11",25,"Sergio Pérez","PER","1:59.685"
"55","11",26,"Sergio Pérez","PER","1:22.486"
"56","11",27,"Sergio Pérez","PER","1:22.713"
"57","11",28,"Sergio Pérez","PER","1:22.814"
"58","11",29,"Sergio Pérez","PER","1:22.762"
"59","11",30,"Sergio Pérez","PER","1:25.727"
"60","11",31,"Sergio Pérez","PER","1:22.47"
"61","11",32,"Sergio Pérez","PER","1:22.514"
"62","11",33,"Sergio Pérez","PER","1:23.317"
"63","16",1,"Charles Leclerc","LEC","1:46.03"
"64","16",2,"Charles Leclerc","LEC","1:20.394"
"65","16",3,"Charles Leclerc","LEC","2:0.436999999999998"
"66","16",4,"Charles Leclerc","LEC","19:14.4380000000001"
"67","16",5,"Charles Leclerc","LEC","1:52.661"
"68","16",6,"Charles Leclerc","LEC","1:18.4"
"69","16",7,"Charles Leclerc","LEC","1:56.161"
"70","16",8,"Charles Leclerc","LEC","13:15.053"
"71","16",9,"Charles Leclerc","LEC","1:36.318"
"72","16",10,"Charles Leclerc","LEC","1:37.831"
"73","16",11,"Charles Leclerc","LEC","8:44.646"
"74","16",12,"Charles Leclerc","LEC","2:9.60599999999999"
"75","16",13,"Charles Leclerc","LEC","2:1.306"
"76","16",14,"Charles Leclerc","LEC","1:23.82"
"77","16",15,"Charles Leclerc","LEC","1:24.076"
"78","16",16,"Charles Leclerc","LEC","1:24.073"
"79","16",17,"Charles Leclerc","LEC","1:23.679"
"80","16",18,"Charles Leclerc","LEC","5:25.387"
"81","16",19,"Charles Leclerc","LEC","1:34"
"82","16",20,"Charles Leclerc","LEC","1:23.579"
"83","16",21,"Charles Leclerc","LEC","1:23.68"
"84","16",22,"Charles Leclerc","LEC","1:23.556"
"85","16",23,"Charles Leclerc","LEC","1:28.659"
"86","16",24,"Charles Leclerc","LEC","1:24.186"
"87","16",25,"Charles Leclerc","LEC","1:24.916"
"88","16",26,"Charles Leclerc","LEC","1:48.119"
"89","18",1,"Lance Stroll","STR","1:50.693"
"90","18",2,"Lance Stroll","STR","1:18.883"
"91","18",3,"Lance Stroll","STR","2:13.55"
"92","18",4,"Lance Stroll","STR","1:24.396"
"93","18",5,"Lance Stroll","STR","2:7.286"
"94","18",6,"Lance Stroll","STR","1:19.729"
"95","18",7,"Lance Stroll","STR","11:33.54"
"96","18",8,"Lance Stroll","STR","2:6.72"
"97","18",9,"Lance Stroll","STR","1:18.462"
"98","18",10,"Lance Stroll","STR","2:12.91"
"99","18",11,"Lance Stroll","STR","12:39.2619999999999"
"100","18",12,"Lance Stroll","STR","2:0.662999999999997"
"101","18",13,"Lance Stroll","STR","1:24.03"
"102","18",14,"Lance Stroll","STR","1:24.225"
"103","18",15,"Lance Stroll","STR","1:24.877"
"104","18",16,"Lance Stroll","STR","1:24.278"
"105","18",17,"Lance Stroll","STR","1:24.119"
"106","18",18,"Lance Stroll","STR","1:24.211"
"107","18",19,"Lance Stroll","STR","1:24.214"
