"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","1:28.04"
"3","10",3,"Pierre Gasly","GAS","2:27.594"
"4","10",4,"Pierre Gasly","GAS","2:7.35599999999999"
"5","10",5,"Pierre Gasly","GAS","1:28.042"
"6","10",6,"Pierre Gasly","GAS","2:5.069"
"7","10",7,"Pierre Gasly","GAS","10:53.13"
"8","10",8,"Pierre Gasly","GAS","1:27.659"
"9","10",9,"Pierre Gasly","GAS","2:36.969"
"10","10",10,"Pierre Gasly","GAS","2:16.488"
"11","10",11,"Pierre Gasly","GAS","1:27.994"
"12","10",12,"Pierre Gasly","GAS","1:35.586"
"13","10",13,"Pierre Gasly","GAS","8:17.802"
"14","10",14,"Pierre Gasly","GAS","1:57.637"
"15","10",15,"Pierre Gasly","GAS","2:2.943"
"16","16",1,"Charles Leclerc","LEC","0:0"
"17","16",2,"Charles Leclerc","LEC","11:38.741"
"18","16",3,"Charles Leclerc","LEC","1:28.954"
"19","16",4,"Charles Leclerc","LEC","2:13.641"
"20","16",5,"Charles Leclerc","LEC","1:28.346"
"21","16",6,"Charles Leclerc","LEC","1:54.424"
"22","16",7,"Charles Leclerc","LEC","2:16.41"
"23","16",8,"Charles Leclerc","LEC","16:18.578"
"24","16",9,"Charles Leclerc","LEC","1:27.328"
"25","16",10,"Charles Leclerc","LEC","2:21.233"
"26","16",11,"Charles Leclerc","LEC","1:59.619"
"27","16",12,"Charles Leclerc","LEC","1:27.839"
"28","16",13,"Charles Leclerc","LEC","1:55.793"
"29","16",14,"Charles Leclerc","LEC","7:50.173"
"30","16",15,"Charles Leclerc","LEC","1:57.646"
"31","16",16,"Charles Leclerc","LEC","1:32.675"
"32","16",17,"Charles Leclerc","LEC","1:53.764"
"33","16",18,"Charles Leclerc","LEC","1:54.958"
"34","18",1,"Lance Stroll","STR","0:0"
"35","18",2,"Lance Stroll","STR","1:28.202"
"36","18",3,"Lance Stroll","STR","2:2.67100000000001"
"37","18",4,"Lance Stroll","STR","11:20.217"
"38","18",5,"Lance Stroll","STR","1:28.39"
"39","18",6,"Lance Stroll","STR","1:44.084"
"40","18",7,"Lance Stroll","STR","8:28.536"
"41","18",8,"Lance Stroll","STR","2:23.068"
"42","18",9,"Lance Stroll","STR","1:27.263"
"43","18",10,"Lance Stroll","STR","2:21.242"
"44","18",11,"Lance Stroll","STR","2:23.796"
"45","18",12,"Lance Stroll","STR","1:27.705"
"46","18",13,"Lance Stroll","STR","1:55.687"
"47","18",14,"Lance Stroll","STR","1:57.329"
"48","18",15,"Lance Stroll","STR","2:5.542"
"49","20",1,"Kevin Magnussen","MAG","0:0"
"50","20",2,"Kevin Magnussen","MAG","17:53.981"
"51","20",3,"Kevin Magnussen","MAG","1:29.892"
"52","20",4,"Kevin Magnussen","MAG","2:19.376"
"53","20",5,"Kevin Magnussen","MAG","0:0"
"54","20",6,"Kevin Magnussen","MAG","2:25.661"
"55","20",7,"Kevin Magnussen","MAG","1:29.305"
"56","20",8,"Kevin Magnussen","MAG","2:6.465"
"57","20",9,"Kevin Magnussen","MAG","20:54.5719999999999"
"58","20",10,"Kevin Magnussen","MAG","1:36.809"
"59","20",11,"Kevin Magnussen","MAG","2:19.39"
"60","20",12,"Kevin Magnussen","MAG","1:28.763"
"61","20",13,"Kevin Magnussen","MAG","1:56.077"
"62","20",14,"Kevin Magnussen","MAG","1:39.311"
"63","20",15,"Kevin Magnussen","MAG","1:56.263"
"64","20",16,"Kevin Magnussen","MAG","2:27.462"
"65","23",1,"Alexander Albon","ALBA","0:0"
"66","23",2,"Alexander Albon","ALBA","1:28.834"
"67","23",3,"Alexander Albon","ALBA","2:21.018"
"68","23",4,"Alexander Albon","ALBA","2:16.336"
"69","23",5,"Alexander Albon","ALBA","1:28.313"
"70","23",6,"Alexander Albon","ALBA","1:50.662"
"71","23",7,"Alexander Albon","ALBA","12:5.12"
"72","23",8,"Alexander Albon","ALBA","1:27.474"
"73","23",9,"Alexander Albon","ALBA","2:43.919"
"74","23",10,"Alexander Albon","ALBA","2:27.078"
"75","23",11,"Alexander Albon","ALBA","1:28.094"
"76","23",12,"Alexander Albon","ALBA","2:8.042"
"77","23",13,"Alexander Albon","ALBA","2:16.349"
"78","23",14,"Alexander Albon","ALBA","2:0.123999999999995"
"79","23",15,"Alexander Albon","ALBA","2:3.944"
"80","26",1,"Daniil Kvyat","KVY","0:0"
"81","26",2,"Daniil Kvyat","KVY","21:6.26600000000008"
"82","26",3,"Daniil Kvyat","KVY","1:29.538"
"83","26",4,"Daniil Kvyat","KVY","2:11.634"
"84","26",5,"Daniil Kvyat","KVY","2:0.402000000000001"
"85","26",6,"Daniil Kvyat","KVY","1:28.628"
"86","26",7,"Daniil Kvyat","KVY","2:2.923"
"87","26",8,"Daniil Kvyat","KVY","1:28.32"
"88","26",9,"Daniil Kvyat","KVY","1:40.26"
"89","26",10,"Daniil Kvyat","KVY","9:12.888"
"90","26",11,"Daniil Kvyat","KVY","1:27.754"
"91","26",12,"Daniil Kvyat","KVY","2:10.826"
"92","26",13,"Daniil Kvyat","KVY","1:57.727"
"93","26",14,"Daniil Kvyat","KVY","1:28.038"
"94","26",15,"Daniil Kvyat","KVY","1:48.61"
"95","26",16,"Daniil Kvyat","KVY","5:29.626"
"96","26",17,"Daniil Kvyat","KVY","1:49.695"
"97","26",18,"Daniil Kvyat","KVY","1:56.752"
"98","27",1,"Nico Hülkenberg","HUL","0:0"
"99","27",2,"Nico Hülkenberg","HUL","1:28.661"
"100","27",3,"Nico Hülkenberg","HUL","1:56.361"
"101","27",4,"Nico Hülkenberg","HUL","11:36.45"
"102","27",5,"Nico Hülkenberg","HUL","1:27.692"
"103","27",6,"Nico Hülkenberg","HUL","1:48.625"
