"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","17:32.192"
"3","10",3,"Pierre Gasly","GAS","1:5.973"
"4","10",4,"Pierre Gasly","GAS","1:41.658"
"5","10",5,"Pierre Gasly","GAS","0:0"
"6","10",6,"Pierre Gasly","GAS","17:59.009"
"7","10",7,"Pierre Gasly","GAS","1:6.21599999999999"
"8","10",8,"Pierre Gasly","GAS","1:32.748"
"9","10",9,"Pierre Gasly","GAS","1:5.855"
"10","10",10,"Pierre Gasly","GAS","1:13.043"
"11","10",11,"Pierre Gasly","GAS","7:8.84300000000002"
"12","10",12,"Pierre Gasly","GAS","1:4.949"
"13","10",13,"Pierre Gasly","GAS","1:27.69"
"14","10",14,"Pierre Gasly","GAS","1:5.593"
"15","10",15,"Pierre Gasly","GAS","1:11.364"
"16","10",16,"Pierre Gasly","GAS","1:7.916"
"17","10",17,"Pierre Gasly","GAS","1:8.04300000000001"
"18","10",18,"Pierre Gasly","GAS","1:31.924"
"19","10",19,"Pierre Gasly","GAS","1:48.865"
"20","11",1,"Sergio Pérez","PER","0:0"
"21","11",2,"Sergio Pérez","PER","1:5.92700000000001"
"22","11",3,"Sergio Pérez","PER","1:17.873"
"23","11",4,"Sergio Pérez","PER","1:12.759"
"24","11",5,"Sergio Pérez","PER","0:0"
"25","11",6,"Sergio Pérez","PER","11:47.433"
"26","11",7,"Sergio Pérez","PER","1:5.95399999999999"
"27","11",8,"Sergio Pérez","PER","1:21.465"
"28","11",9,"Sergio Pérez","PER","1:7.521"
"29","11",10,"Sergio Pérez","PER","1:24.939"
"30","11",11,"Sergio Pérez","PER","1:5.68300000000001"
"31","11",12,"Sergio Pérez","PER","1:20.34"
"32","11",13,"Sergio Pérez","PER","12:5.79200000000003"
"33","11",14,"Sergio Pérez","PER","1:4.605"
"34","11",15,"Sergio Pérez","PER","1:22.189"
"35","11",16,"Sergio Pérez","PER","1:25.271"
"36","11",17,"Sergio Pérez","PER","1:4.84"
"37","11",18,"Sergio Pérez","PER","1:39.802"
"38","16",1,"Charles Leclerc","LEC","0:0"
"39","16",2,"Charles Leclerc","LEC","1:5.705"
"40","16",3,"Charles Leclerc","LEC","1:46.867"
"41","16",4,"Charles Leclerc","LEC","1:5.298"
"42","16",5,"Charles Leclerc","LEC","1:28.494"
"43","16",6,"Charles Leclerc","LEC","14:47.557"
"44","16",7,"Charles Leclerc","LEC","1:4.703"
"45","16",8,"Charles Leclerc","LEC","1:41.635"
