"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","22:35.6969999999999"
"3","10",3,"Pierre Gasly","GAS","1:45.092"
"4","10",4,"Pierre Gasly","GAS","2:30.53"
"5","10",5,"Pierre Gasly","GAS","1:44.718"
"6","10",6,"Pierre Gasly","GAS","2:25.94"
"7","10",7,"Pierre Gasly","GAS","1:45.12"
"8","10",8,"Pierre Gasly","GAS","2:5.23"
"9","10",9,"Pierre Gasly","GAS","2:28.14"
"10","10",10,"Pierre Gasly","GAS","12:37.873"
"11","10",11,"Pierre Gasly","GAS","1:44.508"
"12","10",12,"Pierre Gasly","GAS","2:40.982"
"13","10",13,"Pierre Gasly","GAS","1:44.531"
"14","10",14,"Pierre Gasly","GAS","2:10.145"
"15","11",1,"Sergio Pérez","PER","0:0"
"16","11",2,"Sergio Pérez","PER","1:44.606"
"17","11",3,"Sergio Pérez","PER","2:18.471"
"18","11",4,"Sergio Pérez","PER","1:45.071"
"19","11",5,"Sergio Pérez","PER","2:24.34"
"20","11",6,"Sergio Pérez","PER","1:45.088"
"21","11",7,"Sergio Pérez","PER","2:2.348"
"22","11",8,"Sergio Pérez","PER","19:10.588"
"23","11",9,"Sergio Pérez","PER","1:44.18"
"24","11",10,"Sergio Pérez","PER","2:56.112"
"25","11",11,"Sergio Pérez","PER","1:44.76"
"26","16",1,"Charles Leclerc","LEC","0:0"
"27","16",2,"Charles Leclerc","LEC","1:46.046"
"28","16",3,"Charles Leclerc","LEC","2:37.624"
"29","16",4,"Charles Leclerc","LEC","2:4"
"30","16",5,"Charles Leclerc","LEC","1:45.632"
"31","16",6,"Charles Leclerc","LEC","2:3.215"
"32","16",7,"Charles Leclerc","LEC","6:51.446"
"33","16",8,"Charles Leclerc","LEC","14:57.775"
"34","16",9,"Charles Leclerc","LEC","1:45.147"
"35","16",10,"Charles Leclerc","LEC","2:49.66"
"36","16",11,"Charles Leclerc","LEC","2:9.03700000000001"
"37","16",12,"Charles Leclerc","LEC","1:56.385"
"38","18",1,"Lance Stroll","STR","0:0"
"39","18",2,"Lance Stroll","STR","1:45.412"
"40","18",3,"Lance Stroll","STR","2:38.841"
"41","18",4,"Lance Stroll","STR","1:45.388"
"42","18",5,"Lance Stroll","STR","2:21.742"
"43","18",6,"Lance Stroll","STR","1:45.367"
"44","18",7,"Lance Stroll","STR","1:58.786"
"45","18",8,"Lance Stroll","STR","18:1.99900000000002"
"46","18",9,"Lance Stroll","STR","1:43.988"
"47","18",10,"Lance Stroll","STR","2:40.33"
"48","18",11,"Lance Stroll","STR","1:44.76"
"49","20",1,"Kevin Magnussen","MAG","0:0"
"50","20",2,"Kevin Magnussen","MAG","1:45.984"
"51","20",3,"Kevin Magnussen","MAG","2:23.683"
"52","20",4,"Kevin Magnussen","MAG","1:46.118"
"53","20",5,"Kevin Magnussen","MAG","2:11.615"
"54","20",6,"Kevin Magnussen","MAG","2:1.036"
"55","20",7,"Kevin Magnussen","MAG","19:22.845"
"56","20",8,"Kevin Magnussen","MAG","2:16.178"
"57","20",9,"Kevin Magnussen","MAG","1:44.841"
"58","20",10,"Kevin Magnussen","MAG","2:30.402"
"59","23",1,"Alexander Albon","ALBA","0:0"
"60","23",2,"Alexander Albon","ALBA","1:45.092"
"61","23",3,"Alexander Albon","ALBA","2:36.408"
"62","23",4,"Alexander Albon","ALBA","1:45.731"
"63","23",5,"Alexander Albon","ALBA","2:45.587"
"64","23",6,"Alexander Albon","ALBA","1:45.501"
"65","23",7,"Alexander Albon","ALBA","2:3.504"
"66","23",8,"Alexander Albon","ALBA","2:34.161"
"67","23",9,"Alexander Albon","ALBA","2:29.113"
"68","23",10,"Alexander Albon","ALBA","14:33.538"
"69","23",11,"Alexander Albon","ALBA","1:43.731"
"70","23",12,"Alexander Albon","ALBA","3:6.304"
"71","23",13,"Alexander Albon","ALBA","2:9.501"
"72","26",1,"Daniil Kvyat","KVY","0:0"
"73","26",2,"Daniil Kvyat","KVY","19:39.452"
"74","26",3,"Daniil Kvyat","KVY","1:46.108"
