"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","16:58.232"
"3","10",3,"Pierre Gasly","GAS","1:28.79"
"4","10",4,"Pierre Gasly","GAS","2:3.88"
"5","10",5,"Pierre Gasly","GAS","1:27.432"
"6","10",6,"Pierre Gasly","GAS","2:2.90300000000001"
"7","10",7,"Pierre Gasly","GAS","1:27.501"
"8","10",8,"Pierre Gasly","GAS","2:5.28700000000001"
"9","10",9,"Pierre Gasly","GAS","1:27.544"
"10","10",10,"Pierre Gasly","GAS","1:42.093"
"11","10",11,"Pierre Gasly","GAS","13:42.2910000000001"
"12","10",12,"Pierre Gasly","GAS","1:27.046"
"13","10",13,"Pierre Gasly","GAS","2:7.622"
"14","10",14,"Pierre Gasly","GAS","1:27.842"
"15","10",15,"Pierre Gasly","GAS","1:36.164"
"16","10",16,"Pierre Gasly","GAS","4:27.809"
"17","10",17,"Pierre Gasly","GAS","1:31.062"
"18","10",18,"Pierre Gasly","GAS","1:30.658"
"19","10",19,"Pierre Gasly","GAS","2:13.437"
"20","10",20,"Pierre Gasly","GAS","2:4.56399999999999"
"21","16",1,"Charles Leclerc","LEC","0:0"
"22","16",2,"Charles Leclerc","LEC","1:27.608"
"23","16",3,"Charles Leclerc","LEC","2:17.552"
"24","16",4,"Charles Leclerc","LEC","1:43.559"
"25","16",5,"Charles Leclerc","LEC","1:27.888"
"26","16",6,"Charles Leclerc","LEC","1:42.803"
"27","16",7,"Charles Leclerc","LEC","2:16.161"
"28","16",8,"Charles Leclerc","LEC","10:10.198"
"29","16",9,"Charles Leclerc","LEC","1:48.491"
"30","16",10,"Charles Leclerc","LEC","1:26.771"
"31","16",11,"Charles Leclerc","LEC","2:15.129"
"32","16",12,"Charles Leclerc","LEC","1:54.554"
"33","16",13,"Charles Leclerc","LEC","1:29.719"
"34","16",14,"Charles Leclerc","LEC","8:8.90600000000001"
"35","16",15,"Charles Leclerc","LEC","2:13.533"
"36","16",16,"Charles Leclerc","LEC","1:33.55"
"37","16",17,"Charles Leclerc","LEC","1:31.818"
"38","16",18,"Charles Leclerc","LEC","1:42.014"
"39","16",19,"Charles Leclerc","LEC","2:9.619"
"40","18",1,"Lance Stroll","STR","0:0"
"41","18",2,"Lance Stroll","STR","1:27.702"
"42","18",3,"Lance Stroll","STR","2:20.239"
"43","18",4,"Lance Stroll","STR","2:0.478999999999999"
"44","18",5,"Lance Stroll","STR","1:27.35"
"45","18",6,"Lance Stroll","STR","1:49.401"
"46","18",7,"Lance Stroll","STR","2:0.975999999999999"
"47","18",8,"Lance Stroll","STR","17:57.8150000000001"
"48","18",9,"Lance Stroll","STR","1:57.248"
"49","18",10,"Lance Stroll","STR","1:26.576"
"50","18",11,"Lance Stroll","STR","2:27.609"
"51","18",12,"Lance Stroll","STR","1:26.866"
"52","18",13,"Lance Stroll","STR","2:11.813"
"53","18",14,"Lance Stroll","STR","2:11.447"
"54","20",1,"Kevin Magnussen","MAG","0:0"
"55","20",2,"Kevin Magnussen","MAG","20:39.932"
"56","20",3,"Kevin Magnussen","MAG","1:29.128"
"57","20",4,"Kevin Magnussen","MAG","2:5.532"
"58","20",5,"Kevin Magnussen","MAG","1:28.551"
"59","20",6,"Kevin Magnussen","MAG","2:6.491"
"60","20",7,"Kevin Magnussen","MAG","1:30.536"
"61","20",8,"Kevin Magnussen","MAG","2:4.254"
"62","20",9,"Kevin Magnussen","MAG","18:22.4380000000001"
"63","20",10,"Kevin Magnussen","MAG","1:27.86"
"64","20",11,"Kevin Magnussen","MAG","2:17.605"
"65","20",12,"Kevin Magnussen","MAG","1:46.092"
"66","20",13,"Kevin Magnussen","MAG","1:43.975"
"67","20",14,"Kevin Magnussen","MAG","1:47.216"
"68","20",15,"Kevin Magnussen","MAG","2:18.365"
"69","23",1,"Alexander Albon","ALBA","0:0"
"70","23",2,"Alexander Albon","ALBA","1:28.398"
