"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","1:36.821"
"3","10",3,"Pierre Gasly","GAS","1:39.27"
"4","10",4,"Pierre Gasly","GAS","1:33.455"
"5","10",5,"Pierre Gasly","GAS","1:32.596"
"6","10",6,"Pierre Gasly","GAS","1:33.111"
"7","10",7,"Pierre Gasly","GAS","1:32.351"
"8","10",8,"Pierre Gasly","GAS","1:32.287"
"9","10",9,"Pierre Gasly","GAS","1:32.536"
"10","10",10,"Pierre Gasly","GAS","0:0"
"11","10",11,"Pierre Gasly","GAS","1:32.096"
"12","10",12,"Pierre Gasly","GAS","1:34.731"
"13","10",13,"Pierre Gasly","GAS","1:32.443"
"14","10",14,"Pierre Gasly","GAS","1:31.478"
"15","10",15,"Pierre Gasly","GAS","1:36.047"
"16","10",16,"Pierre Gasly","GAS","2:22.621"
"17","10",17,"Pierre Gasly","GAS","9:54.548"
"18","10",18,"Pierre Gasly","GAS","1:28.308"
"19","10",19,"Pierre Gasly","GAS","2:0.369"
"20","10",20,"Pierre Gasly","GAS","1:27.961"
"21","10",21,"Pierre Gasly","GAS","2:6.58799999999999"
"22","10",22,"Pierre Gasly","GAS","1:28.275"
"23","10",23,"Pierre Gasly","GAS","1:42.174"
"24","10",24,"Pierre Gasly","GAS","5:10.439"
"25","10",25,"Pierre Gasly","GAS","1:27.583"
"26","10",26,"Pierre Gasly","GAS","2:5.262"
"27","10",27,"Pierre Gasly","GAS","1:27.528"
"28","10",28,"Pierre Gasly","GAS","1:45.84"
"29","11",1,"Sergio Pérez","PER","0:0"
"30","11",2,"Sergio Pérez","PER","1:32.337"
"31","11",3,"Sergio Pérez","PER","2:2.497"
"32","11",4,"Sergio Pérez","PER","1:30.282"
"33","11",5,"Sergio Pérez","PER","2:29.996"
"34","11",6,"Sergio Pérez","PER","1:29.429"
"35","11",7,"Sergio Pérez","PER","2:5.05"
"36","11",8,"Sergio Pérez","PER","1:29.075"
"37","11",9,"Sergio Pérez","PER","1:40.619"
"38","11",10,"Sergio Pérez","PER","11:34.081"
"39","11",11,"Sergio Pérez","PER","1:33.105"
"40","11",12,"Sergio Pérez","PER","1:32.432"
"41","11",13,"Sergio Pérez","PER","1:32.787"
"42","11",14,"Sergio Pérez","PER","1:33.256"
"43","11",15,"Sergio Pérez","PER","1:33.189"
"44","11",16,"Sergio Pérez","PER","1:32.881"
"45","11",17,"Sergio Pérez","PER","1:33.198"
"46","11",18,"Sergio Pérez","PER","1:32.742"
"47","11",19,"Sergio Pérez","PER","1:36.964"
"48","11",20,"Sergio Pérez","PER","11:1.02099999999996"
"49","11",21,"Sergio Pérez","PER","1:27.245"
"50","11",22,"Sergio Pérez","PER","2:2.428"
"51","11",23,"Sergio Pérez","PER","1:57.457"
"52","11",24,"Sergio Pérez","PER","1:29.82"
"53","11",25,"Sergio Pérez","PER","1:47.255"
"54","16",1,"Charles Leclerc","LEC","0:0"
"55","16",2,"Charles Leclerc","LEC","1:39.49"
"56","16",3,"Charles Leclerc","LEC","1:34.557"
"57","16",4,"Charles Leclerc","LEC","1:33.698"
"58","16",5,"Charles Leclerc","LEC","1:33.323"
"59","16",6,"Charles Leclerc","LEC","1:39.692"
"60","16",7,"Charles Leclerc","LEC","1:32.253"
"61","16",8,"Charles Leclerc","LEC","1:32.717"
"62","16",9,"Charles Leclerc","LEC","1:31.738"
"63","16",10,"Charles Leclerc","LEC","1:37.704"
"64","16",11,"Charles Leclerc","LEC","2:39.083"
"65","16",12,"Charles Leclerc","LEC","2:7.73999999999999"
"66","16",13,"Charles Leclerc","LEC","11:12.7190000000001"
"67","16",14,"Charles Leclerc","LEC","1:27.783"
"68","16",15,"Charles Leclerc","LEC","2:4.907"
"69","16",16,"Charles Leclerc","LEC","1:37.252"
"70","16",17,"Charles Leclerc","LEC","1:27.852"
"71","16",18,"Charles Leclerc","LEC","1:48.289"
"72","16",19,"Charles Leclerc","LEC","2:29.977"
"73","16",20,"Charles Leclerc","LEC","1:32.362"
"74","16",21,"Charles Leclerc","LEC","8:9.24799999999999"
"75","16",22,"Charles Leclerc","LEC","1:26.681"
"76","16",23,"Charles Leclerc","LEC","1:59.593"
"77","16",24,"Charles Leclerc","LEC","1:27.569"
"78","16",25,"Charles Leclerc","LEC","1:47.152"
"79","20",1,"Kevin Magnussen","MAG","0:0"
"80","20",2,"Kevin Magnussen","MAG","1:40.005"
"81","20",3,"Kevin Magnussen","MAG","1:38.129"
"82","20",4,"Kevin Magnussen","MAG","1:36.868"
"83","20",5,"Kevin Magnussen","MAG","1:35.367"
"84","20",6,"Kevin Magnussen","MAG","1:36.761"
"85","20",7,"Kevin Magnussen","MAG","1:34.925"
"86","20",8,"Kevin Magnussen","MAG","1:35.321"
"87","20",9,"Kevin Magnussen","MAG","1:34.492"
"88","20",10,"Kevin Magnussen","MAG","1:39.206"
"89","20",11,"Kevin Magnussen","MAG","2:57.522"
"90","20",12,"Kevin Magnussen","MAG","8:54.898"
"91","20",13,"Kevin Magnussen","MAG","1:33.072"
"92","20",14,"Kevin Magnussen","MAG","1:29.565"
"93","20",15,"Kevin Magnussen","MAG","1:59.642"
"94","20",16,"Kevin Magnussen","MAG","1:28.918"
"95","20",17,"Kevin Magnussen","MAG","1:47.984"
"96","20",18,"Kevin Magnussen","MAG","1:28.702"
"97","20",19,"Kevin Magnussen","MAG","1:55.584"
"98","20",20,"Kevin Magnussen","MAG","7:59.465"
"99","20",21,"Kevin Magnussen","MAG","1:28.293"
"100","20",22,"Kevin Magnussen","MAG","1:55.337"
"101","20",23,"Kevin Magnussen","MAG","1:41.722"
"102","20",24,"Kevin Magnussen","MAG","1:28.539"
"103","20",25,"Kevin Magnussen","MAG","1:46.592"
"104","20",26,"Kevin Magnussen","MAG","1:28.296"
"105","20",27,"Kevin Magnussen","MAG","1:49.251"
