"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","19:19.4559999999999"
"3","10",3,"Pierre Gasly","GAS","1:21.275"
"4","10",4,"Pierre Gasly","GAS","1:44.567"
"5","10",5,"Pierre Gasly","GAS","1:21.136"
"6","10",6,"Pierre Gasly","GAS","1:39.154"
"7","10",7,"Pierre Gasly","GAS","1:37.129"
"8","10",8,"Pierre Gasly","GAS","2:8.66"
"9","10",9,"Pierre Gasly","GAS","15:36.499"
"10","10",10,"Pierre Gasly","GAS","1:20.936"
"11","10",11,"Pierre Gasly","GAS","0:0"
"12","10",12,"Pierre Gasly","GAS","9:13.728"
"13","10",13,"Pierre Gasly","GAS","1:21.052"
"14","10",14,"Pierre Gasly","GAS","1:42.895"
"15","11",1,"Sergio Pérez","PER","0:0"
"16","11",2,"Sergio Pérez","PER","1:21.544"
"17","11",3,"Sergio Pérez","PER","1:44.205"
"18","11",4,"Sergio Pérez","PER","1:21.011"
"19","11",5,"Sergio Pérez","PER","1:46.72"
"20","11",6,"Sergio Pérez","PER","1:37.088"
"21","11",7,"Sergio Pérez","PER","2:21.028"
"22","11",8,"Sergio Pérez","PER","15:29.127"
"23","11",9,"Sergio Pérez","PER","1:20.945"
"24","11",10,"Sergio Pérez","PER","0:0"
"25","11",11,"Sergio Pérez","PER","9:18.9589999999999"
"26","11",12,"Sergio Pérez","PER","1:20.897"
"27","11",13,"Sergio Pérez","PER","1:47.212"
"28","16",1,"Charles Leclerc","LEC","0:0"
"29","16",2,"Charles Leclerc","LEC","1:21.766"
"30","16",3,"Charles Leclerc","LEC","1:55.117"
"31","16",4,"Charles Leclerc","LEC","1:21.883"
"32","16",5,"Charles Leclerc","LEC","1:45.406"
"33","16",6,"Charles Leclerc","LEC","2:22.712"
"34","16",7,"Charles Leclerc","LEC","16:49.953"
"35","16",8,"Charles Leclerc","LEC","1:20.917"
"36","16",9,"Charles Leclerc","LEC","1:51.028"
"37","16",10,"Charles Leclerc","LEC","0:0"
"38","16",11,"Charles Leclerc","LEC","9:59.654"
"39","18",1,"Lance Stroll","STR","0:0"
"40","18",2,"Lance Stroll","STR","1:22.596"
"41","18",3,"Lance Stroll","STR","1:43.697"
"42","18",4,"Lance Stroll","STR","1:21.215"
"43","18",5,"Lance Stroll","STR","1:49.395"
"44","18",6,"Lance Stroll","STR","1:21.369"
"45","18",7,"Lance Stroll","STR","1:43.606"
"46","18",8,"Lance Stroll","STR","2:14.996"
"47","18",9,"Lance Stroll","STR","14:14.772"
"48","18",10,"Lance Stroll","STR","1:20.804"
"49","18",11,"Lance Stroll","STR","0:0"
"50","18",12,"Lance Stroll","STR","9:14.734"
"51","18",13,"Lance Stroll","STR","1:20.894"
"52","18",14,"Lance Stroll","STR","1:40.84"
"53","20",1,"Kevin Magnussen","MAG","0:0"
"54","20",2,"Kevin Magnussen","MAG","19:12.05"
"55","20",3,"Kevin Magnussen","MAG","1:23.018"
"56","20",4,"Kevin Magnussen","MAG","2:4.426"
"57","20",5,"Kevin Magnussen","MAG","1:23.796"
"58","20",6,"Kevin Magnussen","MAG","2:6.80800000000001"
"59","20",7,"Kevin Magnussen","MAG","1:22.29"
"60","20",8,"Kevin Magnussen","MAG","2:4.28700000000001"
"61","20",9,"Kevin Magnussen","MAG","1:22.106"
"62","20",10,"Kevin Magnussen","MAG","1:58.19"
"63","20",11,"Kevin Magnussen","MAG","13:23.171"
"64","20",12,"Kevin Magnussen","MAG","1:21.436"
"65","20",13,"Kevin Magnussen","MAG","0:0"
"66","20",14,"Kevin Magnussen","MAG","8:55.8440000000001"
"67","20",15,"Kevin Magnussen","MAG","1:32.353"
"68","23",1,"Alexander Albon","ALBA","0:0"
"69","23",2,"Alexander Albon","ALBA","1:22.27"
"70","23",3,"Alexander Albon","ALBA","1:44.695"
"71","23",4,"Alexander Albon","ALBA","1:21.168"
"72","23",5,"Alexander Albon","ALBA","1:49.699"
"73","23",6,"Alexander Albon","ALBA","1:20.952"
"74","23",7,"Alexander Albon","ALBA","1:47.616"
"75","23",8,"Alexander Albon","ALBA","1:21.407"
"76","23",9,"Alexander Albon","ALBA","1:46.434"
"77","23",10,"Alexander Albon","ALBA","12:47.71"
"78","23",11,"Alexander Albon","ALBA","1:20.563"
"79","23",12,"Alexander Albon","ALBA","0:0"
"80","23",13,"Alexander Albon","ALBA","9:39.86"
"81","23",14,"Alexander Albon","ALBA","1:20.675"
"82","23",15,"Alexander Albon","ALBA","1:45.741"
"83","26",1,"Daniil Kvyat","KVY","0:0"
"84","26",2,"Daniil Kvyat","KVY","1:21.782"
"85","26",3,"Daniil Kvyat","KVY","1:46.135"
"86","26",4,"Daniil Kvyat","KVY","1:21.144"
"87","26",5,"Daniil Kvyat","KVY","1:49.519"
"88","26",6,"Daniil Kvyat","KVY","1:21.067"
"89","26",7,"Daniil Kvyat","KVY","1:47.198"
"90","26",8,"Daniil Kvyat","KVY","1:21.713"
"91","26",9,"Daniil Kvyat","KVY","1:36.033"
"92","26",10,"Daniil Kvyat","KVY","2:3.52"
"93","26",11,"Daniil Kvyat","KVY","21:51.0039999999999"
"94","26",12,"Daniil Kvyat","KVY","1:20.953"
"95","26",13,"Daniil Kvyat","KVY","1:42.956"
"96","3",1,"Daniel Ricciardo","RIC","0:0"
"97","3",2,"Daniel Ricciardo","RIC","1:21.441"
"98","3",3,"Daniel Ricciardo","RIC","1:46.375"
"99","3",4,"Daniel Ricciardo","RIC","0:0"
"100","3",5,"Daniel Ricciardo","RIC","1:45.182"
"101","3",6,"Daniel Ricciardo","RIC","2:16.402"
"102","3",7,"Daniel Ricciardo","RIC","17:21.4459999999999"
"103","3",8,"Daniel Ricciardo","RIC","1:20.419"
"104","31",1,"Esteban Ocon","OCO","0:0"
"105","31",2,"Esteban Ocon","OCO","1:22.014"
"106","31",3,"Esteban Ocon","OCO","1:48.97"
"107","31",4,"Esteban Ocon","OCO","1:20.856"
"108","31",5,"Esteban Ocon","OCO","1:45.191"
"109","31",6,"Esteban Ocon","OCO","2:15.589"
"110","31",7,"Esteban Ocon","OCO","17:17.4200000000001"
"111","31",8,"Esteban Ocon","OCO","1:20.693"
"112","31",9,"Esteban Ocon","OCO","1:44.898"
"113","31",10,"Esteban Ocon","OCO","0:0"
"114","31",11,"Esteban Ocon","OCO","8:18.322"
"115","31",12,"Esteban Ocon","OCO","1:21.52"
"116","31",13,"Esteban Ocon","OCO","1:40.039"
"117","33",1,"Max Verstappen","VER","0:0"
"118","33",2,"Max Verstappen","VER","1:21.548"
"119","33",3,"Max Verstappen","VER","1:49.426"
"120","33",4,"Max Verstappen","VER","1:20.974"
"121","33",5,"Max Verstappen","VER","1:54.814"
"122","33",6,"Max Verstappen","VER","1:20.456"
"123","33",7,"Max Verstappen","VER","1:40.988"
"124","33",8,"Max Verstappen","VER","2:1.163"
"125","33",9,"Max Verstappen","VER","13:16.235"
"126","33",10,"Max Verstappen","VER","1:20.589"
"127","33",11,"Max Verstappen","VER","2:2.321"
"128","33",12,"Max Verstappen","VER","0:0"
"129","33",13,"Max Verstappen","VER","8:7.72699999999998"
"130","33",14,"Max Verstappen","VER","1:20.981"
"131","33",15,"Max Verstappen","VER","1:37.268"
"132","4",1,"Lando Norris","NORL","0:0"
"133","4",2,"Lando Norris","NORL","19:59.252"
"134","4",3,"Lando Norris","NORL","1:39.833"
"135","4",4,"Lando Norris","NORL","1:25.652"
"136","4",5,"Lando Norris","NORL","1:43.196"
"137","4",6,"Lando Norris","NORL","1:21.39"
"138","4",7,"Lando Norris","NORL","1:31.098"
"139","4",8,"Lando Norris","NORL","1:22.62"
"140","4",9,"Lando Norris","NORL","1:22.739"
"141","4",10,"Lando Norris","NORL","1:23.105"
"142","4",11,"Lando Norris","NORL","1:33.062"
"143","4",12,"Lando Norris","NORL","12:36.147"
"144","4",13,"Lando Norris","NORL","1:20.412"
"145","4",14,"Lando Norris","NORL","1:46.811"
"146","44",1,"Lewis Hamilton","HAM","0:0"
"147","44",2,"Lewis Hamilton","HAM","1:20.658"
"148","44",3,"Lewis Hamilton","HAM","1:53.01"
"149","44",4,"Lewis Hamilton","HAM","2:33.12"
"150","44",5,"Lewis Hamilton","HAM","1:35.748"
"151","44",6,"Lewis Hamilton","HAM","12:19.722"
"152","44",7,"Lewis Hamilton","HAM","1:44.247"
"153","44",8,"Lewis Hamilton","HAM","1:20.439"
"154","44",9,"Lewis Hamilton","HAM","1:47.335"
"155","44",10,"Lewis Hamilton","HAM","11:45.893"
"156","44",11,"Lewis Hamilton","HAM","2:13.318"
