"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","1:34.93"
"3","10",3,"Pierre Gasly","GAS","2:44.557"
"4","10",4,"Pierre Gasly","GAS","2:3.157"
"5","10",5,"Pierre Gasly","GAS","2:24.782"
"6","10",6,"Pierre Gasly","GAS","2:50.26"
"7","10",7,"Pierre Gasly","GAS","16:18.274"
"8","10",8,"Pierre Gasly","GAS","1:34.924"
"9","10",9,"Pierre Gasly","GAS","2:47.392"
"10","10",10,"Pierre Gasly","GAS","1:34.792"
"11","10",11,"Pierre Gasly","GAS","2:43.467"
"12","10",12,"Pierre Gasly","GAS","1:51.686"
"13","11",1,"Sergio Pérez","PER","0:0"
"14","11",2,"Sergio Pérez","PER","1:36.359"
"15","11",3,"Sergio Pérez","PER","2:31.789"
"16","11",4,"Sergio Pérez","PER","1:35.649"
"17","11",5,"Sergio Pérez","PER","2:18.972"
"18","11",6,"Sergio Pérez","PER","1:35.478"
"19","11",7,"Sergio Pérez","PER","2:18.932"
"20","11",8,"Sergio Pérez","PER","2:29.172"
"21","11",9,"Sergio Pérez","PER","14:30.276"
"22","11",10,"Sergio Pérez","PER","1:34.252"
"23","11",11,"Sergio Pérez","PER","2:5.955"
"24","11",12,"Sergio Pérez","PER","6:38.134"
"25","11",13,"Sergio Pérez","PER","1:35.232"
"26","16",1,"Charles Leclerc","LEC","0:0"
"27","16",2,"Charles Leclerc","LEC","1:35.493"
"28","16",3,"Charles Leclerc","LEC","2:33.106"
"29","16",4,"Charles Leclerc","LEC","2:0.994"
"30","16",5,"Charles Leclerc","LEC","1:48.124"
"31","16",6,"Charles Leclerc","LEC","2:44.555"
"32","16",7,"Charles Leclerc","LEC","12:49.014"
"33","16",8,"Charles Leclerc","LEC","1:34.806"
"34","16",9,"Charles Leclerc","LEC","2:42.533"
"35","16",10,"Charles Leclerc","LEC","1:35.906"
"36","16",11,"Charles Leclerc","LEC","2:10.373"
"37","16",12,"Charles Leclerc","LEC","5:13.859"
"38","16",13,"Charles Leclerc","LEC","2:14.493"
"39","16",14,"Charles Leclerc","LEC","1:45.429"
"40","18",1,"Lance Stroll","STR","0:0"
"41","18",2,"Lance Stroll","STR","1:35.676"
"42","18",3,"Lance Stroll","STR","2:35.369"
"43","18",4,"Lance Stroll","STR","1:49.497"
"44","18",5,"Lance Stroll","STR","2:7.69199999999999"
"45","18",6,"Lance Stroll","STR","1:53.876"
"46","18",7,"Lance Stroll","STR","2:12.238"
"47","18",8,"Lance Stroll","STR","14:57.39"
"48","18",9,"Lance Stroll","STR","1:34.732"
"49","18",10,"Lance Stroll","STR","2:15.402"
"50","18",11,"Lance Stroll","STR","7:18.375"
"51","18",12,"Lance Stroll","STR","1:35.472"
"52","20",1,"Kevin Magnussen","MAG","0:0"
"53","20",2,"Kevin Magnussen","MAG","1:37.194"
"54","20",3,"Kevin Magnussen","MAG","2:30.379"
