"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","0:55.252"
"3","10",3,"Pierre Gasly","GAS","1:25.365"
"4","10",4,"Pierre Gasly","GAS","1:15.539"
"5","10",5,"Pierre Gasly","GAS","0:56.146"
"6","10",6,"Pierre Gasly","GAS","1:18.85"
"7","10",7,"Pierre Gasly","GAS","1:9.81699999999999"
"8","10",8,"Pierre Gasly","GAS","0:55.268"
"9","10",9,"Pierre Gasly","GAS","1:21.194"
"10","10",10,"Pierre Gasly","GAS","1:21.32"
"11","10",11,"Pierre Gasly","GAS","0:55.098"
"12","10",12,"Pierre Gasly","GAS","1:6.23999999999999"
"13","10",13,"Pierre Gasly","GAS","1:39.054"
"14","10",14,"Pierre Gasly","GAS","11:27.104"
"15","10",15,"Pierre Gasly","GAS","0:54.427"
"16","10",16,"Pierre Gasly","GAS","1:25.839"
"17","10",17,"Pierre Gasly","GAS","1:16.8"
"18","10",18,"Pierre Gasly","GAS","1:16.361"
"19","10",19,"Pierre Gasly","GAS","0:54.527"
"20","10",20,"Pierre Gasly","GAS","1:21.597"
"21","10",21,"Pierre Gasly","GAS","1:14.292"
"22","10",22,"Pierre Gasly","GAS","0:54.793"
"23","10",23,"Pierre Gasly","GAS","1:1.576"
"24","10",24,"Pierre Gasly","GAS","1:35.882"
"25","11",1,"Sergio Pérez","PER","0:0"
"26","11",2,"Sergio Pérez","PER","0:55.716"
"27","11",3,"Sergio Pérez","PER","1:14.457"
"28","11",4,"Sergio Pérez","PER","1:11.873"
"29","11",5,"Sergio Pérez","PER","0:55.554"
"30","11",6,"Sergio Pérez","PER","1:20.246"
"31","11",7,"Sergio Pérez","PER","1:6.35599999999999"
"32","11",8,"Sergio Pérez","PER","0:55.446"
"33","11",9,"Sergio Pérez","PER","1:14.259"
"34","11",10,"Sergio Pérez","PER","0:56.307"
"35","11",11,"Sergio Pérez","PER","1:9.13800000000001"
"36","11",12,"Sergio Pérez","PER","18:11.6969999999999"
"37","11",13,"Sergio Pérez","PER","0:54.678"
"38","11",14,"Sergio Pérez","PER","1:28.995"
"39","11",15,"Sergio Pérez","PER","1:15.201"
"40","11",16,"Sergio Pérez","PER","0:54.857"
"41","11",17,"Sergio Pérez","PER","1:23.708"
"42","11",18,"Sergio Pérez","PER","1:25.468"
"43","11",19,"Sergio Pérez","PER","0:54.776"
"44","11",20,"Sergio Pérez","PER","1:16.382"
"45","16",1,"Charles Leclerc","LEC","0:0"
"46","16",2,"Charles Leclerc","LEC","0:55.253"
"47","16",3,"Charles Leclerc","LEC","1:19.764"
"48","16",4,"Charles Leclerc","LEC","1:13.749"
"49","16",5,"Charles Leclerc","LEC","0:55.501"
"50","16",6,"Charles Leclerc","LEC","1:17.798"
"51","16",7,"Charles Leclerc","LEC","1:12.579"
"52","16",8,"Charles Leclerc","LEC","1:5.666"
"53","16",9,"Charles Leclerc","LEC","0:55.738"
"54","16",10,"Charles Leclerc","LEC","1:12.359"
"55","16",11,"Charles Leclerc","LEC","1:41.747"
"56","16",12,"Charles Leclerc","LEC","12:11.509"
"57","16",13,"Charles Leclerc","LEC","0:54.854"
"58","16",14,"Charles Leclerc","LEC","1:22.297"
"59","16",15,"Charles Leclerc","LEC","1:22.353"
"60","16",16,"Charles Leclerc","LEC","0:55.364"
"61","16",17,"Charles Leclerc","LEC","1:21.872"
"62","16",18,"Charles Leclerc","LEC","7:33.123"
"63","16",19,"Charles Leclerc","LEC","1:38.605"
"64","16",20,"Charles Leclerc","LEC","0:58.421"
"65","16",21,"Charles Leclerc","LEC","1:18.588"
"66","18",1,"Lance Stroll","STR","0:0"
"67","18",2,"Lance Stroll","STR","0:56.075"
"68","18",3,"Lance Stroll","STR","1:19.163"
"69","18",4,"Lance Stroll","STR","1:9.867"
"70","18",5,"Lance Stroll","STR","0:55.406"
"71","18",6,"Lance Stroll","STR","1:28.575"
"72","18",7,"Lance Stroll","STR","1:8.239"
"73","18",8,"Lance Stroll","STR","0:55.557"
"74","18",9,"Lance Stroll","STR","1:18.043"
"75","18",10,"Lance Stroll","STR","0:56.125"
"76","18",11,"Lance Stroll","STR","1:5.20399999999999"
"77","18",12,"Lance Stroll","STR","17:30.944"
"78","18",13,"Lance Stroll","STR","0:54.693"
"79","18",14,"Lance Stroll","STR","1:24.994"
"80","18",15,"Lance Stroll","STR","1:15.654"
"81","18",16,"Lance Stroll","STR","0:54.946"
"82","18",17,"Lance Stroll","STR","1:7.29300000000001"
"83","18",18,"Lance Stroll","STR","1:27.173"
"84","20",1,"Kevin Magnussen","MAG","0:0"
"85","20",2,"Kevin Magnussen","MAG","0:55.862"
"86","20",3,"Kevin Magnussen","MAG","1:19.709"
"87","20",4,"Kevin Magnussen","MAG","1:14.195"
"88","20",5,"Kevin Magnussen","MAG","1:6.07599999999999"
"89","20",6,"Kevin Magnussen","MAG","0:55.972"
