"","carNumber","lap","driver.name","driver.code","time"
"1","10",1,"Pierre Gasly","GAS","0:0"
"2","10",2,"Pierre Gasly","GAS","1:19.097"
"3","10",3,"Pierre Gasly","GAS","2:16.3"
"4","10",4,"Pierre Gasly","GAS","1:50.416"
"5","10",5,"Pierre Gasly","GAS","1:19.28"
"6","10",6,"Pierre Gasly","GAS","1:37.954"
"7","10",7,"Pierre Gasly","GAS","2:14.611"
"8","10",8,"Pierre Gasly","GAS","12:36.317"
"9","10",9,"Pierre Gasly","GAS","1:18.211"
"10","10",10,"Pierre Gasly","GAS","2:4.63200000000001"
"11","10",11,"Pierre Gasly","GAS","1:57.14"
"12","10",12,"Pierre Gasly","GAS","1:19.001"
"13","10",13,"Pierre Gasly","GAS","1:34.908"
"14","11",1,"Sergio Pérez","PER","0:0"
"15","11",2,"Sergio Pérez","PER","1:19.955"
"16","11",3,"Sergio Pérez","PER","2:16.553"
"17","11",4,"Sergio Pérez","PER","1:53.423"
"18","11",5,"Sergio Pérez","PER","1:19.629"
"19","11",6,"Sergio Pérez","PER","1:58.766"
"20","11",7,"Sergio Pérez","PER","2:1.28100000000001"
"21","11",8,"Sergio Pérez","PER","1:19.265"
"22","11",9,"Sergio Pérez","PER","1:38.3"
"23","11",10,"Sergio Pérez","PER","1:58.796"
"24","11",11,"Sergio Pérez","PER","11:20.495"
"25","11",12,"Sergio Pérez","PER","1:18.096"
"26","11",13,"Sergio Pérez","PER","2:3.95099999999999"
"27","11",14,"Sergio Pérez","PER","2:13.63"
"28","11",15,"Sergio Pérez","PER","1:18.62"
"29","16",1,"Charles Leclerc","LEC","0:0"
"30","16",2,"Charles Leclerc","LEC","1:18.95"
"31","16",3,"Charles Leclerc","LEC","1:58.345"
"32","16",4,"Charles Leclerc","LEC","1:41.581"
"33","16",5,"Charles Leclerc","LEC","1:19.288"
"34","16",6,"Charles Leclerc","LEC","1:40.119"
"35","16",7,"Charles Leclerc","LEC","2:29.175"
"36","16",8,"Charles Leclerc","LEC","10:35.5410000000001"
"37","16",9,"Charles Leclerc","LEC","1:18.193"
"38","16",10,"Charles Leclerc","LEC","1:58.132"
"39","16",11,"Charles Leclerc","LEC","1:50.935"
"40","16",12,"Charles Leclerc","LEC","1:18.458"
"41","16",13,"Charles Leclerc","LEC","1:46.59"
"42","16",14,"Charles Leclerc","LEC","7:42.951"
"43","18",1,"Lance Stroll","STR","0:0"
"44","18",2,"Lance Stroll","STR","1:20.367"
"45","18",3,"Lance Stroll","STR","2:6.32899999999999"
"46","18",4,"Lance Stroll","STR","1:51.019"
"47","18",5,"Lance Stroll","STR","1:19.286"
"48","18",6,"Lance Stroll","STR","2:12.311"
"49","18",7,"Lance Stroll","STR","1:50.61"
"50","18",8,"Lance Stroll","STR","1:19.268"
"51","18",9,"Lance Stroll","STR","1:40.092"
"52","18",10,"Lance Stroll","STR","1:59.971"
"53","18",11,"Lance Stroll","STR","11:44.8099999999999"
"54","18",12,"Lance Stroll","STR","1:18.309"
"55","18",13,"Lance Stroll","STR","2:14.255"
"56","18",14,"Lance Stroll","STR","2:8.346"
"57","18",15,"Lance Stroll","STR","1:18.56"
"58","20",1,"Kevin Magnussen","MAG","0:0"
"59","20",2,"Kevin Magnussen","MAG","17:59.3330000000001"
"60","20",3,"Kevin Magnussen","MAG","1:20.784"
"61","20",4,"Kevin Magnussen","MAG","1:54.094"
"62","20",5,"Kevin Magnussen","MAG","1:46.276"
"63","20",6,"Kevin Magnussen","MAG","1:20.875"
"64","20",7,"Kevin Magnussen","MAG","1:58.978"
"65","20",8,"Kevin Magnussen","MAG","1:20.03"
"66","20",9,"Kevin Magnussen","MAG","1:45.276"
"67","20",10,"Kevin Magnussen","MAG","18:21.1880000000001"
"68","20",11,"Kevin Magnussen","MAG","1:18.94"
"69","20",12,"Kevin Magnussen","MAG","2:14.622"
"70","20",13,"Kevin Magnussen","MAG","1:53.413"
"71","20",14,"Kevin Magnussen","MAG","1:19.114"
"72","23",1,"Alexander Albon","ALBA","0:0"
"73","23",2,"Alexander Albon","ALBA","1:19.182"
"74","23",3,"Alexander Albon","ALBA","2:4.126"
"75","23",4,"Alexander Albon","ALBA","1:56.039"
"76","23",5,"Alexander Albon","ALBA","0:0"
"77","23",6,"Alexander Albon","ALBA","1:38.671"
"78","23",7,"Alexander Albon","ALBA","9:57.702"
"79","23",8,"Alexander Albon","ALBA","1:18.371"
"80","23",9,"Alexander Albon","ALBA","2:11.884"
"81","23",10,"Alexander Albon","ALBA","2:7.581"
"82","23",11,"Alexander Albon","ALBA","1:18.72"
"83","23",12,"Alexander Albon","ALBA","1:54.862"
"84","26",1,"Daniil Kvyat","KVY","0:0"
"85","26",2,"Daniil Kvyat","KVY","1:19.414"
"86","26",3,"Daniil Kvyat","KVY","2:2.325"
"87","26",4,"Daniil Kvyat","KVY","1:55.47"
"88","26",5,"Daniil Kvyat","KVY","1:40.467"
"89","26",6,"Daniil Kvyat","KVY","1:21.05"
"90","26",7,"Daniil Kvyat","KVY","1:43.781"
"91","26",8,"Daniil Kvyat","KVY","2:3.13800000000001"
"92","26",9,"Daniil Kvyat","KVY","2:13.274"
"93","26",10,"Daniil Kvyat","KVY","15:1.93399999999997"
"94","26",11,"Daniil Kvyat","KVY","1:18.852"
"95","26",12,"Daniil Kvyat","KVY","1:54.022"
"96","26",13,"Daniil Kvyat","KVY","1:53.331"
"97","26",14,"Daniil Kvyat","KVY","1:19.836"
"98","26",15,"Daniil Kvyat","KVY","1:43.951"
"99","3",1,"Daniel Ricciardo","RIC","0:0"
"100","3",2,"Daniel Ricciardo","RIC","1:20.31"
"101","3",3,"Daniel Ricciardo","RIC","1:48.665"
"102","3",4,"Daniel Ricciardo","RIC","2:7.36199999999999"
"103","3",5,"Daniel Ricciardo","RIC","1:20.129"
"104","3",6,"Daniel Ricciardo","RIC","1:43.976"
"105","3",7,"Daniel Ricciardo","RIC","1:33.505"
"106","3",8,"Daniel Ricciardo","RIC","2:17.042"
"107","3",9,"Daniel Ricciardo","RIC","16:19.114"
"108","3",10,"Daniel Ricciardo","RIC","1:18.384"
"109","3",11,"Daniel Ricciardo","RIC","1:39.527"
"110","3",12,"Daniel Ricciardo","RIC","2:19.62"
"111","31",1,"Esteban Ocon","OCO","0:0"
"112","31",2,"Esteban Ocon","OCO","1:19.622"
"113","31",3,"Esteban Ocon","OCO","1:54.502"
"114","31",4,"Esteban Ocon","OCO","1:55.155"
"115","31",5,"Esteban Ocon","OCO","1:37.621"
"116","31",6,"Esteban Ocon","OCO","1:20.009"
"117","31",7,"Esteban Ocon","OCO","1:53.426"
"118","31",8,"Esteban Ocon","OCO","1:49.496"
"119","31",9,"Esteban Ocon","OCO","1:19.498"
"120","31",10,"Esteban Ocon","OCO","1:33.781"
"121","31",11,"Esteban Ocon","OCO","2:7.35899999999999"
"122","31",12,"Esteban Ocon","OCO","11:11.463"
"123","31",13,"Esteban Ocon","OCO","1:18.602"
"124","31",14,"Esteban Ocon","OCO","1:55.202"
"125","31",15,"Esteban Ocon","OCO","2:12.717"
"126","31",16,"Esteban Ocon","OCO","1:22.147"
"127","31",17,"Esteban Ocon","OCO","1:41.437"
"128","33",1,"Max Verstappen","VER","0:0"
"129","33",2,"Max Verstappen","VER","1:18.487"
"130","33",3,"Max Verstappen","VER","2:22.947"
"131","33",4,"Max Verstappen","VER","1:59.145"
"132","33",5,"Max Verstappen","VER","1:18.16"
"133","33",6,"Max Verstappen","VER","1:28.73"
"134","33",7,"Max Verstappen","VER","11:26.8579999999999"
"135","33",8,"Max Verstappen","VER","1:17.737"
"136","33",9,"Max Verstappen","VER","2:30.208"
"137","33",10,"Max Verstappen","VER","1:56.377"
"138","4",1,"Lando Norris","NORL","0:0"
"139","4",2,"Lando Norris","NORL","1:19.62"
"140","4",3,"Lando Norris","NORL","2:10.884"
"141","4",4,"Lando Norris","NORL","1:39.337"
"142","4",5,"Lando Norris","NORL","1:20.975"
"143","4",6,"Lando Norris","NORL","1:45.951"
"144","4",7,"Lando Norris","NORL","2:16.792"
"145","4",8,"Lando Norris","NORL","1:19.954"
"146","4",9,"Lando Norris","NORL","1:55.011"
"147","4",10,"Lando Norris","NORL","1:19.608"
"148","4",11,"Lando Norris","NORL","1:37.509"
"149","4",12,"Lando Norris","NORL","10:5.13400000000001"
"150","4",13,"Lando Norris","NORL","1:18.858"
"151","4",14,"Lando Norris","NORL","1:56.483"
"152","4",15,"Lando Norris","NORL","1:49.193"
"153","4",16,"Lando Norris","NORL","1:18.803"
"154","4",17,"Lando Norris","NORL","1:28.891"
"155","4",18,"Lando Norris","NORL","6:51.365"
"156","4",19,"Lando Norris","NORL","1:51.082"
"157","4",20,"Lando Norris","NORL","1:23.962"
"158","4",21,"Lando Norris","NORL","1:24.137"
"159","4",22,"Lando Norris","NORL","1:24.407"
"160","44",1,"Lewis Hamilton","HAM","0:0"
"161","44",2,"Lewis Hamilton","HAM","1:18.324"
"162","44",3,"Lewis Hamilton","HAM","2:30.951"
"163","44",4,"Lewis Hamilton","HAM","2:32.328"
"164","44",5,"Lewis Hamilton","HAM","1:18.077"
"165","44",6,"Lewis Hamilton","HAM","1:33.874"
"166","44",7,"Lewis Hamilton","HAM","13:47.247"
"167","44",8,"Lewis Hamilton","HAM","1:17.222"
"168","44",9,"Lewis Hamilton","HAM","2:16.567"
"169","44",10,"Lewis Hamilton","HAM","2:30.819"
"170","44",11,"Lewis Hamilton","HAM","1:17.829"
"171","44",12,"Lewis Hamilton","HAM","1:42.029"
"172","5",1,"Sebastian Vettel","VET","0:0"
"173","5",2,"Sebastian Vettel","VET","1:19.967"
"174","5",3,"Sebastian Vettel","VET","1:56.901"
"175","5",4,"Sebastian Vettel","VET","1:22.877"
"176","5",5,"Sebastian Vettel","VET","2:4.55200000000001"
"177","5",6,"Sebastian Vettel","VET","1:25.286"
"178","5",7,"Sebastian Vettel","VET","2:14.492"
"179","5",8,"Sebastian Vettel","VET","10:32.6180000000001"
"180","5",9,"Sebastian Vettel","VET","1:18.707"
"181","5",10,"Sebastian Vettel","VET","1:50.971"
"182","5",11,"Sebastian Vettel","VET","1:46.652"
"183","5",12,"Sebastian Vettel","VET","1:19.151"
"184","5",13,"Sebastian Vettel","VET","1:36.578"
"185","5",14,"Sebastian Vettel","VET","8:16.751"
"186","55",1,"Carlos Sainz","SAI","0:0"
"187","55",2,"Carlos Sainz","SAI","17:23.6690000000001"
"188","55",3,"Carlos Sainz","SAI","1:19.446"
"189","55",4,"Carlos Sainz","SAI","1:55.12"
"190","55",5,"Carlos Sainz","SAI","1:59.286"
"191","55",6,"Carlos Sainz","SAI","1:36.689"
"192","55",7,"Carlos Sainz","SAI","1:20.545"
"193","55",8,"Carlos Sainz","SAI","1:38.351"
"194","55",9,"Carlos Sainz","SAI","9:21.59"
"195","55",10,"Carlos Sainz","SAI","1:18.046"
"196","55",11,"Carlos Sainz","SAI","1:51.906"
"197","55",12,"Carlos Sainz","SAI","1:40.362"
"198","55",13,"Carlos Sainz","SAI","1:18.755"
"199","55",14,"Carlos Sainz","SAI","1:34.078"
"200","55",15,"Carlos Sainz","SAI","7:43.845"
"201","55",16,"Carlos Sainz","SAI","1:51.634"
"202","55",17,"Carlos Sainz","SAI","1:23.832"
"203","6",1,"Nicholas Latifi","LATN","0:0"
"204","6",2,"Nicholas Latifi","LATN","1:20.444"
"205","6",3,"Nicholas Latifi","LATN","2:5.57299999999999"
"206","6",4,"Nicholas Latifi","LATN","2:6.607"
"207","6",5,"Nicholas Latifi","LATN","1:20.514"
"208","6",6,"Nicholas Latifi","LATN","1:58.747"
"209","6",7,"Nicholas Latifi","LATN","1:57.9"
"210","6",8,"Nicholas Latifi","LATN","1:39.403"
"211","6",9,"Nicholas Latifi","LATN","1:35.98"
"212","6",10,"Nicholas Latifi","LATN","2:22.554"
"213","6",11,"Nicholas Latifi","LATN","10:32.793"
"214","6",12,"Nicholas Latifi","LATN","1:19.771"
"215","6",13,"Nicholas Latifi","LATN","2:10.532"
"216","6",14,"Nicholas Latifi","LATN","2:0.480000000000004"
"217","6",15,"Nicholas Latifi","LATN","1:19.764"
"218","63",1,"George Russell","RUSG","0:0"
"219","63",2,"George Russell","RUSG","1:20.288"
"220","63",3,"George Russell","RUSG","1:57.492"
"221","63",4,"George Russell","RUSG","1:20.637"
"222","63",5,"George Russell","RUSG","1:59.811"
"223","63",6,"George Russell","RUSG","1:48.434"
"224","63",7,"George Russell","RUSG","1:20.265"
"225","63",8,"George Russell","RUSG","1:45.612"
"226","63",9,"George Russell","RUSG","2:16.844"
"227","63",10,"George Russell","RUSG","10:47.08"
"228","63",11,"George Russell","RUSG","1:19.297"
"229","63",12,"George Russell","RUSG","1:57.703"
"230","63",13,"George Russell","RUSG","2:3.943"
"231","63",14,"George Russell","RUSG","1:19.824"
"232","63",15,"George Russell","RUSG","2:0.894999999999996"
"233","7",1,"Kimi Räikkönen","RAI","0:0"
"234","7",2,"Kimi Räikkönen","RAI","1:19.521"
"235","7",3,"Kimi Räikkönen","RAI","2:2.536"
"236","7",4,"Kimi Räikkönen","RAI","2:21.217"
"237","7",5,"Kimi Räikkönen","RAI","1:21.759"
"238","7",6,"Kimi Räikkönen","RAI","1:51.48"
"239","7",7,"Kimi Räikkönen","RAI","1:20.224"
"240","7",8,"Kimi Räikkönen","RAI","1:35.192"
"241","7",9,"Kimi Räikkönen","RAI","27:59.9059999999999"
"242","7",10,"Kimi Räikkönen","RAI","1:18.721"
"243","77",1,"Valtteri Bottas","BOT","0:0"
"244","77",2,"Valtteri Bottas","BOT","1:17.971"
"245","77",3,"Valtteri Bottas","BOT","1:48.618"
"246","77",4,"Valtteri Bottas","BOT","2:26.816"
"247","77",5,"Valtteri Bottas","BOT","1:31.015"
"248","77",6,"Valtteri Bottas","BOT","1:32.926"
"249","77",7,"Valtteri Bottas","BOT","9:53.908"
"250","77",8,"Valtteri Bottas","BOT","1:17.373"
"251","77",9,"Valtteri Bottas","BOT","1:51.987"
"252","77",10,"Valtteri Bottas","BOT","2:0.102999999999994"
"253","77",11,"Valtteri Bottas","BOT","1:18.438"
"254","77",12,"Valtteri Bottas","BOT","1:49.044"
"255","8",1,"Romain Grosjean","GRO","0:0"
"256","8",2,"Romain Grosjean","GRO","25:39.1120000000001"
"257","8",3,"Romain Grosjean","GRO","1:19.484"
"258","8",4,"Romain Grosjean","GRO","2:10.103"
"259","8",5,"Romain Grosjean","GRO","1:20.144"
"260","8",6,"Romain Grosjean","GRO","2:13.297"
"261","8",7,"Romain Grosjean","GRO","1:19.672"
"262","8",8,"Romain Grosjean","GRO","1:39.108"
"263","8",9,"Romain Grosjean","GRO","12:40.337"
"264","8",10,"Romain Grosjean","GRO","1:18.71"
"265","8",11,"Romain Grosjean","GRO","2:15.765"
"266","8",12,"Romain Grosjean","GRO","1:18.886"
"267","8",13,"Romain Grosjean","GRO","2:17.187"
"268","99",1,"Antonio Giovinazzi","GIO","0:0"
"269","99",2,"Antonio Giovinazzi","GIO","1:20.302"
"270","99",3,"Antonio Giovinazzi","GIO","2:3.175"
"271","99",4,"Antonio Giovinazzi","GIO","2:21.787"
"272","99",5,"Antonio Giovinazzi","GIO","1:20.335"
"273","99",6,"Antonio Giovinazzi","GIO","2:7.61799999999999"
"274","99",7,"Antonio Giovinazzi","GIO","2:22.214"
"275","99",8,"Antonio Giovinazzi","GIO","1:19.774"
"276","99",9,"Antonio Giovinazzi","GIO","1:35.478"
"277","99",10,"Antonio Giovinazzi","GIO","22:24.269"
"278","99",11,"Antonio Giovinazzi","GIO","1:19.175"
"279","99",12,"Antonio Giovinazzi","GIO","2:2.92700000000001"
