"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap"
"1",1,77,"Valtteri Bottas","Finland","Mercedes-AMG Petronas Formula One Team",21,"1:26.166","","",246.124,NA,NA
"2",2,44,"Lewis Hamilton","Great Britain","Mercedes-AMG Petronas Formula One Team",23,"1:26.304","+ 0.138","+ 0.138",245.731,NA,NA
"3",3,33,"Max Verstappen","Netherlands","Aston Martin Red Bull Racing",24,"1:26.893","+ 0.727","+ 0.589",244.065,NA,NA
"4",4,27,"Nico Hülkenberg","Germany","BWT Racing Point F1 Team",25,"1:26.942","+ 0.776","+ 0.049",243.928,NA,NA
"5",5,16,"Charles Leclerc","Monaco","Scuderia Ferrari",20,"1:27.062","+ 0.896","+ 0.120",243.591,NA,NA
"6",6,23,"Alexander Albon","Thailand","Aston Martin Red Bull Racing",22,"1:27.280","+ 1.114","+ 0.218",242.983,NA,NA
"7",7,5,"Sebastian Vettel","Germany","Scuderia Ferrari",21,"1:27.498","+ 1.332","+ 0.218",242.378,NA,NA
"8",8,18,"Lance Stroll","Canada","BWT Racing Point F1 Team",26,"1:27.539","+ 1.373","+ 0.041",242.264,NA,NA
"9",9,26,"Daniil Kvyat","Russia","Scuderia AlphaTauri Honda",27,"1:27.653","+ 1.487","+ 0.114",241.949,NA,NA
"10",10,31,"Esteban Ocon","France","Renault DP World F1 Team",23,"1:27.701","+ 1.535","+ 0.048",241.817,NA,NA
"11",11,10,"Pierre Gasly","France","Scuderia AlphaTauri Honda",23,"1:27.707","+ 1.541","+ 0.006",241.8,NA,NA
"12",12,4,"Lando Norris","Great Britain","McLaren F1 Team",26,"1:27.846","+ 1.680","+ 0.139",241.417,NA,NA
"13",13,8,"Romain Grosjean","France","Haas F1 Team",26,"1:27.908","+ 1.742","+ 0.062",241.247,NA,NA
"14",14,55,"Carlos Sainz","Spain","McLaren F1 Team",28,"1:28.138","+ 1.972","+ 0.230",240.618,NA,NA
"15",15,63,"George Russell","Great Britain","Williams Racing",24,"1:28.170","+ 2.004","+ 0.032",240.53,NA,NA
"16",16,6,"Nicholas Latifi","Canada","Williams Racing",24,"1:28.226","+ 2.060","+ 0.056",240.378,NA,NA
"17",17,3,"Daniel Ricciardo","Australia","Renault DP World F1 Team",23,"1:28.511","+ 2.345","+ 0.285",239.604,NA,NA
"18",18,7,"Kimi Räikkönen","Finland","Alfa Romeo Racing ORLEN",24,"1:28.655","+ 2.489","+ 0.144",239.214,NA,NA
"19",19,88,"Robert Kubica","Poland","Alfa Romeo Racing ORLEN",22,"1:28.960","+ 2.794","+ 0.305",238.394,NA,NA
"20",20,20,"Kevin Magnussen","Denmark","Haas F1 Team",17,"1:29.319","+ 3.153","+ 0.359",237.436,NA,NA
