"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap"
"1",1,33,"Max Verstappen","Netherlands","Aston Martin Red Bull Racing",26,"1:37.378","","",205.327,NA,NA
"2",2,77,"Valtteri Bottas","Finland","Mercedes-AMG Petronas Formula One Team",32,"1:37.412","+ 0.034","+ 0.034",205.256,NA,NA
"3",3,31,"Esteban Ocon","France","Renault DP World F1 Team",34,"1:38.515","+ 1.137","+ 1.103",202.957,NA,NA
"4",4,23,"Alexander Albon","Thailand","Aston Martin Red Bull Racing",25,"1:38.547","+ 1.169","+ 0.032",202.892,NA,NA
"5",5,44,"Lewis Hamilton","Great Britain","Mercedes-AMG Petronas Formula One Team",24,"1:38.744","+ 1.366","+ 0.197",202.487,NA,NA
"6",6,18,"Lance Stroll","Canada","BWT Racing Point F1 Team",25,"1:38.831","+ 1.453","+ 0.087",202.308,NA,NA
"7",7,11,"Sergio Pérez","Mexico","BWT Racing Point F1 Team",25,"1:38.956","+ 1.578","+ 0.125",202.053,NA,NA
"8",8,26,"Daniil Kvyat","Russia","Scuderia AlphaTauri Honda",27,"1:39.150","+ 1.772","+ 0.194",201.658,NA,NA
"9",9,10,"Pierre Gasly","France","Scuderia AlphaTauri Honda",30,"1:39.160","+ 1.782","+ 0.010",201.637,NA,NA
"10",10,7,"Kimi Räikkönen","Finland","Alfa Romeo Racing ORLEN",22,"1:39.199","+ 1.821","+ 0.039",201.558,NA,NA
"11",11,55,"Carlos Sainz","Spain","McLaren F1 Team",27,"1:39.330","+ 1.952","+ 0.131",201.292,NA,NA
"12",12,16,"Charles Leclerc","Monaco","Scuderia Ferrari",25,"1:39.344","+ 1.966","+ 0.014",201.264,NA,NA
"13",13,4,"Lando Norris","Great Britain","McLaren F1 Team",28,"1:39.352","+ 1.974","+ 0.008",201.248,NA,NA
"14",14,5,"Sebastian Vettel","Germany","Scuderia Ferrari",19,"1:39.670","+ 2.292","+ 0.318",200.605,NA,NA
"15",15,88,"Robert Kubica","Poland","Alfa Romeo Racing ORLEN",19,"1:39.905","+ 2.527","+ 0.235",200.134,NA,NA
"16",16,63,"George Russell","Great Britain","Williams Racing",24,"1:40.446","+ 3.068","+ 0.541",199.056,NA,NA
"17",17,6,"Nicholas Latifi","Canada","Williams Racing",27,"1:41.063","+ 3.685","+ 0.617",197.84,NA,NA
"18",18,50,"Mick Schumacher","Germany","Haas F1 Team",23,"1:41.235","+ 3.857","+ 0.172",197.504,NA,NA
"19",19,51,"Pietro Fittipaldi","Brazil","Haas F1 Team",24,"1:44.069","+ 6.691","+ 2.834",192.126,NA,NA
"20",20,3,"Daniel Ricciardo","Australia","Renault DP World F1 Team",3,"","","",NA,NA,NA
