"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap"
"1",1,44,"Lewis Hamilton","Great Britain","Mercedes-AMG Petronas Formula One Team",46,"1:14.726","","",236.495,NA,NA
"2",2,33,"Max Verstappen","Netherlands","Aston Martin Red Bull Racing",39,"1:15.023","+ 0.297","+ 0.297",235.559,NA,NA
"3",3,77,"Valtteri Bottas","Finland","Mercedes-AMG Petronas Formula One Team",47,"1:15.218","+ 0.492","+ 0.195",234.949,NA,NA
"4",4,10,"Pierre Gasly","France","Scuderia AlphaTauri Honda",46,"1:15.633","+ 0.907","+ 0.415",233.659,NA,NA
"5",5,16,"Charles Leclerc","Monaco","Scuderia Ferrari",41,"1:15.688","+ 0.962","+ 0.055",233.49,NA,NA
"6",6,3,"Daniel Ricciardo","Australia","Renault DP World F1 Team",32,"1:15.839","+ 1.113","+ 0.151",233.025,NA,NA
"7",7,31,"Esteban Ocon","France","Renault DP World F1 Team",44,"1:15.945","+ 1.219","+ 0.106",232.699,NA,NA
"8",8,26,"Daniil Kvyat","Russia","Scuderia AlphaTauri Honda",47,"1:15.966","+ 1.240","+ 0.021",232.635,NA,NA
"9",9,23,"Alexander Albon","Thailand","Aston Martin Red Bull Racing",41,"1:16.061","+ 1.335","+ 0.095",232.345,NA,NA
"10",10,18,"Lance Stroll","Canada","BWT Racing Point F1 Team",42,"1:16.082","+ 1.356","+ 0.021",232.28,NA,NA
"11",11,11,"Sergio Pérez","Mexico","BWT Racing Point F1 Team",42,"1:16.109","+ 1.383","+ 0.027",232.198,NA,NA
"12",12,5,"Sebastian Vettel","Germany","Scuderia Ferrari",40,"1:16.167","+ 1.441","+ 0.058",232.021,NA,NA
"13",13,8,"Romain Grosjean","France","Haas F1 Team",42,"1:16.550","+ 1.824","+ 0.383",230.86,NA,NA
"14",14,55,"Carlos Sainz","Spain","McLaren F1 Team",42,"1:16.560","+ 1.834","+ 0.010",230.83,NA,NA
"15",15,99,"Antonio Giovinazzi","Italy","Alfa Romeo Racing ORLEN",33,"1:16.564","+ 1.838","+ 0.004",230.818,NA,NA
"16",16,4,"Lando Norris","Great Britain","McLaren F1 Team",45,"1:16.671","+ 1.945","+ 0.107",230.496,NA,NA
"17",17,7,"Kimi Räikkönen","Finland","Alfa Romeo Racing ORLEN",43,"1:16.684","+ 1.958","+ 0.013",230.457,NA,NA
"18",18,63,"George Russell","Great Britain","Williams Racing",43,"1:16.780","+ 2.054","+ 0.096",230.169,NA,NA
"19",19,20,"Kevin Magnussen","Denmark","Haas F1 Team",45,"1:17.060","+ 2.334","+ 0.280",229.332,NA,NA
"20",20,6,"Nicholas Latifi","Canada","Williams Racing",29,"1:17.779","+ 3.053","+ 0.719",227.213,NA,NA
