"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap"
"1",1,44,"Lewis Hamilton","Great Britain","Mercedes-AMG Petronas Formula One Team",37,"1:16.003","","",207.512,NA,NA
"2",2,77,"Valtteri Bottas","Finland","Mercedes-AMG Petronas Formula One Team",37,"1:16.089","+ 0.086","+ 0.086",207.278,NA,NA
"3",3,11,"Sergio Pérez","Mexico","BWT Racing Point F1 Team",20,"1:16.530","+ 0.527","+ 0.441",206.083,NA,NA
"4",4,18,"Lance Stroll","Canada","BWT Racing Point F1 Team",35,"1:16.967","+ 0.964","+ 0.437",204.913,NA,NA
"5",5,3,"Daniel Ricciardo","Australia","Renault DP World F1 Team",28,"1:17.200","+ 1.197","+ 0.233",204.295,NA,NA
"6",6,5,"Sebastian Vettel","Germany","Scuderia Ferrari",26,"1:17.238","+ 1.235","+ 0.038",204.194,NA,NA
"7",7,16,"Charles Leclerc","Monaco","Scuderia Ferrari",29,"1:17.404","+ 1.401","+ 0.166",203.756,NA,NA
"8",8,33,"Max Verstappen","Netherlands","Aston Martin Red Bull Racing",28,"1:17.435","+ 1.432","+ 0.031",203.675,NA,NA
"9",9,4,"Lando Norris","Great Britain","McLaren F1 Team",26,"1:17.523","+ 1.520","+ 0.088",203.444,NA,NA
"10",10,31,"Esteban Ocon","France","Renault DP World F1 Team",35,"1:17.615","+ 1.612","+ 0.092",203.202,NA,NA
"11",11,55,"Carlos Sainz","Spain","McLaren F1 Team",32,"1:17.675","+ 1.672","+ 0.060",203.046,NA,NA
"12",12,20,"Kevin Magnussen","Denmark","Haas F1 Team",35,"1:17.713","+ 1.710","+ 0.038",202.946,NA,NA
"13",13,23,"Alexander Albon","Thailand","Aston Martin Red Bull Racing",28,"1:17.727","+ 1.724","+ 0.014",202.91,NA,NA
"14",14,8,"Romain Grosjean","France","Haas F1 Team",35,"1:17.890","+ 1.887","+ 0.163",202.485,NA,NA
"15",15,6,"Nicholas Latifi","Canada","Williams Racing",31,"1:17.969","+ 1.966","+ 0.079",202.28,NA,NA
"16",16,26,"Daniil Kvyat","Russia","Scuderia AlphaTauri Honda",35,"1:18.292","+ 2.289","+ 0.323",201.445,NA,NA
"17",17,99,"Antonio Giovinazzi","Italy","Alfa Romeo Racing ORLEN",30,"1:18.425","+ 2.422","+ 0.133",201.104,NA,NA
"18",18,63,"George Russell","Great Britain","Williams Racing",29,"1:18.574","+ 2.571","+ 0.149",200.722,NA,NA
"19",19,88,"Robert Kubica","Poland","Alfa Romeo Racing ORLEN",26,"1:19.150","+ 3.147","+ 0.576",199.262,NA,NA
