"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap"
"1",1,33,"Max Verstappen","Netherlands","Aston Martin Red Bull Racing",29,"1:35.077","","",202.118,NA,NA
"2",2,23,"Alexander Albon","Thailand","Aston Martin Red Bull Racing",27,"1:35.318","+ 0.241","+ 0.241",201.607,NA,NA
"3",3,16,"Charles Leclerc","Monaco","Scuderia Ferrari",26,"1:35.507","+ 0.430","+ 0.189",201.208,NA,NA
"4",4,10,"Pierre Gasly","France","Scuderia AlphaTauri Honda",26,"1:35.543","+ 0.466","+ 0.036",201.132,NA,NA
"5",5,5,"Sebastian Vettel","Germany","Scuderia Ferrari",29,"1:35.620","+ 0.543","+ 0.077",200.97,NA,NA
"6",6,26,"Daniil Kvyat","Russia","Scuderia AlphaTauri Honda",27,"1:36.738","+ 1.661","+ 1.118",198.647,NA,NA
"7",7,4,"Lando Norris","Great Britain","McLaren F1 Team",21,"1:37.216","+ 2.139","+ 0.478",197.671,NA,NA
"8",8,99,"Antonio Giovinazzi","Italy","Alfa Romeo Racing ORLEN",21,"1:37.503","+ 2.426","+ 0.287",197.089,NA,NA
"9",9,77,"Valtteri Bottas","Finland","Mercedes-AMG Petronas Formula One Team",23,"1:37.629","+ 2.552","+ 0.126",196.834,NA,NA
"10",10,31,"Esteban Ocon","France","Renault DP World F1 Team",23,"1:38.428","+ 3.351","+ 0.799",195.237,NA,NA
"11",11,6,"Nicholas Latifi","Canada","Williams Racing",18,"1:38.508","+ 3.431","+ 0.080",195.078,NA,NA
"12",12,11,"Sergio Pérez","Mexico","BWT Racing Point F1 Team",22,"1:38.612","+ 3.535","+ 0.104",194.872,NA,NA
"13",13,18,"Lance Stroll","Canada","BWT Racing Point F1 Team",21,"1:39.484","+ 4.407","+ 0.872",193.164,NA,NA
"14",14,8,"Romain Grosjean","France","Haas F1 Team",25,"1:40.025","+ 4.948","+ 0.541",192.119,NA,NA
"15",15,44,"Lewis Hamilton","Great Britain","Mercedes-AMG Petronas Formula One Team",12,"1:40.225","+ 5.148","+ 0.200",191.736,NA,NA
"16",16,7,"Kimi Räikkönen","Finland","Alfa Romeo Racing ORLEN",23,"1:41.035","+ 5.958","+ 0.810",190.199,NA,NA
"17",17,20,"Kevin Magnussen","Denmark","Haas F1 Team",21,"1:41.854","+ 6.777","+ 0.819",188.67,NA,NA
"18",18,3,"Daniel Ricciardo","Australia","Renault DP World F1 Team",20,"1:45.156","+ 10.079","+ 3.302",182.745,NA,NA
"19",19,55,"Carlos Sainz","Spain","McLaren F1 Team",12,"1:46.462","+ 11.385","+ 1.306",180.503,NA,NA
"20",20,63,"George Russell","Great Britain","Williams Racing",17,"1:49.256","+ 14.179","+ 2.794",175.887,NA,NA
