"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap"
"1",1,77,"Valtteri Bottas","Finland","Mercedes-AMG Petronas Formula One Team",33,"1:17.879","","",242.453,NA,NA
"2",2,33,"Max Verstappen","Netherlands","Aston Martin Red Bull Racing",32,"1:17.927","+ 0.048","+ 0.048",242.303,NA,NA
"3",3,16,"Charles Leclerc","Monaco","Scuderia Ferrari",27,"1:18.186","+ 0.307","+ 0.259",241.501,NA,NA
"4",4,44,"Lewis Hamilton","Great Britain","Mercedes-AMG Petronas Formula One Team",28,"1:18.409","+ 0.530","+ 0.223",240.814,NA,NA
"5",5,10,"Pierre Gasly","France","Scuderia AlphaTauri Honda",30,"1:18.676","+ 0.797","+ 0.267",239.996,NA,NA
"6",6,31,"Esteban Ocon","France","Renault DP World F1 Team",28,"1:18.805","+ 0.926","+ 0.129",239.604,NA,NA
"7",7,26,"Daniil Kvyat","Russia","Scuderia AlphaTauri Honda",31,"1:18.839","+ 0.960","+ 0.034",239.5,NA,NA
"8",8,4,"Lando Norris","Great Britain","McLaren F1 Team",30,"1:18.981","+ 1.102","+ 0.142",239.07,NA,NA
"9",9,23,"Alexander Albon","Thailand","Aston Martin Red Bull Racing",34,"1:19.068","+ 1.189","+ 0.087",238.807,NA,NA
"10",10,3,"Daniel Ricciardo","Australia","Renault DP World F1 Team",25,"1:19.140","+ 1.261","+ 0.072",238.589,NA,NA
"11",11,7,"Kimi Räikkönen","Finland","Alfa Romeo Racing ORLEN",21,"1:19.219","+ 1.340","+ 0.079",238.351,NA,NA
"12",12,8,"Romain Grosjean","France","Haas F1 Team",25,"1:19.224","+ 1.345","+ 0.005",238.336,NA,NA
"13",13,5,"Sebastian Vettel","Germany","Scuderia Ferrari",27,"1:19.267","+ 1.388","+ 0.043",238.207,NA,NA
"14",14,99,"Antonio Giovinazzi","Italy","Alfa Romeo Racing ORLEN",28,"1:19.322","+ 1.443","+ 0.055",238.042,NA,NA
"15",15,55,"Carlos Sainz","Spain","McLaren F1 Team",33,"1:19.457","+ 1.578","+ 0.135",237.637,NA,NA
"16",16,63,"George Russell","Great Britain","Williams Racing",29,"1:19.478","+ 1.599","+ 0.021",237.575,NA,NA
"17",17,20,"Kevin Magnussen","Denmark","Haas F1 Team",25,"1:19.551","+ 1.672","+ 0.073",237.357,NA,NA
"18",18,18,"Lance Stroll","Canada","BWT Racing Point F1 Team",23,"1:19.836","+ 1.957","+ 0.285",236.509,NA,NA
"19",19,11,"Sergio Pérez","Mexico","BWT Racing Point F1 Team",29,"1:19.840","+ 1.961","+ 0.004",236.497,NA,NA
"20",20,6,"Nicholas Latifi","Canada","Williams Racing",32,"1:20.034","+ 2.155","+ 0.194",235.924,NA,NA
