"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap"
"1",1,44,"Lewis Hamilton","Great Britain","Mercedes-AMG Petronas Formula One Team",32,"1:20.192","","",260.06,NA,NA
"2",2,77,"Valtteri Bottas","Finland","Mercedes-AMG Petronas Formula One Team",29,"1:20.454","+ 0.262","+ 0.262",259.213,NA,NA
"3",3,4,"Lando Norris","Great Britain","McLaren F1 Team",19,"1:21.089","+ 0.897","+ 0.635",257.184,NA,NA
"4",4,10,"Pierre Gasly","France","Scuderia AlphaTauri Honda",25,"1:21.121","+ 0.929","+ 0.032",257.082,NA,NA
"5",5,33,"Max Verstappen","Netherlands","Aston Martin Red Bull Racing",30,"1:21.228","+ 1.036","+ 0.107",256.743,NA,NA
"6",6,55,"Carlos Sainz","Spain","McLaren F1 Team",30,"1:21.313","+ 1.121","+ 0.085",256.475,NA,NA
"7",7,26,"Daniil Kvyat","Russia","Scuderia AlphaTauri Honda",35,"1:21.376","+ 1.184","+ 0.063",256.277,NA,NA
"8",8,18,"Lance Stroll","Canada","BWT Racing Point F1 Team",32,"1:21.389","+ 1.197","+ 0.013",256.236,NA,NA
"9",9,16,"Charles Leclerc","Monaco","Scuderia Ferrari",32,"1:21.503","+ 1.311","+ 0.114",255.877,NA,NA
"10",10,11,"Sergio Pérez","Mexico","BWT Racing Point F1 Team",31,"1:21.594","+ 1.402","+ 0.091",255.592,NA,NA
"11",11,31,"Esteban Ocon","France","Renault DP World F1 Team",32,"1:21.697","+ 1.505","+ 0.103",255.27,NA,NA
"12",12,5,"Sebastian Vettel","Germany","Scuderia Ferrari",28,"1:21.733","+ 1.541","+ 0.036",255.157,NA,NA
"13",13,99,"Antonio Giovinazzi","Italy","Alfa Romeo Racing ORLEN",32,"1:21.786","+ 1.594","+ 0.053",254.992,NA,NA
"14",14,23,"Alexander Albon","Thailand","Aston Martin Red Bull Racing",36,"1:21.883","+ 1.691","+ 0.097",254.69,NA,NA
"15",15,3,"Daniel Ricciardo","Australia","Renault DP World F1 Team",29,"1:22.080","+ 1.888","+ 0.197",254.078,NA,NA
"16",16,20,"Kevin Magnussen","Denmark","Haas F1 Team",32,"1:22.088","+ 1.896","+ 0.008",254.054,NA,NA
"17",17,7,"Kimi Räikkönen","Finland","Alfa Romeo Racing ORLEN",34,"1:22.147","+ 1.955","+ 0.059",253.871,NA,NA
"18",18,8,"Romain Grosjean","France","Haas F1 Team",34,"1:22.254","+ 2.062","+ 0.107",253.541,NA,NA
"19",19,6,"Nicholas Latifi","Canada","Williams Racing",32,"1:22.825","+ 2.633","+ 0.571",251.793,NA,NA
"20",20,63,"George Russell","Great Britain","Williams Racing",34,"1:22.927","+ 2.735","+ 0.102",251.483,NA,NA
