"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap"
"1",1,77,"Valtteri Bottas","Finland","Mercedes-AMG Petronas Formula One Team",27,"1:16.654","","",218.524,NA,NA
"2",2,44,"Lewis Hamilton","Great Britain","Mercedes-AMG Petronas Formula One Team",23,"1:16.680","+ 0.026","+ 0.026",218.45,NA,NA
"3",3,33,"Max Verstappen","Netherlands","Aston Martin Red Bull Racing",21,"1:16.812","+ 0.158","+ 0.132",218.075,NA,NA
"4",4,10,"Pierre Gasly","France","Scuderia AlphaTauri Honda",24,"1:16.930","+ 0.276","+ 0.118",217.74,NA,NA
"5",5,23,"Alexander Albon","Thailand","Aston Martin Red Bull Racing",25,"1:17.117","+ 0.463","+ 0.187",217.212,NA,NA
"6",6,16,"Charles Leclerc","Monaco","Scuderia Ferrari",20,"1:17.229","+ 0.575","+ 0.112",216.897,NA,NA
"7",7,55,"Carlos Sainz","Spain","McLaren F1 Team",24,"1:17.238","+ 0.584","+ 0.009",216.872,NA,NA
"8",8,11,"Sergio Pérez","Mexico","BWT Racing Point F1 Team",17,"1:17.297","+ 0.643","+ 0.059",216.706,NA,NA
"9",9,4,"Lando Norris","Great Britain","McLaren F1 Team",22,"1:17.478","+ 0.824","+ 0.181",216.2,NA,NA
"10",10,31,"Esteban Ocon","France","Renault DP World F1 Team",20,"1:17.666","+ 1.012","+ 0.188",215.677,NA,NA
"11",11,5,"Sebastian Vettel","Germany","Scuderia Ferrari",24,"1:17.685","+ 1.031","+ 0.019",215.624,NA,NA
"12",12,26,"Daniil Kvyat","Russia","Scuderia AlphaTauri Honda",29,"1:17.720","+ 1.066","+ 0.035",215.527,NA,NA
"13",13,7,"Kimi Räikkönen","Finland","Alfa Romeo Racing ORLEN",20,"1:17.922","+ 1.268","+ 0.202",214.968,NA,NA
"14",14,3,"Daniel Ricciardo","Australia","Renault DP World F1 Team",13,"1:17.935","+ 1.281","+ 0.013",214.932,NA,NA
"15",15,63,"George Russell","Great Britain","Williams Racing",20,"1:18.032","+ 1.378","+ 0.097",214.665,NA,NA
"16",16,18,"Lance Stroll","Canada","BWT Racing Point F1 Team",17,"1:18.100","+ 1.446","+ 0.068",214.478,NA,NA
"17",17,99,"Antonio Giovinazzi","Italy","Alfa Romeo Racing ORLEN",20,"1:18.201","+ 1.547","+ 0.101",214.201,NA,NA
"18",18,20,"Kevin Magnussen","Denmark","Haas F1 Team",13,"1:18.287","+ 1.633","+ 0.086",213.966,NA,NA
"19",19,6,"Nicholas Latifi","Canada","Williams Racing",20,"1:18.397","+ 1.743","+ 0.110",213.666,NA,NA
"20",20,8,"Romain Grosjean","France","Haas F1 Team",19,"1:18.454","+ 1.800","+ 0.057",213.511,NA,NA
