"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap"
"1",1,33,"Max Verstappen","Netherlands","Aston Martin Red Bull Racing",23,54.064,"","",235.92,NA,NA
"2",2,77,"Valtteri Bottas","Finland","Mercedes-AMG Petronas Formula One Team",20,54.27,"+ 0.206","+ 0.206",235.024,NA,NA
"3",3,10,"Pierre Gasly","France","Scuderia AlphaTauri Honda",24,54.427,"+ 0.363","+ 0.157",234.346,NA,NA
"4",4,31,"Esteban Ocon","France","Renault DP World F1 Team",21,54.453,"+ 0.389","+ 0.026",234.235,NA,NA
"5",5,4,"Lando Norris","Great Britain","McLaren F1 Team",15,54.606,"+ 0.542","+ 0.153",233.578,NA,NA
"6",6,23,"Alexander Albon","Thailand","Aston Martin Red Bull Racing",22,54.629,"+ 0.565","+ 0.023",233.48,NA,NA
"7",7,63,"George Russell","Great Britain","Mercedes-AMG Petronas Formula One Team",20,54.664,"+ 0.600","+ 0.035",233.33,NA,NA
"8",8,11,"Sergio Pérez","Mexico","BWT Racing Point F1 Team",20,54.678,"+ 0.614","+ 0.014",233.271,NA,NA
"9",9,18,"Lance Stroll","Canada","BWT Racing Point F1 Team",18,54.693,"+ 0.629","+ 0.015",233.207,NA,NA
"10",10,55,"Carlos Sainz","Spain","McLaren F1 Team",16,54.72,"+ 0.656","+ 0.027",233.092,NA,NA
"11",11,99,"Antonio Giovinazzi","Italy","Alfa Romeo Racing ORLEN",20,54.845,"+ 0.781","+ 0.125",232.56,NA,NA
"12",12,26,"Daniil Kvyat","Russia","Scuderia AlphaTauri Honda",23,54.85,"+ 0.786","+ 0.005",232.539,NA,NA
"13",13,16,"Charles Leclerc","Monaco","Scuderia Ferrari",21,54.854,"+ 0.790","+ 0.004",232.522,NA,NA
"14",14,3,"Daniel Ricciardo","Australia","Renault DP World F1 Team",15,54.857,"+ 0.793","+ 0.003",232.509,NA,NA
"15",15,5,"Sebastian Vettel","Germany","Scuderia Ferrari",17,54.858,"+ 0.794","+ 0.001",232.505,NA,NA
"16",16,7,"Kimi Räikkönen","Finland","Alfa Romeo Racing ORLEN",20,55.171,"+ 1.107","+ 0.313",231.186,NA,NA
"17",17,20,"Kevin Magnussen","Denmark","Haas F1 Team",19,55.347,"+ 1.283","+ 0.176",230.451,NA,NA
"18",18,6,"Nicholas Latifi","Canada","Williams Racing",21,55.493,"+ 1.429","+ 0.146",229.845,NA,NA
"19",19,51,"Pietro Fittipaldi","Brazil","Haas F1 Team",21,55.666,"+ 1.602","+ 0.173",229.13,NA,NA
"20",20,89,"Jack Aitken","Great Britain","Williams Racing",23,55.67,"+ 1.606","+ 0.004",229.114,NA,NA
