"","lap","cars","Position"
"1",0,"77",1
"2",0,"44",2
"3",0,"27",3
"4",0,"33",4
"5",0,"3",5
"6",0,"18",6
"7",0,"10",7
"8",0,"16",8
"9",0,"23",9
"10",0,"4",10
"11",0,"5",11
"12",0,"55",12
"13",0,"8",13
"14",0,"31",14
"15",0,"63",15
"16",0,"26",16
"17",0,"20",17
"18",0,"6",18
"19",0,"99",19
"20",0,"7",20
"21",1,"77",1
"22",1,"44",2
"23",1,"33",3
"24",1,"27",4
"25",1,"18",5
"26",1,"3",6
"27",1,"10",7
"28",1,"4",8
"29",1,"23",9
"30",1,"16",10
"31",1,"55",11
"32",1,"31",12
"33",1,"20",13
"34",1,"26",14
"35",1,"99",15
"36",1,"8",16
"37",1,"63",17
"38",1,"6",18
"39",1,"7",19
"40",1,"5",20
"41",2,"77",1
"42",2,"44",2
"43",2,"33",3
"44",2,"27",4
"45",2,"18",5
"46",2,"3",6
"47",2,"10",7
"48",2,"4",8
"49",2,"23",9
"50",2,"16",10
"51",2,"55",11
"52",2,"31",12
"53",2,"20",13
"54",2,"26",14
"55",2,"99",15
"56",2,"8",16
"57",2,"63",17
"58",2,"7",18
"59",2,"5",19
"60",2,"6",20
"61",3,"77",1
"62",3,"44",2
"63",3,"33",3
"64",3,"27",4
"65",3,"18",5
"66",3,"3",6
"67",3,"10",7
"68",3,"4",8
"69",3,"23",9
"70",3,"16",10
"71",3,"55",11
"72",3,"31",12
"73",3,"26",13
"74",3,"20",14
"75",3,"99",15
"76",3,"8",16
"77",3,"63",17
"78",3,"7",18
"79",3,"5",19
"80",3,"6",20
"81",4,"77",1
"82",4,"44",2
"83",4,"33",3
"84",4,"27",4
"85",4,"18",5
"86",4,"3",6
"87",4,"10",7
"88",4,"4",8
"89",4,"23",9
"90",4,"16",10
"91",4,"55",11
"92",4,"31",12
"93",4,"26",13
"94",4,"20",14
"95",4,"99",15
"96",4,"8",16
"97",4,"63",17
"98",4,"5",18
"99",4,"7",19
"100",4,"6",20
"101",5,"77",1
"102",5,"44",2
"103",5,"33",3
"104",5,"27",4
"105",5,"18",5
"106",5,"3",6
"107",5,"10",7
"108",5,"4",8
"109",5,"23",9
"110",5,"16",10
"111",5,"55",11
"112",5,"31",12
"113",5,"26",13
"114",5,"20",14
"115",5,"99",15
"116",5,"8",16
"117",5,"63",17
"118",5,"5",18
"119",5,"7",19
"120",5,"6",20
"121",6,"77",1
"122",6,"44",2
"123",6,"33",3
"124",6,"27",4
"125",6,"18",5
"126",6,"3",6
"127",6,"10",7
"128",6,"4",8
"129",6,"23",9
"130",6,"16",10
"131",6,"55",11
"132",6,"31",12
"133",6,"26",13
"134",6,"20",14
"135",6,"99",15
"136",6,"8",16
"137",6,"63",17
"138",6,"5",18
"139",6,"7",19
"140",6,"6",20
"141",7,"77",1
"142",7,"44",2
"143",7,"33",3
"144",7,"27",4
"145",7,"18",5
"146",7,"3",6
"147",7,"10",7
"148",7,"4",8
"149",7,"16",9
"150",7,"55",10
"151",7,"31",11
"152",7,"26",12
"153",7,"20",13
"154",7,"99",14
"155",7,"8",15
"156",7,"63",16
"157",7,"5",17
"158",7,"7",18
"159",7,"6",19
"160",7,"23",20
"161",8,"77",1
"162",8,"44",2
"163",8,"33",3
"164",8,"27",4
"165",8,"18",5
"166",8,"3",6
"167",8,"4",7
"168",8,"16",8
"169",8,"55",9
"170",8,"31",10
"171",8,"26",11
"172",8,"20",12
"173",8,"8",13
"174",8,"63",14
"175",8,"5",15
"176",8,"7",16
"177",8,"6",17
"178",8,"10",18
"179",8,"23",19
"180",8,"99",20
"181",9,"77",1
"182",9,"44",2
"183",9,"33",3
"184",9,"27",4
"185",9,"18",5
"186",9,"3",6
"187",9,"4",7
"188",9,"16",8
"189",9,"55",9
"190",9,"31",10
"191",9,"26",11
"192",9,"20",12
"193",9,"8",13
"194",9,"5",14
"195",9,"6",15
"196",9,"7",16
"197",9,"10",17
"198",9,"23",18
"199",9,"99",19
"200",9,"63",20
"201",10,"77",1
"202",10,"44",2
"203",10,"33",3
"204",10,"27",4
"205",10,"18",5
"206",10,"3",6
"207",10,"4",7
"208",10,"16",8
"209",10,"55",9
"210",10,"31",10
"211",10,"26",11
"212",10,"8",12
"213",10,"5",13
"214",10,"10",14
"215",10,"7",15
"216",10,"23",16
"217",10,"99",17
"218",10,"63",18
"219",10,"20",19
"220",10,"6",20
"221",11,"77",1
"222",11,"44",2
"223",11,"33",3
"224",11,"27",4
"225",11,"18",5
"226",11,"3",6
"227",11,"4",7
"228",11,"16",8
"229",11,"55",9
"230",11,"31",10
"231",11,"26",11
"232",11,"8",12
"233",11,"5",13
"234",11,"10",14
"235",11,"7",15
"236",11,"23",16
"237",11,"99",17
"238",11,"63",18
"239",11,"20",19
"240",11,"6",20
"241",12,"77",1
"242",12,"44",2
"243",12,"33",3
"244",12,"27",4
"245",12,"18",5
"246",12,"3",6
"247",12,"4",7
"248",12,"16",8
"249",12,"55",9
"250",12,"31",10
"251",12,"26",11
"252",12,"8",12
"253",12,"5",13
"254",12,"10",14
"255",12,"7",15
"256",12,"23",16
"257",12,"99",17
"258",12,"63",18
"259",12,"20",19
"260",12,"6",20
"261",13,"77",1
"262",13,"44",2
"263",13,"33",3
"264",13,"27",4
"265",13,"18",5
"266",13,"3",6
"267",13,"16",7
"268",13,"55",8
"269",13,"31",9
"270",13,"26",10
"271",13,"8",11
"272",13,"5",12
"273",13,"4",13
"274",13,"10",14
"275",13,"23",15
"276",13,"7",16
"277",13,"99",17
"278",13,"63",18
"279",13,"20",19
"280",13,"6",20
"281",14,"44",1
"282",14,"33",2
"283",14,"27",3
"284",14,"18",4
"285",14,"3",5
"286",14,"77",6
"287",14,"16",7
"288",14,"55",8
"289",14,"31",9
"290",14,"26",10
"291",14,"8",11
