"","lap","cars","Position"
"1",0,"33",1
"2",0,"77",2
"3",0,"44",3
"4",0,"4",4
"5",0,"23",5
"6",0,"55",6
"7",0,"26",7
"8",0,"18",8
"9",0,"10",9
"10",0,"31",10
"11",0,"3",11
"12",0,"16",12
"13",0,"5",13
"14",0,"99",14
"15",0,"7",15
"16",0,"63",16
"17",0,"51",17
"18",0,"6",18
"19",0,"11",19
"20",0,"20",20
"21",1,"33",1
"22",1,"77",2
"23",1,"44",3
"24",1,"4",4
"25",1,"23",5
"26",1,"55",6
"27",1,"26",7
"28",1,"18",8
"29",1,"31",9
"30",1,"10",10
"31",1,"3",11
"32",1,"5",12
"33",1,"16",13
"34",1,"7",14
"35",1,"99",15
"36",1,"63",16
"37",1,"20",17
"38",1,"51",18
"39",1,"6",19
"40",1,"11",20
"41",2,"33",1
"42",2,"77",2
"43",2,"44",3
"44",2,"4",4
"45",2,"23",5
"46",2,"55",6
"47",2,"26",7
"48",2,"18",8
"49",2,"10",9
"50",2,"31",10
"51",2,"3",11
"52",2,"5",12
"53",2,"16",13
"54",2,"7",14
"55",2,"99",15
"56",2,"63",16
"57",2,"20",17
"58",2,"51",18
"59",2,"11",19
"60",2,"6",20
"61",3,"33",1
"62",3,"77",2
"63",3,"44",3
"64",3,"4",4
"65",3,"23",5
"66",3,"55",6
"67",3,"26",7
"68",3,"18",8
"69",3,"10",9
"70",3,"31",10
"71",3,"3",11
"72",3,"5",12
"73",3,"16",13
"74",3,"7",14
"75",3,"99",15
"76",3,"63",16
"77",3,"20",17
"78",3,"11",18
"79",3,"51",19
"80",3,"6",20
"81",4,"33",1
"82",4,"77",2
"83",4,"44",3
"84",4,"4",4
"85",4,"23",5
"86",4,"55",6
"87",4,"26",7
"88",4,"18",8
"89",4,"10",9
"90",4,"31",10
"91",4,"3",11
"92",4,"5",12
"93",4,"16",13
"94",4,"7",14
"95",4,"99",15
"96",4,"63",16
"97",4,"11",17
"98",4,"20",18
"99",4,"51",19
"100",4,"6",20
"101",5,"33",1
"102",5,"77",2
"103",5,"44",3
"104",5,"4",4
"105",5,"23",5
"106",5,"55",6
"107",5,"26",7
"108",5,"18",8
"109",5,"10",9
"110",5,"31",10
"111",5,"3",11
"112",5,"5",12
"113",5,"16",13
"114",5,"7",14
"115",5,"99",15
"116",5,"11",16
"117",5,"63",17
"118",5,"20",18
"119",5,"51",19
"120",5,"6",20
"121",6,"33",1
"122",6,"77",2
"123",6,"44",3
"124",6,"23",4
"125",6,"4",5
"126",6,"55",6
"127",6,"26",7
"128",6,"18",8
"129",6,"10",9
"130",6,"3",10
"131",6,"31",11
"132",6,"5",12
"133",6,"16",13
"134",6,"7",14
"135",6,"11",15
"136",6,"99",16
"137",6,"63",17
"138",6,"20",18
"139",6,"51",19
"140",6,"6",20
"141",7,"33",1
"142",7,"77",2
