"","lap","cars","Position"
"1",0,"77",1
"2",0,"33",2
"3",0,"4",3
"4",0,"23",4
"5",0,"44",5
"6",0,"11",6
"7",0,"16",7
"8",0,"55",8
"9",0,"18",9
"10",0,"3",10
"11",0,"5",11
"12",0,"10",12
"13",0,"26",13
"14",0,"31",14
"15",0,"8",15
"16",0,"20",16
"17",0,"63",17
"18",0,"99",18
"19",0,"7",19
"20",0,"6",20
"21",1,"77",1
"22",1,"33",2
"23",1,"4",3
"24",1,"23",4
"25",1,"44",5
"26",1,"11",6
"27",1,"16",7
"28",1,"55",8
"29",1,"18",9
"30",1,"5",10
"31",1,"3",11
"32",1,"10",12
"33",1,"20",13
"34",1,"99",14
"35",1,"26",15
"36",1,"31",16
"37",1,"7",17
"38",1,"8",18
"39",1,"63",19
"40",1,"6",20
"41",2,"77",1
"42",2,"33",2
"43",2,"4",3
"44",2,"23",4
"45",2,"44",5
"46",2,"11",6
"47",2,"16",7
"48",2,"55",8
"49",2,"18",9
"50",2,"5",10
"51",2,"3",11
"52",2,"10",12
"53",2,"20",13
"54",2,"99",14
"55",2,"26",15
"56",2,"31",16
"57",2,"7",17
"58",2,"8",18
"59",2,"63",19
"60",2,"6",20
"61",3,"77",1
"62",3,"33",2
"63",3,"23",3
"64",3,"4",4
"65",3,"44",5
"66",3,"11",6
"67",3,"16",7
"68",3,"55",8
"69",3,"18",9
"70",3,"5",10
"71",3,"3",11
"72",3,"10",12
"73",3,"20",13
"74",3,"99",14
"75",3,"26",15
"76",3,"31",16
"77",3,"7",17
"78",3,"8",18
"79",3,"63",19
"80",3,"6",20
"81",4,"77",1
"82",4,"33",2
"83",4,"23",3
"84",4,"44",4
"85",4,"4",5
"86",4,"11",6
"87",4,"16",7
"88",4,"55",8
"89",4,"18",9
"90",4,"5",10
"91",4,"3",11
"92",4,"10",12
"93",4,"20",13
"94",4,"99",14
"95",4,"26",15
"96",4,"31",16
"97",4,"7",17
"98",4,"8",18
"99",4,"63",19
"100",4,"6",20
"101",5,"77",1
"102",5,"33",2
"103",5,"23",3
"104",5,"44",4
"105",5,"4",5
"106",5,"11",6
"107",5,"16",7
"108",5,"55",8
"109",5,"18",9
"110",5,"5",10
"111",5,"3",11
"112",5,"10",12
"113",5,"20",13
"114",5,"99",14
"115",5,"26",15
"116",5,"31",16
"117",5,"7",17
"118",5,"8",18
"119",5,"63",19
"120",5,"6",20
"121",6,"77",1
"122",6,"33",2
"123",6,"23",3
"124",6,"44",4
"125",6,"4",5
"126",6,"11",6
"127",6,"16",7
"128",6,"55",8
"129",6,"18",9
"130",6,"5",10
"131",6,"3",11
"132",6,"10",12
"133",6,"20",13
"134",6,"26",14
"135",6,"99",15
"136",6,"31",16
"137",6,"7",17
"138",6,"8",18
"139",6,"63",19
"140",6,"6",20
"141",7,"77",1
"142",7,"33",2
"143",7,"23",3
"144",7,"44",4
"145",7,"4",5
"146",7,"11",6
"147",7,"16",7
"148",7,"55",8
"149",7,"18",9
"150",7,"5",10
"151",7,"3",11
"152",7,"10",12
"153",7,"26",13
"154",7,"20",14
"155",7,"99",15
"156",7,"31",16
"157",7,"7",17
"158",7,"8",18
"159",7,"63",19
"160",7,"6",20
"161",8,"77",1
"162",8,"33",2
"163",8,"23",3
"164",8,"44",4
"165",8,"4",5
"166",8,"11",6
"167",8,"16",7
"168",8,"55",8
"169",8,"18",9
"170",8,"5",10
"171",8,"3",11
"172",8,"10",12
"173",8,"26",13
"174",8,"20",14
"175",8,"99",15
"176",8,"31",16
"177",8,"7",17
"178",8,"8",18
"179",8,"63",19
"180",8,"6",20
"181",9,"77",1
"182",9,"33",2
"183",15,"77",1
"184",15,"44",2
"185",15,"23",3
"186",15,"4",4
"187",15,"11",5
"188",15,"16",6
"189",15,"55",7
"190",15,"18",8
"191",15,"5",9
"192",15,"3",10
"193",15,"10",11
"194",15,"26",12
"195",15,"20",13
"196",15,"31",14
"197",15,"99",15
"198",15,"7",16
"199",15,"8",17
"200",15,"63",18
"201",15,"6",19
"202",16,"77",1
"203",16,"44",2
"204",16,"23",3
"205",16,"4",4
"206",16,"11",5
"207",16,"16",6
"208",16,"55",7
"209",16,"18",8
"210",16,"5",9
"211",16,"3",10
"212",16,"10",11
"213",16,"26",12
"214",16,"20",13
"215",16,"31",14
"216",16,"99",15
"217",16,"7",16
"218",16,"8",17
"219",16,"63",18
"220",16,"6",19
"221",17,"77",1
"222",17,"44",2
"223",17,"23",3
"224",17,"4",4
"225",17,"11",5
"226",17,"16",6
"227",17,"55",7
"228",17,"18",8
"229",17,"5",9
"230",17,"10",10
"231",17,"26",11
"232",17,"20",12
"233",17,"31",13
"234",17,"99",14
"235",17,"7",15
"236",17,"8",16
"237",17,"63",17
"238",17,"6",18
"239",17,"3",19
"240",18,"77",1
"241",18,"44",2
"242",18,"23",3
"243",18,"4",4
"244",18,"11",5
"245",18,"16",6
"246",18,"55",7
"247",18,"5",8
"248",18,"18",9
"249",18,"10",10
"250",18,"26",11
"251",18,"20",12
"252",18,"31",13
"253",18,"7",14
"254",18,"99",15
"255",18,"8",16
"256",18,"63",17
"257",18,"6",18
"258",19,"77",1
"259",19,"44",2
"260",19,"23",3
"261",19,"4",4
"262",19,"11",5
"263",19,"16",6
"264",19,"55",7
"265",19,"5",8
"266",19,"10",9
"267",19,"18",10
"268",19,"26",11
"269",19,"20",12
"270",19,"31",13
"271",19,"7",14
"272",19,"99",15
"273",19,"8",16
"274",19,"63",17
"275",19,"6",18
"276",20,"77",1
"277",20,"44",2
"278",20,"23",3
"279",20,"4",4
"280",20,"11",5
"281",20,"16",6
"282",20,"55",7
"283",20,"5",8
"284",20,"10",9
"285",20,"26",10
"286",20,"20",11
"287",20,"31",12
"288",20,"7",13
"289",20,"18",14
"290",20,"99",15
"291",20,"63",16
"292",20,"6",17
"293",20,"8",18
"294",21,"77",1
"295",21,"44",2
"296",21,"23",3
"297",21,"4",4
"298",21,"11",5
"299",21,"16",6
"300",21,"55",7
"301",21,"5",8
"302",21,"10",9
"303",21,"26",10
"304",21,"20",11
"305",21,"31",12
"306",21,"7",13
"307",21,"99",14
"308",21,"63",15
"309",21,"6",16
"310",21,"8",17
"311",22,"77",1
"312",22,"44",2
"313",22,"23",3
"314",22,"4",4
"315",22,"11",5
"316",22,"16",6
"317",22,"55",7
"318",22,"5",8
"319",22,"10",9
"320",22,"26",10
"321",22,"20",11
"322",22,"31",12
"323",22,"7",13
"324",22,"99",14
"325",22,"63",15
"326",22,"6",16
"327",22,"8",17
"328",23,"77",1
"329",23,"44",2
"330",23,"23",3
"331",23,"4",4
"332",23,"11",5
"333",23,"16",6
"334",23,"55",7
"335",23,"5",8
"336",23,"10",9
"337",23,"26",10
"338",23,"20",11
"339",23,"31",12
"340",23,"7",13
"341",23,"99",14
"342",23,"63",15
"343",23,"6",16
"344",23,"8",17
"345",24,"77",1
"346",24,"44",2
"347",24,"23",3
"348",24,"4",4
"349",24,"11",5
"350",24,"16",6
"351",24,"55",7
"352",24,"5",8
"353",24,"10",9
"354",24,"26",10
"355",24,"20",11
"356",24,"31",12
"357",24,"99",13
"358",24,"7",14
"359",24,"63",15
"360",24,"6",16
