"","lap","cars","Position"
"1",0,"44",1
"2",0,"77",2
"3",0,"33",3
"4",0,"23",4
"5",0,"11",5
"6",0,"3",6
"7",0,"31",7
"8",0,"10",8
"9",0,"4",9
"10",0,"26",10
"11",0,"5",11
"12",0,"16",12
"13",0,"18",13
"14",0,"63",14
"15",0,"55",15
"16",0,"99",16
"17",0,"7",17
"18",0,"20",18
"19",0,"8",19
"20",0,"6",20
"21",1,"44",1
"22",1,"33",2
"23",1,"11",3
"24",1,"23",4
"25",1,"3",5
"26",1,"77",6
"27",1,"10",7
"28",1,"31",8
"29",1,"4",9
"30",1,"16",10
"31",1,"99",11
"32",1,"18",12
"33",1,"55",13
"34",1,"20",14
"35",1,"5",15
"36",1,"6",16
"37",1,"7",17
"38",1,"63",18
"39",1,"26",19
"40",2,"44",1
"41",2,"33",2
"42",2,"11",3
"43",2,"77",4
"44",2,"23",5
"45",2,"3",6
"46",2,"4",7
"47",2,"31",8
"48",2,"10",9
"49",2,"5",10
"50",2,"18",11
"51",2,"16",12
"52",2,"55",13
"53",2,"99",14
"54",2,"26",15
"55",2,"7",16
"56",2,"20",17
"57",2,"63",18
"58",2,"6",19
"59",3,"44",1
"60",3,"33",2
"61",3,"11",3
"62",3,"77",4
"63",3,"23",5
"64",3,"4",6
"65",3,"31",7
"66",3,"16",8
"67",3,"3",9
"68",3,"10",10
"69",3,"55",11
"70",3,"26",12
"71",3,"7",13
"72",3,"6",14
"73",3,"63",15
"74",3,"5",16
"75",3,"99",17
"76",3,"20",18
"77",4,"44",1
"78",4,"33",2
"79",4,"11",3
"80",4,"23",4
"81",4,"77",5
"82",4,"4",6
"83",4,"31",7
"84",4,"16",8
"85",4,"3",9
"86",4,"10",10
"87",4,"55",11
"88",4,"26",12
"89",4,"7",13
"90",4,"6",14
"91",4,"63",15
"92",4,"5",16
"93",4,"99",17
"94",4,"20",18
"95",5,"44",1
"96",5,"33",2
"97",5,"11",3
"98",5,"23",4
"99",5,"4",5
"100",5,"31",6
"101",5,"16",7
"102",5,"3",8
"103",5,"10",9
"104",5,"55",10
"105",5,"26",11
"106",5,"7",12
"107",5,"6",13
"108",5,"63",14
"109",5,"5",15
"110",5,"77",16
"111",5,"99",17
"112",5,"20",18
"113",6,"44",1
"114",6,"33",2
"115",6,"11",3
"116",6,"23",4
"117",6,"4",5
"118",6,"31",6
"119",6,"16",7
"120",6,"3",8
"121",6,"10",9
"122",6,"55",10
"123",6,"26",11
"124",6,"7",12
"125",6,"6",13
"126",6,"63",14
"127",6,"5",15
"128",6,"77",16
"129",6,"99",17
"130",6,"20",18
"131",7,"44",1
"132",7,"33",2
"133",7,"11",3
"134",7,"23",4
"135",7,"4",5
"136",7,"31",6
"137",7,"16",7
"138",7,"3",8
"139",7,"10",9
"140",7,"55",10
"141",7,"26",11
"142",7,"7",12
"143",7,"6",13
"144",7,"63",14
"145",7,"5",15
"146",7,"77",16
"147",7,"99",17
"148",7,"20",18
"149",8,"44",1
"150",8,"33",2
"151",8,"11",3
"152",8,"23",4
"153",8,"4",5
"154",8,"31",6
"155",8,"16",7
"156",8,"3",8
"157",8,"10",9
"158",8,"55",10
"159",8,"26",11
"160",8,"7",12
"161",8,"6",13
"162",8,"63",14
"163",8,"5",15
"164",8,"77",16
"165",8,"99",17
"166",8,"20",18
"167",9,"44",1
"168",9,"33",2
"169",9,"11",3
"170",9,"23",4
"171",9,"4",5
"172",9,"31",6
"173",9,"16",7
"174",9,"55",8
"175",9,"3",9
"176",9,"10",10
"177",9,"26",11
"178",9,"7",12
"179",9,"63",13
"180",9,"6",14
"181",9,"5",15
"182",9,"77",16
"183",9,"99",17
"184",9,"20",18
"185",10,"44",1
"186",10,"33",2
"187",10,"11",3
"188",10,"23",4
"189",10,"4",5
"190",10,"31",6
"191",10,"16",7
"192",10,"55",8
"193",10,"3",9
"194",10,"10",10
"195",10,"26",11
"196",10,"63",12
"197",10,"7",13
"198",10,"6",14
"199",10,"5",15
"200",10,"77",16
"201",10,"99",17
"202",10,"20",18
"203",11,"44",1
"204",11,"33",2
"205",11,"11",3
"206",11,"23",4
"207",11,"4",5
"208",11,"31",6
"209",11,"16",7
"210",11,"55",8
"211",11,"3",9
"212",11,"10",10
"213",11,"26",11
"214",11,"63",12
"215",11,"7",13
"216",11,"6",14
"217",11,"5",15
"218",11,"77",16
"219",11,"99",17
"220",11,"20",18
"221",12,"44",1
"222",12,"33",2
"223",12,"11",3
"224",12,"23",4
"225",12,"4",5
"226",12,"31",6
"227",12,"55",7
"228",12,"3",8
"229",12,"16",9
"230",12,"10",10
"231",12,"26",11
"232",12,"63",12
"233",12,"7",13
"234",12,"6",14
"235",12,"77",15
"236",12,"99",16
"237",12,"20",17
"238",12,"5",18
"239",13,"44",1
"240",13,"33",2
"241",13,"11",3
"242",13,"23",4
"243",13,"4",5
