"","lap","cars","Position"
"1",0,"44",1
"2",0,"77",2
"3",0,"33",3
"4",0,"3",4
"5",0,"23",5
"6",0,"31",6
"7",0,"55",7
"8",0,"11",8
"9",0,"18",9
"10",0,"4",10
"11",0,"26",11
"12",0,"10",12
"13",0,"16",13
"14",0,"5",14
"15",0,"63",15
"16",0,"7",16
"17",0,"8",17
"18",0,"99",18
"19",0,"6",19
"20",0,"20",20
"21",1,"44",1
"22",1,"77",2
"23",1,"33",3
"24",1,"3",4
"25",1,"31",5
"26",1,"23",6
"27",1,"18",7
"28",1,"16",8
"29",1,"11",9
"30",1,"10",10
"31",1,"4",11
"32",1,"26",12
"33",1,"5",13
"34",1,"99",14
"35",1,"20",15
"36",1,"7",16
"37",1,"63",17
"38",1,"8",18
"39",1,"6",19
"40",2,"44",1
"41",2,"77",2
"42",2,"33",3
"43",2,"3",4
"44",2,"31",5
"45",2,"23",6
"46",2,"18",7
"47",2,"16",8
"48",2,"10",9
"49",2,"11",10
"50",2,"4",11
"51",2,"26",12
"52",2,"5",13
"53",2,"99",14
"54",2,"20",15
"55",2,"7",16
"56",2,"63",17
"57",2,"8",18
"58",2,"6",19
"59",3,"44",1
"60",3,"77",2
"61",3,"33",3
"62",3,"3",4
"63",3,"31",5
"64",3,"23",6
"65",3,"18",7
"66",3,"10",8
"67",3,"16",9
"68",3,"11",10
"69",3,"4",11
"70",3,"26",12
"71",3,"5",13
"72",3,"99",14
"73",3,"20",15
"74",3,"7",16
"75",3,"63",17
"76",3,"8",18
"77",3,"6",19
"78",4,"44",1
"79",4,"77",2
"80",4,"33",3
"81",4,"3",4
"82",4,"31",5
"83",4,"23",6
"84",4,"18",7
"85",4,"10",8
"86",4,"11",9
"87",4,"16",10
"88",4,"4",11
"89",4,"26",12
"90",4,"5",13
"91",4,"99",14
"92",4,"7",15
"93",4,"20",16
"94",4,"63",17
"95",4,"8",18
"96",4,"6",19
"97",5,"44",1
"98",5,"77",2
"99",5,"33",3
"100",5,"3",4
"101",5,"31",5
"102",5,"23",6
"103",5,"18",7
"104",5,"10",8
"105",5,"11",9
"106",5,"16",10
"107",5,"4",11
"108",5,"26",12
"109",5,"5",13
"110",5,"99",14
"111",5,"7",15
"112",5,"63",16
"113",5,"20",17
"114",5,"8",18
"115",5,"6",19
"116",6,"44",1
"117",6,"77",2
"118",6,"33",3
"119",6,"3",4
"120",6,"31",5
"121",6,"23",6
"122",6,"18",7
"123",6,"10",8
"124",6,"11",9
"125",6,"4",10
"126",6,"16",11
"127",6,"26",12
"128",6,"5",13
"129",6,"99",14
"130",6,"7",15
"131",6,"63",16
"132",6,"8",17
"133",6,"20",18
"134",6,"6",19
"135",7,"44",1
"136",7,"77",2
"137",7,"33",3
"138",7,"3",4
"139",7,"31",5
"140",7,"23",6
"141",7,"18",7
"142",7,"10",8
"143",7,"11",9
"144",7,"4",10
"145",7,"26",11
"146",7,"16",12
"147",7,"5",13
"148",7,"99",14
"149",7,"7",15
"150",7,"63",16
"151",7,"8",17
"152",7,"20",18
"153",7,"6",19
"154",8,"44",1
"155",8,"77",2
"156",8,"33",3
"157",8,"3",4
"158",8,"31",5
"159",8,"23",6
"160",8,"18",7
"161",8,"10",8
"162",8,"11",9
"163",8,"4",10
"164",8,"26",11
"165",8,"16",12
"166",8,"5",13
"167",8,"99",14
"168",8,"7",15
"169",8,"63",16
"170",8,"8",17
"171",8,"20",18
"172",8,"6",19
"173",9,"44",1
"174",9,"77",2
"175",9,"33",3
"176",9,"3",4
"177",9,"31",5
"178",9,"23",6
"179",9,"18",7
"180",9,"10",8
"181",9,"11",9
"182",9,"4",10
"183",9,"26",11
"184",9,"16",12
"185",9,"5",13
"186",9,"99",14
"187",9,"7",15
"188",9,"63",16
"189",9,"8",17
"190",9,"20",18
"191",9,"6",19
"192",10,"44",1
"193",10,"77",2
"194",10,"33",3
"195",10,"3",4
"196",10,"31",5
"197",10,"23",6
"198",10,"18",7
"199",10,"10",8
"200",10,"11",9
"201",10,"4",10
"202",10,"26",11
"203",10,"5",12
"204",10,"16",13
"205",10,"7",14
"206",10,"8",15
"207",10,"20",16
"208",10,"6",17
"209",11,"44",1
"210",11,"77",2
"211",11,"33",3
"212",11,"3",4
"213",11,"31",5
"214",11,"23",6
"215",11,"10",7
"216",11,"18",8
"217",11,"11",9
"218",11,"4",10
"219",11,"26",11
"220",11,"5",12
"221",11,"7",13
"222",11,"16",14
"223",11,"8",15
"224",11,"20",16
"225",11,"6",17
"226",12,"44",1
"227",12,"77",2
"228",12,"33",3
"229",12,"10",4
"230",12,"11",5
"231",12,"3",6
"232",12,"23",7
"233",12,"31",8
"234",12,"18",9
"235",12,"4",10
"236",12,"26",11
"237",12,"5",12
"238",12,"7",13
"239",12,"16",14
"240",12,"8",15
"241",12,"20",16
"242",12,"6",17
"243",13,"44",1
