"","lap","cars","Position"
"1",0,"44",1
"2",0,"77",2
"3",0,"33",3
"4",0,"16",4
"5",0,"4",5
"6",0,"18",6
"7",0,"55",7
"8",0,"3",8
"9",0,"31",9
"10",0,"5",10
"11",0,"10",11
"12",0,"23",12
"13",0,"27",13
"14",0,"20",14
"15",0,"99",15
"16",0,"7",16
"17",0,"8",17
"18",0,"6",18
"19",0,"26",19
"20",0,"63",20
"21",1,"44",1
"22",1,"77",2
"23",1,"33",3
"24",1,"16",4
"25",1,"55",5
"26",1,"3",6
"27",1,"4",7
"28",1,"18",8
"29",1,"31",9
"30",1,"5",10
"31",1,"10",11
"32",1,"23",12
"33",1,"99",13
"34",1,"26",14
"35",1,"8",15
"36",1,"7",16
"37",1,"63",17
"38",1,"6",18
"39",2,"44",1
"40",2,"77",2
"41",2,"33",3
"42",2,"16",4
"43",2,"55",5
"44",2,"3",6
"45",2,"4",7
"46",2,"18",8
"47",2,"31",9
"48",2,"5",10
"49",2,"10",11
"50",2,"23",12
"51",2,"99",13
"52",2,"26",14
"53",2,"8",15
"54",2,"7",16
"55",2,"63",17
"56",2,"6",18
"57",3,"44",1
"58",3,"77",2
"59",3,"33",3
"60",3,"16",4
"61",3,"55",5
"62",3,"3",6
"63",3,"4",7
"64",3,"18",8
"65",3,"31",9
"66",3,"5",10
"67",3,"10",11
"68",3,"23",12
"69",3,"99",13
"70",3,"26",14
"71",3,"8",15
"72",3,"7",16
"73",3,"63",17
"74",3,"6",18
"75",4,"44",1
"76",4,"77",2
"77",4,"33",3
"78",4,"16",4
"79",4,"55",5
"80",4,"3",6
"81",4,"4",7
"82",4,"18",8
"83",4,"31",9
"84",4,"5",10
"85",4,"10",11
"86",4,"23",12
"87",4,"99",13
"88",4,"26",14
"89",4,"8",15
"90",4,"7",16
"91",4,"63",17
"92",4,"6",18
"93",5,"44",1
"94",5,"77",2
"95",5,"33",3
"96",5,"16",4
"97",5,"55",5
"98",5,"3",6
"99",5,"4",7
"100",5,"18",8
"101",5,"31",9
"102",5,"5",10
"103",5,"10",11
"104",5,"23",12
"105",5,"99",13
"106",5,"26",14
"107",5,"8",15
"108",5,"7",16
"109",5,"63",17
"110",5,"6",18
"111",6,"44",1
"112",6,"77",2
"113",6,"33",3
"114",6,"16",4
"115",6,"55",5
"116",6,"3",6
"117",6,"4",7
"118",6,"18",8
"119",6,"31",9
"120",6,"5",10
"121",6,"10",11
"122",6,"99",12
"123",6,"23",13
"124",6,"26",14
"125",6,"8",15
"126",6,"7",16
"127",6,"63",17
"128",6,"6",18
"129",7,"44",1
"130",7,"77",2
"131",7,"33",3
"132",7,"16",4
"133",7,"55",5
"134",7,"3",6
"135",7,"4",7
"136",7,"18",8
"137",7,"31",9
"138",7,"5",10
"139",7,"10",11
"140",7,"99",12
"141",7,"26",13
"142",7,"8",14
"143",7,"7",15
"144",7,"63",16
"145",7,"6",17
"146",7,"23",18
"147",8,"44",1
"148",8,"77",2
"149",8,"33",3
"150",8,"16",4
"151",8,"55",5
"152",8,"3",6
"153",8,"4",7
"154",8,"18",8
"155",8,"31",9
"156",8,"5",10
"157",8,"10",11
"158",8,"99",12
"159",8,"26",13
"160",8,"8",14
"161",8,"7",15
"162",8,"63",16
"163",8,"6",17
"164",8,"23",18
"165",9,"44",1
"166",9,"77",2
"167",9,"33",3
"168",9,"16",4
"169",9,"55",5
"170",9,"3",6
"171",9,"4",7
"172",9,"18",8
"173",9,"31",9
"174",9,"5",10
"175",9,"10",11
"176",9,"99",12
"177",9,"26",13
"178",9,"8",14
"179",9,"7",15
"180",9,"63",16
"181",9,"6",17
"182",9,"23",18
"183",10,"44",1
"184",10,"77",2
"185",10,"33",3
"186",10,"16",4
"187",10,"55",5
"188",10,"3",6
"189",10,"4",7
"190",10,"18",8
"191",10,"31",9
"192",10,"5",10
"193",10,"10",11
"194",10,"99",12
"195",10,"26",13
"196",10,"8",14
"197",10,"7",15
"198",10,"63",16
"199",10,"6",17
"200",10,"23",18
"201",11,"44",1
"202",11,"77",2
"203",11,"33",3
"204",11,"16",4
"205",11,"55",5
"206",11,"3",6
"207",11,"4",7
"208",11,"18",8
"209",11,"31",9
"210",11,"5",10
"211",11,"10",11
"212",11,"26",12
"213",11,"99",13
"214",11,"8",14
"215",11,"7",15
"216",11,"63",16
"217",11,"6",17
"218",11,"23",18
"219",12,"44",1
"220",12,"77",2
"221",12,"33",3
"222",12,"16",4
"223",12,"3",5
"224",12,"55",6
"225",12,"4",7
"226",12,"18",8
"227",12,"31",9
"228",12,"5",10
"229",12,"10",11
"230",12,"99",12
"231",12,"7",13
"232",12,"8",14
"233",12,"63",15
"234",12,"6",16
"235",12,"23",17
"236",13,"44",1
"237",13,"77",2
"238",13,"33",3
"239",13,"16",4
"240",13,"55",5
"241",13,"18",6
"242",13,"8",7
"243",13,"3",8
