"","lap","cars","Position"
"1",0,"77",1
"2",0,"44",2
"3",0,"33",3
"4",0,"16",4
"5",0,"23",5
"6",0,"3",6
"7",0,"31",7
"8",0,"4",8
"9",0,"11",9
"10",0,"55",10
"11",0,"5",11
"12",0,"10",12
"13",0,"26",13
"14",0,"99",14
"15",0,"20",15
"16",0,"8",16
"17",0,"63",17
"18",0,"6",18
"19",0,"7",19
"20",0,"27",20
"21",1,"77",1
"22",1,"44",2
"23",1,"33",3
"24",1,"16",4
"25",1,"3",5
"26",1,"23",6
"27",1,"4",7
"28",1,"11",8
"29",1,"31",9
"30",1,"55",10
"31",1,"99",11
"32",1,"5",12
"33",1,"10",13
"34",1,"20",14
"35",1,"26",15
"36",1,"63",16
"37",1,"27",17
"38",1,"6",18
"39",1,"7",19
"40",1,"8",20
"41",2,"77",1
"42",2,"44",2
"43",2,"33",3
"44",2,"16",4
"45",2,"3",5
"46",2,"23",6
"47",2,"4",7
"48",2,"11",8
"49",2,"31",9
"50",2,"55",10
"51",2,"99",11
"52",2,"5",12
"53",2,"20",13
"54",2,"10",14
"55",2,"26",15
"56",2,"63",16
"57",2,"27",17
"58",2,"6",18
"59",2,"7",19
"60",2,"8",20
"61",3,"77",1
"62",3,"44",2
"63",3,"33",3
"64",3,"16",4
"65",3,"3",5
"66",3,"23",6
"67",3,"4",7
"68",3,"11",8
"69",3,"31",9
"70",3,"55",10
"71",3,"99",11
"72",3,"5",12
"73",3,"20",13
"74",3,"10",14
"75",3,"26",15
"76",3,"63",16
"77",3,"27",17
"78",3,"6",18
"79",3,"7",19
"80",3,"8",20
"81",4,"77",1
"82",4,"44",2
"83",4,"33",3
"84",4,"16",4
"85",4,"3",5
"86",4,"23",6
"87",4,"4",7
"88",4,"11",8
"89",4,"31",9
"90",4,"55",10
"91",4,"99",11
"92",4,"5",12
"93",4,"20",13
"94",4,"10",14
"95",4,"26",15
"96",4,"63",16
"97",4,"27",17
"98",4,"6",18
"99",4,"7",19
"100",4,"8",20
"101",5,"77",1
"102",5,"44",2
"103",5,"33",3
"104",5,"16",4
"105",5,"3",5
"106",5,"23",6
"107",5,"4",7
"108",5,"11",8
"109",5,"31",9
"110",5,"55",10
"111",5,"99",11
"112",5,"5",12
"113",5,"20",13
"114",5,"10",14
"115",5,"26",15
"116",5,"63",16
"117",5,"27",17
"118",5,"6",18
"119",5,"7",19
"120",5,"8",20
"121",6,"77",1
"122",6,"44",2
"123",6,"33",3
"124",6,"16",4
"125",6,"3",5
"126",6,"23",6
"127",6,"4",7
"128",6,"11",8
"129",6,"31",9
"130",6,"55",10
"131",6,"99",11
"132",6,"5",12
"133",6,"20",13
"134",6,"10",14
"135",6,"26",15
"136",6,"63",16
"137",6,"27",17
"138",6,"6",18
"139",6,"7",19
"140",6,"8",20
"141",7,"77",1
"142",7,"44",2
"143",7,"33",3
"144",7,"16",4
"145",7,"3",5
"146",7,"4",6
"147",7,"11",7
"148",7,"23",8
"149",7,"31",9
"150",7,"55",10
"151",7,"99",11
"152",7,"5",12
"153",7,"20",13
"154",7,"10",14
"155",7,"26",15
"156",7,"63",16
"157",7,"27",17
"158",7,"6",18
"159",7,"7",19
"160",7,"8",20
"161",8,"77",1
"162",8,"44",2
"163",8,"33",3
"164",8,"16",4
"165",8,"3",5
"166",8,"4",6
"167",8,"11",7
"168",8,"31",8
"169",8,"55",9
"170",8,"99",10
"171",8,"5",11
"172",8,"20",12
"173",8,"10",13
"174",8,"26",14
"175",8,"63",15
"176",8,"27",16
"177",8,"6",17
"178",8,"7",18
"179",8,"8",19
"180",8,"23",20
"181",9,"77",1
"182",9,"44",2
"183",9,"33",3
"184",9,"3",4
"185",9,"16",5
"186",9,"4",6
"187",9,"11",7
"188",9,"31",8
"189",9,"55",9
"190",9,"99",10
"191",9,"5",11
"192",9,"20",12
"193",9,"10",13
"194",9,"26",14
"195",9,"63",15
"196",9,"27",16
"197",9,"6",17
"198",9,"7",18
"199",9,"8",19
"200",9,"23",20
"201",10,"77",1
"202",10,"44",2
"203",10,"33",3
"204",10,"3",4
"205",10,"4",5
"206",10,"11",6
"207",10,"31",7
"208",10,"16",8
"209",10,"55",9
"210",10,"99",10
"211",10,"5",11
"212",10,"20",12
"213",10,"10",13
"214",10,"26",14
"215",10,"63",15
"216",10,"27",16
"217",10,"6",17
"218",10,"8",18
"219",10,"23",19
"220",10,"7",20
"221",11,"77",1
"222",11,"44",2
"223",11,"33",3
"224",11,"3",4
"225",11,"4",5
"226",11,"11",6
"227",11,"31",7
"228",11,"55",8
"229",11,"99",9
"230",11,"10",10
"231",11,"20",11
"232",11,"26",12
"233",11,"27",13
"234",11,"6",14
"235",11,"23",15
"236",11,"5",16
"237",11,"63",17
"238",11,"8",18
"239",11,"16",19
"240",11,"7",20
"241",12,"77",1
"242",12,"44",2
"243",12,"33",3
"244",12,"3",4
"245",12,"4",5
"246",12,"11",6
"247",12,"31",7
"248",12,"55",8
"249",12,"99",9
"250",12,"10",10
"251",12,"20",11
"252",12,"26",12
"253",12,"27",13
"254",12,"23",14
"255",12,"6",15
"256",12,"8",16
"257",12,"16",17
"258",12,"63",18
"259",12,"5",19
"260",12,"7",20
"261",13,"44",1
"262",13,"33",2
"263",13,"77",3
"264",13,"3",4
"265",13,"4",5
"266",13,"11",6
"267",13,"31",7
"268",13,"55",8
"269",13,"99",9
"270",13,"10",10
"271",13,"26",11
"272",13,"23",12
"273",13,"20",13
"274",13,"27",14
"275",13,"6",15
"276",13,"16",16
"277",13,"8",17
"278",13,"5",18
"279",13,"7",19
"280",14,"44",1
"281",14,"33",2
"282",14,"3",3
"283",14,"77",4
"284",14,"4",5
"285",14,"11",6
"286",14,"31",7
"287",14,"55",8
"288",14,"10",9
"289",14,"99",10
"290",14,"26",11
"291",14,"23",12
