"","lap","cars","Position"
"1",0,"77",1
"2",0,"44",2
"3",0,"33",3
"4",0,"10",4
"5",0,"3",5
"6",0,"23",6
"7",0,"16",7
"8",0,"26",8
"9",0,"4",9
"10",0,"55",10
"11",0,"11",11
"12",0,"31",12
"13",0,"63",13
"14",0,"5",14
"15",0,"18",15
"16",0,"8",16
"17",0,"20",17
"18",0,"7",18
"19",0,"6",19
"20",0,"99",20
"21",1,"77",1
"22",1,"33",2
"23",1,"44",3
"24",1,"3",4
"25",1,"10",5
"26",1,"16",6
"27",1,"23",7
"28",1,"26",8
"29",1,"4",9
"30",1,"55",10
"31",1,"11",11
"32",1,"31",12
"33",1,"63",13
"34",1,"99",14
"35",1,"5",15
"36",1,"7",16
"37",1,"8",17
"38",1,"6",18
"39",1,"18",19
"40",1,"20",20
"41",2,"77",1
"42",2,"33",2
"43",2,"44",3
"44",2,"3",4
"45",2,"10",5
"46",2,"16",6
"47",2,"23",7
"48",2,"26",8
"49",2,"4",9
"50",2,"55",10
"51",2,"11",11
"52",2,"31",12
"53",2,"63",13
"54",2,"99",14
"55",2,"5",15
"56",2,"7",16
"57",2,"8",17
"58",2,"6",18
"59",2,"20",19
"60",2,"18",20
"61",3,"77",1
"62",3,"33",2
"63",3,"44",3
"64",3,"3",4
"65",3,"10",5
"66",3,"16",6
"67",3,"23",7
"68",3,"26",8
"69",3,"4",9
"70",3,"55",10
"71",3,"11",11
"72",3,"31",12
"73",3,"63",13
"74",3,"99",14
"75",3,"5",15
"76",3,"7",16
"77",3,"8",17
"78",3,"6",18
"79",3,"20",19
"80",3,"18",20
"81",4,"77",1
"82",4,"33",2
"83",4,"44",3
"84",4,"3",4
"85",4,"10",5
"86",4,"16",6
"87",4,"23",7
"88",4,"26",8
"89",4,"4",9
"90",4,"55",10
"91",4,"11",11
"92",4,"31",12
"93",4,"63",13
"94",4,"99",14
"95",4,"5",15
"96",4,"7",16
"97",4,"8",17
"98",4,"6",18
"99",4,"20",19
"100",4,"18",20
"101",5,"77",1
"102",5,"33",2
"103",5,"44",3
"104",5,"3",4
"105",5,"10",5
"106",5,"16",6
"107",5,"23",7
"108",5,"26",8
"109",5,"4",9
"110",5,"55",10
"111",5,"11",11
"112",5,"31",12
"113",5,"63",13
"114",5,"99",14
"115",5,"5",15
"116",5,"7",16
"117",5,"8",17
"118",5,"6",18
"119",5,"20",19
"120",5,"18",20
"121",6,"77",1
"122",6,"33",2
"123",6,"44",3
"124",6,"3",4
"125",6,"10",5
"126",6,"16",6
"127",6,"23",7
"128",6,"26",8
"129",6,"55",9
"130",6,"4",10
"131",6,"11",11
"132",6,"31",12
"133",6,"63",13
"134",6,"99",14
"135",6,"5",15
"136",6,"7",16
"137",6,"8",17
"138",6,"6",18
"139",6,"20",19
"140",6,"18",20
"141",7,"77",1
"142",7,"33",2
"143",7,"44",3
"144",7,"3",4
"145",7,"10",5
"146",7,"16",6
"147",7,"23",7
"148",7,"26",8
"149",7,"55",9
"150",7,"4",10
"151",7,"11",11
"152",7,"31",12
"153",7,"63",13
"154",7,"99",14
"155",7,"5",15
"156",7,"7",16
"157",7,"8",17
"158",7,"6",18
"159",7,"20",19
"160",7,"18",20
"161",8,"77",1
"162",8,"33",2
"163",8,"44",3
"164",8,"3",4
"165",8,"16",5
"166",8,"23",6
"167",8,"10",7
"168",8,"26",8
"169",8,"55",9
"170",8,"4",10
"171",8,"11",11
"172",8,"31",12
"173",8,"63",13
"174",8,"99",14
"175",8,"5",15
"176",8,"7",16
"177",8,"8",17
"178",8,"6",18
"179",8,"20",19
"180",8,"18",20
"181",9,"77",1
"182",9,"33",2
"183",9,"44",3
"184",9,"3",4
"185",9,"16",5
"186",9,"23",6
"187",9,"26",7
"188",9,"55",8
"189",9,"4",9
"190",9,"11",10
"191",9,"31",11
"192",9,"63",12
"193",9,"99",13
"194",9,"5",14
"195",9,"7",15
"196",9,"6",16
"197",9,"8",17
"198",9,"20",18
"199",9,"18",19
"200",10,"77",1
"201",10,"33",2
"202",10,"44",3
"203",10,"3",4
"204",10,"16",5
"205",10,"23",6
"206",10,"26",7
"207",10,"55",8
"208",10,"4",9
"209",10,"11",10
"210",10,"31",11
"211",10,"63",12
"212",10,"5",13
"213",10,"7",14
"214",10,"6",15
"215",10,"99",16
"216",10,"20",17
"217",10,"8",18
"218",10,"18",19
"219",11,"77",1
"220",11,"33",2
"221",11,"44",3
"222",11,"3",4
"223",11,"16",5
"224",11,"23",6
"225",11,"26",7
"226",11,"55",8
"227",11,"4",9
"228",11,"11",10
"229",11,"31",11
"230",11,"5",12
"231",11,"7",13
"232",11,"63",14
"233",11,"6",15
"234",11,"20",16
"235",11,"99",17
"236",11,"8",18
"237",11,"18",19
"238",12,"77",1
"239",12,"33",2
"240",12,"44",3
"241",12,"3",4
"242",12,"16",5
"243",12,"23",6
"244",12,"26",7
"245",12,"55",8
"246",12,"4",9
"247",12,"11",10
"248",12,"31",11
"249",12,"5",12
"250",12,"7",13
"251",12,"6",14
"252",12,"20",15
"253",12,"63",16
"254",12,"99",17
"255",12,"8",18
"256",12,"18",19
"257",13,"77",1
"258",13,"33",2
"259",13,"44",3
"260",13,"3",4
"261",13,"23",5
"262",13,"26",6
"263",13,"16",7
"264",13,"55",8
"265",13,"11",9
"266",13,"4",10
"267",13,"5",11
"268",13,"31",12
"269",13,"7",13
"270",13,"6",14
"271",13,"20",15
"272",13,"63",16
"273",13,"99",17
"274",13,"8",18
"275",13,"18",19
"276",14,"77",1
"277",14,"33",2
"278",14,"44",3
"279",14,"3",4
"280",14,"55",5
"281",14,"23",6
"282",14,"11",7
"283",14,"26",8
"284",14,"5",9
"285",14,"7",10
"286",14,"6",11
"287",14,"20",12
"288",14,"16",13
"289",14,"4",14
"290",14,"63",15
"291",14,"31",16
