"","lap","cars","Position"
"1",0,"44",1
"2",0,"77",2
"3",0,"18",3
"4",0,"11",4
"5",0,"5",5
"6",0,"16",6
"7",0,"33",7
"8",0,"4",8
"9",0,"55",9
"10",0,"10",10
"11",0,"3",11
"12",0,"63",12
"13",0,"23",13
"14",0,"31",14
"15",0,"6",15
"16",0,"20",16
"17",0,"26",17
"18",0,"8",18
"19",0,"99",19
"20",0,"7",20
"21",1,"44",1
"22",1,"18",2
"23",1,"33",3
"24",1,"5",4
"25",1,"16",5
"26",1,"77",6
"27",1,"11",7
"28",1,"55",8
"29",1,"3",9
"30",1,"6",10
"31",1,"23",11
"32",1,"10",12
"33",1,"4",13
"34",1,"7",14
"35",1,"63",15
"36",1,"31",16
"37",1,"26",17
"38",1,"99",18
"39",1,"20",19
"40",1,"8",20
"41",2,"44",1
"42",2,"18",2
"43",2,"33",3
"44",2,"5",4
"45",2,"11",5
"46",2,"16",6
"47",2,"55",7
"48",2,"77",8
"49",2,"3",9
"50",2,"6",10
"51",2,"23",11
"52",2,"10",12
"53",2,"4",13
"54",2,"31",14
"55",2,"7",15
"56",2,"63",16
"57",2,"99",17
"58",2,"20",18
"59",2,"8",19
"60",2,"26",20
"61",3,"44",1
"62",3,"33",2
"63",3,"18",3
"64",3,"5",4
"65",3,"11",5
"66",3,"3",6
"67",3,"55",7
"68",3,"31",8
"69",3,"23",9
"70",3,"4",10
"71",3,"6",11
"72",3,"10",12
"73",3,"63",13
"74",3,"7",14
"75",3,"99",15
"76",3,"20",16
"77",3,"8",17
"78",3,"16",18
"79",3,"77",19
"80",3,"26",20
"81",4,"33",1
"82",4,"3",2
"83",4,"44",3
"84",4,"31",4
"85",4,"20",5
"86",4,"4",6
"87",4,"63",7
"88",4,"8",8
"89",4,"18",9
"90",4,"16",10
"91",4,"77",11
"92",4,"11",12
"93",4,"5",13
"94",4,"23",14
"95",4,"99",15
"96",4,"55",16
"97",4,"26",17
"98",4,"10",18
"99",4,"7",19
"100",4,"6",20
"101",5,"44",1
"102",5,"33",2
"103",5,"20",3
"104",5,"8",4
"105",5,"18",5
"106",5,"16",6
"107",5,"77",7
"108",5,"5",8
"109",5,"23",9
"110",5,"11",10
"111",5,"3",11
"112",5,"55",12
"113",5,"26",13
"114",5,"10",14
"115",5,"7",15
"116",5,"31",16
"117",5,"63",17
"118",5,"4",18
"119",5,"99",19
"120",5,"6",20
"121",6,"44",1
"122",6,"33",2
"123",6,"20",3
"124",6,"8",4
"125",6,"18",5
"126",6,"16",6
"127",6,"77",7
"128",6,"5",8
"129",6,"23",9
"130",6,"11",10
"131",6,"3",11
"132",6,"55",12
"133",6,"26",13
"134",6,"10",14
"135",6,"7",15
"136",6,"31",16
"137",6,"63",17
"138",6,"4",18
"139",6,"99",19
"140",6,"6",20
"141",7,"44",1
"142",7,"33",2
"143",7,"20",3
"144",7,"18",4
"145",7,"8",5
"146",7,"16",6
"147",7,"77",7
"148",7,"5",8
"149",7,"23",9
"150",7,"11",10
"151",7,"3",11
"152",7,"55",12
"153",7,"26",13
"154",7,"10",14
"155",7,"7",15
"156",7,"31",16
"157",7,"63",17
"158",7,"4",18
"159",7,"99",19
"160",7,"6",20
"161",8,"44",1
"162",8,"33",2
"163",8,"20",3
"164",8,"18",4
"165",8,"8",5
"166",8,"16",6
"167",8,"77",7
"168",8,"5",8
"169",8,"23",9
"170",8,"11",10
"171",8,"3",11
"172",8,"55",12
"173",8,"26",13
"174",8,"10",14
"175",8,"7",15
"176",8,"31",16
"177",8,"63",17
"178",8,"4",18
"179",8,"99",19
"180",8,"6",20
"181",9,"44",1
"182",9,"33",2
"183",9,"20",3
"184",9,"18",4
"185",9,"8",5
"186",9,"16",6
"187",9,"77",7
"188",9,"5",8
"189",9,"23",9
"190",9,"11",10
"191",9,"3",11
"192",9,"55",12
"193",9,"26",13
"194",9,"10",14
"195",9,"7",15
"196",9,"31",16
"197",9,"63",17
"198",9,"4",18
"199",9,"99",19
"200",9,"6",20
"201",10,"44",1
"202",10,"33",2
"203",10,"20",3
"204",10,"18",4
"205",10,"8",5
"206",10,"77",6
"207",10,"16",7
"208",10,"5",8
"209",10,"23",9
"210",10,"11",10
"211",10,"3",11
"212",10,"55",12
"213",10,"26",13
"214",10,"10",14
"215",10,"7",15
"216",10,"31",16
"217",10,"63",17
"218",10,"4",18
"219",10,"99",19
"220",10,"6",20
"221",11,"44",1
"222",11,"33",2
"223",11,"20",3
"224",11,"18",4
"225",11,"8",5
"226",11,"77",6
"227",11,"16",7
"228",11,"23",8
"229",11,"5",9
"230",11,"11",10
"231",11,"3",11
"232",11,"55",12
"233",11,"26",13
"234",11,"10",14
"235",11,"7",15
"236",11,"31",16
"237",11,"63",17
"238",11,"4",18
"239",11,"99",19
"240",11,"6",20
"241",12,"44",1
"242",12,"33",2
"243",12,"20",3
