"","lap","cars","Position"
"1",0,"44",1
"2",0,"77",2
"3",0,"55",3
"4",0,"11",4
"5",0,"33",5
"6",0,"4",6
"7",0,"3",7
"8",0,"18",8
"9",0,"23",9
"10",0,"10",10
"11",0,"26",11
"12",0,"31",12
"13",0,"16",13
"14",0,"7",14
"15",0,"20",15
"16",0,"8",16
"17",0,"5",17
"18",0,"99",18
"19",0,"63",19
"20",0,"6",20
"21",1,"44",1
"22",1,"55",2
"23",1,"4",3
"24",1,"11",4
"25",1,"3",5
"26",1,"77",6
"27",1,"33",7
"28",1,"18",8
"29",1,"31",9
"30",1,"10",10
"31",1,"26",11
"32",1,"7",12
"33",1,"16",13
"34",1,"99",14
"35",1,"23",15
"36",1,"8",16
"37",1,"63",17
"38",1,"5",18
"39",1,"6",19
"40",1,"20",20
"41",2,"44",1
"42",2,"55",2
"43",2,"4",3
"44",2,"11",4
"45",2,"3",5
"46",2,"77",6
"47",2,"18",7
"48",2,"33",8
"49",2,"31",9
"50",2,"10",10
"51",2,"26",11
"52",2,"7",12
"53",2,"16",13
"54",2,"99",14
"55",2,"23",15
"56",2,"8",16
"57",2,"5",17
"58",2,"63",18
"59",2,"6",19
"60",2,"20",20
"61",3,"44",1
"62",3,"55",2
"63",3,"4",3
"64",3,"11",4
"65",3,"3",5
"66",3,"77",6
"67",3,"33",7
"68",3,"18",8
"69",3,"31",9
"70",3,"10",10
"71",3,"26",11
"72",3,"7",12
"73",3,"16",13
"74",3,"99",14
"75",3,"23",15
"76",3,"8",16
"77",3,"5",17
"78",3,"63",18
"79",3,"6",19
"80",3,"20",20
"81",4,"44",1
"82",4,"55",2
"83",4,"4",3
"84",4,"11",4
"85",4,"3",5
"86",4,"77",6
"87",4,"33",7
"88",4,"18",8
"89",4,"31",9
"90",4,"10",10
"91",4,"26",11
"92",4,"7",12
"93",4,"16",13
"94",4,"23",14
"95",4,"99",15
"96",4,"8",16
"97",4,"5",17
"98",4,"63",18
"99",4,"6",19
"100",4,"20",20
"101",5,"44",1
"102",5,"55",2
"103",5,"4",3
"104",5,"11",4
"105",5,"3",5
"106",5,"77",6
"107",5,"33",7
"108",5,"18",8
"109",5,"31",9
"110",5,"10",10
"111",5,"26",11
"112",5,"7",12
"113",5,"16",13
"114",5,"23",14
"115",5,"99",15
"116",5,"8",16
"117",5,"5",17
"118",5,"63",18
"119",5,"6",19
"120",5,"20",20
"121",6,"44",1
"122",6,"55",2
"123",6,"4",3
"124",6,"11",4
"125",6,"3",5
"126",6,"77",6
"127",6,"33",7
"128",6,"18",8
"129",6,"31",9
"130",6,"10",10
"131",6,"26",11
"132",6,"7",12
"133",6,"16",13
"134",6,"23",14
"135",6,"99",15
"136",6,"8",16
"137",6,"63",17
"138",6,"6",18
"139",6,"20",19
"140",6,"5",20
"141",7,"44",1
"142",7,"55",2
"143",7,"4",3
"144",7,"11",4
"145",7,"3",5
"146",7,"77",6
"147",7,"33",7
"148",7,"18",8
"149",7,"31",9
"150",7,"10",10
"151",7,"26",11
"152",7,"7",12
"153",7,"16",13
"154",7,"23",14
"155",7,"99",15
"156",7,"8",16
"157",7,"63",17
"158",7,"6",18
"159",7,"20",19
"160",8,"44",1
"161",8,"55",2
"162",8,"4",3
"163",8,"11",4
"164",8,"3",5
"165",8,"77",6
"166",8,"33",7
"167",8,"18",8
"168",8,"31",9
"169",8,"10",10
"170",8,"26",11
"171",8,"7",12
"172",8,"16",13
"173",8,"23",14
"174",8,"99",15
"175",8,"8",16
"176",8,"63",17
"177",8,"6",18
"178",8,"20",19
"179",9,"44",1
"180",9,"55",2
"181",9,"4",3
"182",9,"11",4
"183",9,"3",5
"184",9,"77",6
"185",9,"33",7
"186",9,"18",8
"187",9,"31",9
"188",9,"10",10
"189",9,"26",11
"190",9,"7",12
"191",9,"16",13
"192",9,"23",14
"193",9,"99",15
"194",9,"8",16
"195",9,"63",17
"196",9,"6",18
"197",9,"20",19
"198",10,"44",1
"199",10,"55",2
"200",10,"4",3
"201",10,"11",4
"202",10,"3",5
"203",10,"77",6
"204",10,"33",7
"205",10,"18",8
"206",10,"31",9
"207",10,"10",10
"208",10,"26",11
"209",10,"7",12
"210",10,"16",13
"211",10,"23",14
"212",10,"99",15
"213",10,"8",16
"214",10,"63",17
"215",10,"6",18
"216",10,"20",19
"217",11,"44",1
"218",11,"55",2
"219",11,"4",3
"220",11,"11",4
"221",11,"3",5
"222",11,"77",6
"223",11,"33",7
"224",11,"18",8
"225",11,"31",9
"226",11,"10",10
"227",11,"26",11
"228",11,"7",12
"229",11,"16",13
"230",11,"23",14
"231",11,"99",15
"232",11,"8",16
"233",11,"63",17
"234",11,"6",18
"235",11,"20",19
"236",12,"44",1
"237",12,"55",2
"238",12,"4",3
"239",12,"11",4
"240",12,"3",5
"241",12,"77",6
"242",12,"33",7
"243",12,"18",8
