"","lap","cars","Position"
"1",0,"44",1
"2",0,"77",2
"3",0,"33",3
"4",0,"16",4
"5",0,"11",5
"6",0,"23",6
"7",0,"55",7
"8",0,"4",8
"9",0,"10",9
"10",0,"3",10
"11",0,"31",11
"12",0,"18",12
"13",0,"26",13
"14",0,"63",14
"15",0,"5",15
"16",0,"7",16
"17",0,"99",17
"18",0,"8",18
"19",0,"20",19
"20",0,"6",20
"21",1,"77",1
"22",1,"55",2
"23",1,"44",3
"24",1,"4",4
"25",1,"33",5
"26",1,"16",6
"27",1,"7",7
"28",1,"3",8
"29",1,"23",9
"30",1,"10",10
"31",1,"18",11
"32",1,"31",12
"33",1,"63",13
"34",1,"99",14
"35",1,"5",15
"36",1,"8",16
"37",1,"20",17
"38",1,"6",18
"39",1,"26",19
"40",1,"11",20
"41",2,"55",1
"42",2,"77",2
"43",2,"44",3
"44",2,"4",4
"45",2,"33",5
"46",2,"7",6
"47",2,"3",7
"48",2,"16",8
"49",2,"10",9
"50",2,"18",10
"51",2,"31",11
"52",2,"23",12
"53",2,"63",13
"54",2,"99",14
"55",2,"8",15
"56",2,"5",16
"57",2,"6",17
"58",2,"20",18
"59",2,"26",19
"60",2,"11",20
"61",3,"55",1
"62",3,"77",2
"63",3,"44",3
"64",3,"4",4
"65",3,"33",5
"66",3,"7",6
"67",3,"3",7
"68",3,"16",8
"69",3,"10",9
"70",3,"18",10
"71",3,"23",11
"72",3,"31",12
"73",3,"63",13
"74",3,"99",14
"75",3,"8",15
"76",3,"5",16
"77",3,"6",17
"78",3,"20",18
"79",3,"26",19
"80",3,"11",20
"81",4,"55",1
"82",4,"77",2
"83",4,"44",3
"84",4,"4",4
"85",4,"33",5
"86",4,"7",6
"87",4,"3",7
"88",4,"16",8
"89",4,"10",9
"90",4,"18",10
"91",4,"23",11
"92",4,"31",12
"93",4,"63",13
"94",4,"99",14
"95",4,"8",15
"96",4,"5",16
"97",4,"6",17
"98",4,"20",18
"99",4,"26",19
"100",4,"11",20
"101",5,"55",1
"102",5,"77",2
"103",5,"44",3
"104",5,"33",4
"105",5,"4",5
"106",5,"7",6
"107",5,"3",7
"108",5,"16",8
"109",5,"10",9
"110",5,"18",10
"111",5,"23",11
"112",5,"31",12
"113",5,"63",13
"114",5,"99",14
"115",5,"8",15
"116",5,"5",16
"117",5,"6",17
"118",5,"26",18
"119",5,"20",19
"120",5,"11",20
"121",6,"77",1
"122",6,"55",2
"123",6,"44",3
"124",6,"33",4
"125",6,"4",5
"126",6,"7",6
"127",6,"16",7
"128",6,"3",8
"129",6,"10",9
"130",6,"18",10
"131",6,"23",11
"132",6,"31",12
"133",6,"63",13
"134",6,"99",14
"135",6,"8",15
"136",6,"5",16
"137",6,"6",17
"138",6,"26",18
"139",6,"20",19
"140",6,"11",20
"141",7,"77",1
"142",7,"44",2
"143",7,"55",3
"144",7,"33",4
"145",7,"4",5
"146",7,"7",6
"147",7,"16",7
"148",7,"3",8
"149",7,"10",9
"150",7,"18",10
"151",7,"23",11
"152",7,"31",12
"153",7,"63",13
"154",7,"99",14
"155",7,"5",15
"156",7,"8",16
"157",7,"26",17
"158",7,"6",18
"159",7,"20",19
"160",7,"11",20
"161",8,"77",1
"162",8,"44",2
"163",8,"33",3
"164",8,"55",4
"165",8,"4",5
"166",8,"16",6
"167",8,"7",7
"168",8,"3",8
"169",8,"10",9
"170",8,"18",10
"171",8,"23",11
"172",8,"31",12
"173",8,"63",13
"174",8,"99",14
"175",8,"5",15
"176",8,"8",16
"177",8,"26",17
"178",8,"6",18
"179",8,"20",19
"180",8,"11",20
"181",9,"77",1
"182",9,"44",2
"183",9,"33",3
"184",9,"55",4
"185",9,"16",5
"186",9,"4",6
"187",9,"3",7
"188",9,"7",8
"189",9,"10",9
"190",9,"18",10
"191",9,"23",11
"192",9,"31",12
"193",9,"63",13
"194",9,"99",14
"195",9,"5",15
"196",9,"26",16
"197",9,"8",17
"198",9,"6",18
"199",9,"20",19
"200",9,"11",20
"201",10,"77",1
"202",10,"44",2
"203",10,"33",3
"204",10,"55",4
"205",10,"16",5
"206",10,"4",6
"207",10,"3",7
"208",10,"10",8
"209",10,"7",9
"210",10,"18",10
"211",10,"23",11
"212",10,"31",12
"213",10,"63",13
"214",10,"99",14
"215",10,"5",15
"216",10,"26",16
"217",10,"8",17
"218",10,"6",18
"219",10,"20",19
"220",10,"11",20
"221",11,"77",1
"222",11,"44",2
"223",11,"33",3
"224",11,"55",4
"225",11,"16",5
"226",11,"4",6
"227",11,"10",7
"228",11,"3",8
"229",11,"18",9
"230",11,"23",10
"231",11,"31",11
"232",11,"7",12
"233",11,"63",13
"234",11,"99",14
"235",11,"5",15
"236",11,"26",16
"237",11,"8",17
"238",11,"6",18
"239",11,"20",19
"240",11,"11",20
"241",12,"77",1
"242",12,"44",2
"243",12,"33",3
