"","lap","cars","Position"
"1",0,"44",1
"2",0,"33",2
"3",0,"77",3
"4",0,"11",4
"5",0,"3",5
"6",0,"55",6
"7",0,"31",7
"8",0,"4",8
"9",0,"10",9
"10",0,"16",10
"11",0,"26",11
"12",0,"18",12
"13",0,"63",13
"14",0,"5",14
"15",0,"23",15
"16",0,"8",16
"17",0,"99",17
"18",0,"20",18
"19",0,"7",19
"20",0,"6",20
"21",1,"44",1
"22",1,"77",2
"23",1,"33",3
"24",1,"31",4
"25",1,"3",5
"26",1,"11",6
"27",1,"10",7
"28",1,"16",8
"29",1,"20",9
"30",1,"8",10
"31",1,"26",11
"32",1,"99",12
"33",1,"5",13
"34",1,"6",14
"35",1,"7",15
"36",1,"63",16
"37",1,"23",17
"38",1,"4",18
"39",2,"44",1
"40",2,"77",2
"41",2,"33",3
"42",2,"31",4
"43",2,"3",5
"44",2,"11",6
"45",2,"10",7
"46",2,"16",8
"47",2,"20",9
"48",2,"8",10
"49",2,"26",11
"50",2,"99",12
"51",2,"5",13
"52",2,"6",14
"53",2,"7",15
"54",2,"63",16
"55",2,"23",17
"56",2,"4",18
"57",3,"44",1
"58",3,"77",2
"59",3,"33",3
"60",3,"31",4
"61",3,"3",5
"62",3,"11",6
"63",3,"10",7
"64",3,"16",8
"65",3,"20",9
"66",3,"8",10
"67",3,"26",11
"68",3,"99",12
"69",3,"5",13
"70",3,"6",14
"71",3,"7",15
"72",3,"63",16
"73",3,"23",17
"74",3,"4",18
"75",4,"44",1
"76",4,"77",2
"77",4,"33",3
"78",4,"31",4
"79",4,"3",5
"80",4,"11",6
"81",4,"10",7
"82",4,"16",8
"83",4,"20",9
"84",4,"8",10
"85",4,"26",11
"86",4,"99",12
"87",4,"5",13
"88",4,"6",14
"89",4,"7",15
"90",4,"63",16
"91",4,"23",17
"92",4,"4",18
"93",5,"44",1
"94",5,"77",2
"95",5,"33",3
"96",5,"31",4
"97",5,"3",5
"98",5,"11",6
"99",5,"10",7
"100",5,"16",8
"101",5,"20",9
"102",5,"8",10
"103",5,"26",11
"104",5,"99",12
"105",5,"5",13
"106",5,"6",14
"107",5,"7",15
"108",5,"63",16
"109",5,"23",17
"110",5,"4",18
"111",6,"44",1
"112",6,"77",2
"113",6,"33",3
"114",6,"31",4
"115",6,"3",5
