"","lap","cars","Position"
"1",0,"77",1
"2",0,"63",2
"3",0,"33",3
"4",0,"16",4
"5",0,"11",5
"6",0,"26",6
"7",0,"3",7
"8",0,"55",8
"9",0,"10",9
"10",0,"18",10
"11",0,"31",11
"12",0,"23",12
"13",0,"5",13
"14",0,"99",14
"15",0,"20",15
"16",0,"6",16
"17",0,"89",17
"18",0,"7",18
"19",0,"4",19
"20",0,"51",20
"21",1,"63",1
"22",1,"77",2
"23",1,"55",3
"24",1,"3",4
"25",1,"26",5
"26",1,"18",6
"27",1,"10",7
"28",1,"31",8
"29",1,"5",9
"30",1,"4",10
"31",1,"20",11
"32",1,"23",12
"33",1,"99",13
"34",1,"6",14
"35",1,"89",15
"36",1,"51",16
"37",1,"7",17
"38",1,"11",18
"39",2,"63",1
"40",2,"77",2
"41",2,"55",3
"42",2,"3",4
"43",2,"26",5
"44",2,"18",6
"45",2,"10",7
"46",2,"31",8
"47",2,"5",9
"48",2,"4",10
"49",2,"20",11
"50",2,"23",12
"51",2,"99",13
"52",2,"6",14
"53",2,"89",15
"54",2,"51",16
"55",2,"7",17
"56",2,"11",18
"57",3,"63",1
"58",3,"77",2
"59",3,"55",3
"60",3,"3",4
"61",3,"26",5
"62",3,"18",6
"63",3,"10",7
"64",3,"31",8
"65",3,"5",9
"66",3,"4",10
"67",3,"20",11
"68",3,"23",12
"69",3,"6",13
"70",3,"99",14
"71",3,"89",15
"72",3,"51",16
"73",3,"7",17
"74",3,"11",18
"75",4,"63",1
"76",4,"77",2
"77",4,"55",3
"78",4,"3",4
"79",4,"26",5
"80",4,"18",6
"81",4,"10",7
"82",4,"31",8
"83",4,"5",9
"84",4,"4",10
"85",4,"20",11
"86",4,"23",12
"87",4,"6",13
"88",4,"99",14
"89",4,"89",15
"90",4,"51",16
"91",4,"7",17
"92",4,"11",18
"93",5,"63",1
"94",5,"77",2
"95",5,"55",3
"96",5,"3",4
"97",5,"26",5
"98",5,"18",6
"99",5,"10",7
"100",5,"31",8
"101",5,"5",9
"102",5,"4",10
"103",5,"23",11
"104",5,"20",12
"105",5,"6",13
"106",5,"99",14
