"","lap","cars","Position"
"1",0,"44",1
"2",0,"33",2
"3",0,"55",3
"4",0,"77",4
"5",0,"31",5
"6",0,"23",6
"7",0,"10",7
"8",0,"3",8
"9",0,"4",9
"10",0,"5",10
"11",0,"63",11
"12",0,"18",12
"13",0,"26",13
"14",0,"16",14
"15",0,"20",15
"16",0,"7",16
"17",0,"11",17
"18",0,"6",18
"19",0,"99",19
"20",0,"8",20
"21",1,"44",1
"22",1,"33",2
"23",1,"55",3
"24",1,"77",4
"25",1,"23",5
"26",1,"31",6
"27",1,"3",7
"28",1,"10",8
"29",1,"16",9
"30",1,"4",10
"31",1,"18",11
"32",1,"63",12
"33",1,"20",13
"34",1,"26",14
"35",1,"99",15
"36",1,"5",16
"37",1,"11",17
"38",1,"6",18
"39",1,"8",19
"40",1,"7",20
"41",2,"44",1
"42",2,"33",2
"43",2,"55",3
"44",2,"77",4
"45",2,"23",5
"46",2,"31",6
"47",2,"3",7
"48",2,"10",8
"49",2,"4",9
"50",2,"18",10
"51",2,"63",11
"52",2,"20",12
"53",2,"26",13
"54",2,"99",14
"55",2,"11",15
"56",2,"6",16
"57",2,"8",17
"58",2,"7",18
"59",2,"16",19
"60",3,"44",1
"61",3,"33",2
"62",3,"55",3
"63",3,"77",4
"64",3,"23",5
"65",3,"31",6
"66",3,"3",7
"67",3,"10",8
"68",3,"4",9
"69",3,"18",10
"70",3,"63",11
"71",3,"20",12
"72",3,"26",13
"73",3,"99",14
"74",3,"11",15
"75",3,"6",16
"76",3,"8",17
"77",3,"7",18
"78",3,"16",19
"79",4,"44",1
"80",4,"33",2
"81",4,"55",3
"82",4,"77",4
"83",4,"23",5
"84",4,"31",6
"85",4,"3",7
"86",4,"10",8
"87",4,"4",9
"88",4,"18",10
"89",4,"20",11
"90",4,"26",12
"91",4,"11",13
"92",4,"99",14
"93",4,"6",15
"94",4,"8",16
"95",4,"7",17
"96",4,"63",18
"97",4,"16",19
"98",5,"44",1
"99",5,"33",2
"100",5,"55",3
"101",5,"77",4
"102",5,"23",5
"103",5,"31",6
"104",5,"3",7
"105",5,"10",8
"106",5,"18",9
"107",5,"4",10
"108",5,"20",11
"109",5,"11",12
"110",5,"26",13
"111",5,"99",14
"112",5,"6",15
"113",5,"8",16
"114",5,"7",17
"115",5,"63",18
