"","lap","cars","Position"
"1",0,"18",1
"2",0,"33",2
"3",0,"11",3
"4",0,"23",4
"5",0,"3",5
"6",0,"44",6
"7",0,"31",7
"8",0,"7",8
"9",0,"77",9
"10",0,"99",10
"11",0,"5",11
"12",0,"16",12
"13",0,"20",13
"14",0,"4",14
"15",0,"55",15
"16",0,"26",16
"17",0,"8",17
"18",0,"6",18
"19",0,"10",19
"20",0,"63",20
"21",1,"18",1
"22",1,"11",2
"23",1,"5",3
"24",1,"33",4
"25",1,"23",5
"26",1,"44",6
"27",1,"3",7
"28",1,"7",8
"29",1,"55",9
"30",1,"20",10
"31",1,"99",11
"32",1,"26",12
"33",1,"10",13
"34",1,"16",14
"35",1,"4",15
"36",1,"8",16
"37",1,"63",17
"38",1,"77",18
"39",1,"31",19
"40",1,"6",20
"41",2,"18",1
"42",2,"11",2
"43",2,"5",3
"44",2,"33",4
"45",2,"23",5
"46",2,"44",6
"47",2,"3",7
"48",2,"7",8
"49",2,"55",9
"50",2,"20",10
"51",2,"99",11
"52",2,"26",12
"53",2,"10",13
"54",2,"16",14
"55",2,"4",15
"56",2,"8",16
"57",2,"77",17
"58",2,"63",18
"59",2,"6",19
"60",2,"31",20
"61",3,"18",1
"62",3,"11",2
"63",3,"5",3
"64",3,"33",4
"65",3,"23",5
"66",3,"44",6
"67",3,"3",7
"68",3,"7",8
"69",3,"55",9
"70",3,"20",10
"71",3,"99",11
"72",3,"26",12
"73",3,"10",13
"74",3,"16",14
"75",3,"4",15
"76",3,"77",16
"77",3,"8",17
"78",3,"63",18
"79",3,"31",19
"80",3,"6",20
"81",4,"18",1
"82",4,"11",2
"83",4,"5",3
"84",4,"33",4
"85",4,"23",5
"86",4,"44",6
"87",4,"3",7
"88",4,"7",8
"89",4,"55",9
"90",4,"20",10
"91",4,"99",11
"92",4,"26",12
"93",4,"10",13
"94",4,"16",14
"95",4,"4",15
"96",4,"77",16
"97",4,"8",17
"98",4,"63",18
"99",4,"31",19
"100",4,"6",20
"101",5,"18",1
"102",5,"11",2
"103",5,"5",3
"104",5,"33",4
"105",5,"23",5
"106",5,"44",6
"107",5,"3",7
"108",5,"55",8
"109",5,"7",9
"110",5,"20",10
"111",5,"99",11
"112",5,"26",12
"113",5,"10",13
"114",5,"16",14
"115",5,"4",15
"116",5,"77",16
"117",5,"8",17
"118",5,"63",18
"119",5,"31",19
"120",5,"6",20
"121",6,"18",1
"122",6,"11",2
"123",6,"5",3
"124",6,"33",4
"125",6,"23",5
"126",6,"44",6
"127",6,"3",7
"128",6,"55",8
"129",6,"7",9
"130",6,"20",10
"131",6,"99",11
"132",6,"26",12
"133",6,"10",13
"134",6,"16",14
"135",6,"4",15
"136",6,"77",16
"137",6,"8",17
"138",6,"63",18
"139",6,"31",19
"140",6,"6",20
"141",7,"18",1
"142",7,"11",2
"143",7,"5",3
"144",7,"33",4
"145",7,"23",5
"146",7,"44",6
"147",7,"3",7
"148",7,"55",8
"149",7,"7",9
"150",7,"20",10
"151",7,"99",11
"152",7,"26",12
"153",7,"10",13
"154",7,"4",14
"155",7,"77",15
"156",7,"8",16
"157",7,"63",17
"158",7,"31",18
"159",7,"16",19
"160",7,"6",20
"161",8,"18",1
"162",8,"11",2
"163",8,"5",3
"164",8,"33",4
"165",8,"23",5
"166",8,"44",6
"167",8,"3",7
"168",8,"55",8
"169",8,"7",9
"170",8,"20",10
"171",8,"99",11
"172",8,"10",12
"173",8,"4",13
"174",8,"26",14
"175",8,"8",15
"176",8,"63",16
"177",8,"16",17
"178",8,"31",18
"179",8,"77",19
"180",8,"6",20
"181",9,"18",1
"182",9,"11",2
"183",9,"33",3
"184",9,"23",4
"185",9,"3",5
"186",9,"55",6
"187",9,"5",7
"188",9,"44",8
"189",9,"10",9
"190",9,"4",10
"191",9,"20",11
"192",9,"7",12
"193",9,"16",13
"194",9,"63",14
"195",9,"31",15
"196",9,"77",16
"197",9,"99",17
"198",9,"26",18
"199",9,"8",19
"200",9,"6",20
"201",10,"11",1
"202",10,"33",2
"203",10,"23",3
"204",10,"18",4
"205",10,"3",5
"206",10,"55",6
"207",10,"5",7
"208",10,"44",8
"209",10,"10",9
"210",10,"20",10
"211",10,"7",11
"212",10,"16",12
"213",10,"63",13
"214",10,"77",14
"215",10,"4",15
"216",10,"31",16
"217",10,"99",17
"218",10,"26",18
"219",10,"8",19
"220",10,"6",20
"221",11,"33",1
"222",11,"23",2
"223",11,"18",3
"224",11,"11",4
"225",11,"5",5
"226",11,"44",6
"227",11,"3",7
"228",11,"55",8
"229",11,"20",9
"230",11,"16",10
"231",11,"7",11
"232",11,"63",12
"233",11,"77",13
"234",11,"4",14
"235",11,"10",15
"236",11,"99",16
"237",11,"26",17
"238",11,"8",18
"239",11,"31",19
"240",11,"6",20
"241",12,"23",1
"242",12,"18",2
"243",12,"11",3
"244",12,"33",4
"245",12,"5",5
"246",12,"44",6
"247",12,"3",7
"248",12,"55",8
"249",12,"20",9
"250",12,"16",10
"251",12,"63",11
"252",12,"77",12
"253",12,"7",13
"254",12,"4",14
"255",12,"10",15
"256",12,"26",16
"257",12,"8",17
"258",12,"31",18
"259",12,"6",19
"260",13,"18",1
"261",13,"11",2
"262",13,"33",3
"263",13,"5",4
"264",13,"44",5
"265",13,"23",6
"266",13,"3",7
"267",13,"55",8
"268",13,"16",9
"269",13,"20",10
"270",13,"63",11
"271",13,"77",12
"272",13,"7",13
"273",13,"4",14
"274",13,"10",15
"275",13,"26",16
"276",13,"8",17
"277",13,"31",18
"278",13,"6",19
"279",14,"18",1
"280",14,"11",2
"281",14,"33",3
"282",14,"5",4
"283",14,"44",5
"284",14,"23",6
"285",14,"3",7
"286",14,"55",8
"287",14,"16",9
"288",14,"20",10
"289",14,"63",11
"290",14,"77",12
"291",14,"7",13
"292",14,"4",14
"293",14,"10",15
"294",14,"26",16
"295",14,"31",17
"296",14,"8",18
"297",14,"6",19
"298",15,"18",1
"299",15,"11",2
"300",15,"33",3
"301",15,"5",4
"302",15,"23",5
"303",15,"44",6
"304",15,"3",7
"305",15,"55",8
"306",15,"16",9
"307",15,"20",10
"308",15,"63",11
"309",15,"7",12
"310",15,"4",13
"311",15,"77",14
"312",15,"10",15
"313",15,"26",16
"314",15,"31",17
"315",15,"8",18
"316",15,"6",19
"317",16,"18",1
"318",16,"11",2
"319",16,"33",3
"320",16,"23",4
"321",16,"5",5
"322",16,"44",6
"323",16,"3",7
"324",16,"55",8
"325",16,"16",9
"326",16,"20",10
"327",16,"63",11
"328",16,"4",12
"329",16,"7",13
"330",16,"10",14
"331",16,"77",15
"332",16,"26",16
"333",16,"31",17
"334",16,"8",18
"335",16,"6",19
"336",17,"18",1
"337",17,"11",2
"338",17,"33",3
"339",17,"23",4
"340",17,"5",5
"341",17,"44",6
"342",17,"3",7
"343",17,"55",8
"344",17,"16",9
"345",17,"20",10
"346",17,"63",11
"347",17,"4",12
"348",17,"7",13
"349",17,"10",14
"350",17,"77",15
"351",17,"31",16
"352",17,"26",17
"353",17,"8",18
"354",17,"6",19
"355",18,"18",1
"356",18,"11",2
"357",18,"23",3
"358",18,"5",4
"359",18,"44",5
"360",18,"33",6
"361",18,"3",7
"362",18,"55",8
"363",18,"16",9
"364",18,"20",10
"365",18,"63",11
"366",18,"4",12
"367",18,"7",13
"368",18,"10",14
"369",18,"77",15
"370",18,"31",16
"371",18,"26",17
"372",18,"8",18
"373",18,"6",19
"374",19,"18",1
"375",19,"11",2
"376",19,"23",3
"377",19,"5",4
"378",19,"44",5
"379",19,"3",6
"380",19,"55",7
"381",19,"33",8
"382",19,"16",9
"383",19,"20",10
"384",19,"63",11
"385",19,"4",12
"386",19,"7",13
"387",19,"10",14
"388",19,"77",15
"389",19,"31",16
"390",19,"26",17
"391",19,"8",18
"392",19,"6",19
"393",20,"18",1
"394",20,"11",2
