"","lap","cars","Position"
"1",0,"44",1
"2",0,"77",2
"3",0,"33",3
"4",0,"23",4
"5",0,"16",5
"6",0,"18",6
"7",0,"11",7
"8",0,"3",8
"9",0,"55",9
"10",0,"31",10
"11",0,"4",11
"12",0,"26",12
"13",0,"7",13
"14",0,"5",14
"15",0,"8",15
"16",0,"10",16
"17",0,"99",17
"18",0,"63",18
"19",0,"6",19
"20",0,"20",20
"21",1,"77",1
"22",1,"44",2
"23",1,"16",3
"24",1,"23",4
"25",1,"18",5
"26",1,"3",6
"27",1,"11",7
"28",1,"4",8
"29",1,"26",9
"30",1,"31",10
"31",1,"63",11
"32",1,"20",12
"33",1,"6",13
"34",1,"99",14
"35",1,"55",15
"36",1,"7",16
"37",1,"8",17
"38",1,"5",18
"39",2,"77",1
"40",2,"44",2
"41",2,"16",3
"42",2,"23",4
"43",2,"18",5
"44",2,"3",6
"45",2,"11",7
"46",2,"4",8
"47",2,"26",9
"48",2,"31",10
"49",2,"63",11
"50",2,"20",12
"51",2,"6",13
"52",2,"99",14
"53",2,"55",15
"54",2,"8",16
"55",2,"7",17
"56",2,"5",18
"57",3,"77",1
"58",3,"44",2
"59",3,"16",3
"60",3,"23",4
"61",3,"18",5
"62",3,"3",6
"63",3,"11",7
"64",3,"4",8
"65",3,"26",9
"66",3,"31",10
"67",3,"63",11
"68",3,"20",12
"69",3,"6",13
"70",3,"99",14
"71",3,"55",15
"72",3,"8",16
"73",3,"7",17
"74",3,"5",18
"75",4,"77",1
"76",4,"44",2
"77",4,"16",3
"78",4,"23",4
"79",4,"18",5
"80",4,"3",6
"81",4,"11",7
"82",4,"4",8
"83",4,"26",9
"84",4,"31",10
"85",4,"63",11
"86",4,"20",12
"87",4,"6",13
"88",4,"99",14
"89",4,"55",15
"90",4,"8",16
"91",4,"7",17
"92",4,"5",18
"93",5,"77",1
"94",5,"44",2
"95",5,"16",3
"96",5,"23",4
"97",5,"18",5
"98",5,"3",6
"99",5,"11",7
"100",5,"4",8
"101",5,"26",9
"102",5,"31",10
"103",5,"63",11
"104",5,"20",12
"105",5,"6",13
"106",5,"99",14
"107",5,"55",15
"108",5,"8",16
"109",5,"7",17
"110",5,"5",18
"111",6,"77",1
"112",6,"44",2
"113",6,"16",3
"114",6,"23",4
"115",6,"18",5
"116",6,"3",6
"117",6,"11",7
"118",6,"4",8
"119",6,"26",9
"120",6,"31",10
"121",6,"63",11
"122",6,"6",12
"123",6,"7",13
"124",6,"5",14
"125",6,"8",15
"126",7,"77",1
"127",7,"44",2
"128",7,"16",3
"129",7,"23",4
"130",7,"18",5
"131",7,"3",6
"132",7,"11",7
"133",7,"4",8
"134",7,"26",9
"135",7,"31",10
"136",7,"63",11
"137",7,"7",12
"138",7,"5",13
"139",7,"8",14
"140",8,"77",1
"141",8,"44",2
"142",8,"16",3
"143",8,"23",4
"144",8,"18",5
"145",8,"3",6
"146",8,"11",7
"147",8,"4",8
"148",8,"26",9
"149",8,"63",10
"150",8,"7",11
"151",8,"5",12
"152",8,"8",13
"153",9,"77",1
"154",9,"44",2
"155",9,"16",3
"156",9,"18",4
"157",9,"23",5
"158",9,"3",6
"159",9,"11",7
"160",9,"4",8
"161",9,"26",9
"162",9,"63",10
"163",9,"7",11
"164",9,"5",12
"165",9,"8",13
"166",10,"44",1
"167",10,"77",2
"168",10,"16",3
"169",10,"18",4
"170",10,"11",5
"171",10,"3",6
"172",10,"23",7
"173",10,"4",8
"174",10,"26",9
"175",10,"7",10
"176",10,"63",11
"177",10,"8",12
"178",10,"5",13
"179",11,"44",1
"180",11,"77",2
"181",11,"16",3
"182",11,"18",4
"183",11,"11",5
"184",11,"3",6
"185",11,"23",7
"186",11,"4",8
"187",11,"26",9
"188",11,"63",10
"189",11,"7",11
"190",11,"5",12
"191",11,"8",13
"192",12,"44",1
"193",12,"77",2
"194",12,"16",3
"195",12,"18",4
"196",12,"11",5
"197",12,"3",6
"198",12,"23",7
"199",12,"4",8
"200",12,"26",9
"201",12,"63",10
"202",12,"7",11
"203",12,"5",12
"204",12,"8",13
"205",13,"44",1
"206",13,"77",2
"207",13,"16",3
"208",13,"18",4
"209",13,"11",5
"210",13,"3",6
"211",13,"23",7
"212",13,"4",8
"213",13,"26",9
"214",13,"63",10
"215",13,"7",11
"216",13,"5",12
"217",13,"8",13
"218",14,"44",1
"219",14,"77",2
"220",14,"16",3
"221",14,"18",4
"222",14,"11",5
"223",14,"3",6
"224",14,"23",7
"225",14,"4",8
"226",14,"26",9
"227",14,"63",10
"228",14,"7",11
"229",14,"5",12
"230",14,"8",13
"231",15,"44",1
"232",15,"77",2
"233",15,"16",3
"234",15,"18",4
"235",15,"3",5
"236",15,"11",6
"237",15,"23",7
"238",15,"4",8
"239",15,"26",9
"240",15,"63",10
"241",15,"7",11
"242",15,"5",12
"243",15,"8",13
